country,variant,gender,freq,year,mortality15to60per1000aliveat15
894,estimates,female,5yearly,1950,401.382595660061
894,estimates,male,5yearly,1950,460.536602096981
894,estimates,female,5yearly,1955,379.103779095072
894,estimates,male,5yearly,1955,437.991059567701
894,estimates,female,5yearly,1960,359.456400273034
894,estimates,male,5yearly,1960,415.73202883067
894,estimates,female,5yearly,1965,342.633780027105
894,estimates,male,5yearly,1965,399.015864719078
894,estimates,female,5yearly,1970,320.203282922372
894,estimates,male,5yearly,1970,377.177636446926
894,estimates,female,5yearly,1975,308.197981246863
894,estimates,male,5yearly,1975,369.290094200348
894,estimates,female,5yearly,1980,334.022811969211
894,estimates,male,5yearly,1980,417.009765642097
894,estimates,female,5yearly,1985,420.138684715918
894,estimates,male,5yearly,1985,532.257830419609
894,estimates,female,5yearly,1990,516.861677919805
894,estimates,male,5yearly,1990,628.233512900132
894,estimates,female,5yearly,1995,572.806960092687
894,estimates,male,5yearly,1995,663.360907510812
894,estimates,female,5yearly,2000,559.244644767995
894,estimates,male,5yearly,2000,628.17912443957
894,estimates,female,5yearly,2005,437.915057226961
894,estimates,male,5yearly,2005,507.419576115299
894,estimates,female,5yearly,2010,282.884164434812
894,estimates,male,5yearly,2010,363.12429318067
894,medium_variant,female,5yearly,2015,236.930715990869
894,medium_variant,male,5yearly,2015,341.803552235535
894,medium_variant,female,5yearly,2020,221.164370420531
894,medium_variant,male,5yearly,2020,324.347892505766
894,medium_variant,female,5yearly,2025,203.759043719458
894,medium_variant,male,5yearly,2025,293.938097552382
894,medium_variant,female,5yearly,2030,185.701033791985
894,medium_variant,male,5yearly,2030,262.719427053582
894,medium_variant,female,5yearly,2035,168.00441893171
894,medium_variant,male,5yearly,2035,234.717885513581
894,medium_variant,female,5yearly,2040,151.8160408683
894,medium_variant,male,5yearly,2040,211.437807282937
894,medium_variant,female,5yearly,2045,137.697974296439
894,medium_variant,male,5yearly,2045,192.370474207963
894,medium_variant,female,5yearly,2050,125.583546963759
894,medium_variant,male,5yearly,2050,176.978519545851
894,medium_variant,female,5yearly,2055,114.852439914978
894,medium_variant,male,5yearly,2055,164.444360027584
894,medium_variant,female,5yearly,2060,105.16835163541
894,medium_variant,male,5yearly,2060,152.817553726903
894,medium_variant,female,5yearly,2065,96.3899513694588
894,medium_variant,male,5yearly,2065,142.010394664247
894,medium_variant,female,5yearly,2070,88.4611789186025
894,medium_variant,male,5yearly,2070,132.259801905026
894,medium_variant,female,5yearly,2075,81.7800400001212
894,medium_variant,male,5yearly,2075,124.536414001865
894,medium_variant,female,5yearly,2080,76.4254969738284
894,medium_variant,male,5yearly,2080,117.42134151196
894,medium_variant,female,5yearly,2085,71.4769993523818
894,medium_variant,male,5yearly,2085,110.693587214513
894,medium_variant,female,5yearly,2090,66.8150790926617
894,medium_variant,male,5yearly,2090,104.346068384486
894,medium_variant,female,5yearly,2095,62.4768172399459
894,medium_variant,male,5yearly,2095,98.3334407535563
