country,variant,gender,freq,year,mortality15to60per1000aliveat15
316,estimates,female,5yearly,1950,259.911013081855
316,estimates,male,5yearly,1950,326.58857780889
316,estimates,female,5yearly,1955,233.774042545275
316,estimates,male,5yearly,1955,298.117887902895
316,estimates,female,5yearly,1960,207.860176299539
316,estimates,male,5yearly,1960,269.601550546789
316,estimates,female,5yearly,1965,183.07152435454
316,estimates,male,5yearly,1965,243.948808034612
316,estimates,female,5yearly,1970,160.275570854871
316,estimates,male,5yearly,1970,221.389087112362
316,estimates,female,5yearly,1975,141.073609717145
316,estimates,male,5yearly,1975,200.897176138058
316,estimates,female,5yearly,1980,124.485330328392
316,estimates,male,5yearly,1980,182.800894940259
316,estimates,female,5yearly,1985,110.299145753355
316,estimates,male,5yearly,1985,165.88948954937
316,estimates,female,5yearly,1990,98.2498958883747
316,estimates,male,5yearly,1990,150.772430244114
316,estimates,female,5yearly,1995,84.1083422060301
316,estimates,male,5yearly,1995,131.982190407884
316,estimates,female,5yearly,2000,69.0180519618007
316,estimates,male,5yearly,2000,111.735704887529
316,estimates,female,5yearly,2005,56.7534534778994
316,estimates,male,5yearly,2005,99.4935753862582
316,estimates,female,5yearly,2010,49.6319126748658
316,estimates,male,5yearly,2010,83.0270435609917
316,medium_variant,female,5yearly,2015,45.0383930635546
316,medium_variant,male,5yearly,2015,73.2117856962929
316,medium_variant,female,5yearly,2020,40.9604069234275
316,medium_variant,male,5yearly,2020,64.8139342442252
316,medium_variant,female,5yearly,2025,37.2169143130271
316,medium_variant,male,5yearly,2025,56.9924043617159
316,medium_variant,female,5yearly,2030,33.885737159846
316,medium_variant,male,5yearly,2030,50.0407408621834
316,medium_variant,female,5yearly,2035,30.914882961067
316,medium_variant,male,5yearly,2035,43.8432710464768
316,medium_variant,female,5yearly,2040,28.1581344631235
316,medium_variant,male,5yearly,2040,39.1091011760947
316,medium_variant,female,5yearly,2045,25.6683063144547
316,medium_variant,male,5yearly,2045,35.3824926671774
316,medium_variant,female,5yearly,2050,23.3235305403211
316,medium_variant,male,5yearly,2050,32.2466697290449
316,medium_variant,female,5yearly,2055,21.3043414253477
316,medium_variant,male,5yearly,2055,29.5341082155901
316,medium_variant,female,5yearly,2060,19.3668768970363
316,medium_variant,male,5yearly,2060,27.029135107706
316,medium_variant,female,5yearly,2065,17.5771522509854
316,medium_variant,male,5yearly,2065,24.7598316209676
316,medium_variant,female,5yearly,2070,15.9754517818776
316,medium_variant,male,5yearly,2070,22.6832771673069
316,medium_variant,female,5yearly,2075,14.5022827250799
316,medium_variant,male,5yearly,2075,20.7192991704643
316,medium_variant,female,5yearly,2080,13.1284352102342
316,medium_variant,male,5yearly,2080,18.9417247586243
316,medium_variant,female,5yearly,2085,11.8580549372662
316,medium_variant,male,5yearly,2085,17.2587734902447
316,medium_variant,female,5yearly,2090,10.6986076985501
316,medium_variant,male,5yearly,2090,15.7328085700679
316,medium_variant,female,5yearly,2095,9.67978235774158
316,medium_variant,male,5yearly,2095,14.3146710902421
316,estimates,female,5yearly,Regi,Guam
316,estimates,male,5yearly,Regi,Guam
316,medium_variant,female,5yearly,Regi,Guam
316,medium_variant,male,5yearly,Regi,Guam
