continent,variant,freq,year,populationgrowthrate
905,estimates,5yearly,1950,1.666
905,estimates,5yearly,1955,1.756
905,estimates,5yearly,1960,1.396
905,estimates,5yearly,1965,1.024
905,estimates,5yearly,1970,0.957
905,estimates,5yearly,1975,0.962
905,estimates,5yearly,1980,0.952
905,estimates,5yearly,1985,0.989
905,estimates,5yearly,1990,1.027
905,estimates,5yearly,1995,1.167
905,estimates,5yearly,2000,0.918
905,estimates,5yearly,2005,0.918
905,estimates,5yearly,2010,0.748
905,constant_fertility,5yearly,2015,0.723
905,constant_mortality,5yearly,2015,0.682
905,high_variant,5yearly,2015,0.889
905,instant_replacement,5yearly,2015,0.87
905,low_variant,5yearly,2015,0.561
905,medium_variant,5yearly,2015,0.726
905,momentum,5yearly,2015,0.502
905,no_change,5yearly,2015,0.679
905,zero_migration,5yearly,2015,0.4
905,constant_fertility,5yearly,2020,0.695
905,constant_mortality,5yearly,2020,0.63
905,high_variant,5yearly,2020,0.965
905,instant_replacement,5yearly,2020,0.846
905,low_variant,5yearly,2020,0.453
905,medium_variant,5yearly,2020,0.713
905,momentum,5yearly,2020,0.403
905,no_change,5yearly,2020,0.612
905,zero_migration,5yearly,2020,0.351
905,constant_fertility,5yearly,2025,0.638
905,constant_mortality,5yearly,2025,0.547
905,high_variant,5yearly,2025,0.961
905,instant_replacement,5yearly,2025,0.783
905,low_variant,5yearly,2025,0.348
905,medium_variant,5yearly,2025,0.663
905,momentum,5yearly,2025,0.266
905,no_change,5yearly,2025,0.522
905,zero_migration,5yearly,2025,0.264
905,constant_fertility,5yearly,2030,0.55
905,constant_mortality,5yearly,2030,0.433
905,high_variant,5yearly,2030,0.857
905,instant_replacement,5yearly,2030,0.687
905,low_variant,5yearly,2030,0.274
905,medium_variant,5yearly,2030,0.578
905,momentum,5yearly,2030,0.121
905,no_change,5yearly,2030,0.405
905,zero_migration,5yearly,2030,0.159
905,constant_fertility,5yearly,2035,0.464
905,constant_mortality,5yearly,2035,0.33
905,high_variant,5yearly,2035,0.769
905,instant_replacement,5yearly,2035,0.602
