continent,variant,freq,year,populationgrowthrate
935,estimates,5yearly,1950,1.928
935,estimates,5yearly,1955,1.903
935,estimates,5yearly,1960,2.127
935,estimates,5yearly,1965,2.451
935,estimates,5yearly,1970,2.266
935,estimates,5yearly,1975,1.972
935,estimates,5yearly,1980,1.97
935,estimates,5yearly,1985,1.992
935,estimates,5yearly,1990,1.598
935,estimates,5yearly,1995,1.336
935,estimates,5yearly,2000,1.217
935,estimates,5yearly,2005,1.128
935,estimates,5yearly,2010,1.047
935,constant_fertility,5yearly,2015,0.964
935,constant_mortality,5yearly,2015,0.856
935,high_variant,5yearly,2015,1.083
935,instant_replacement,5yearly,2015,0.95
935,low_variant,5yearly,2015,0.716
935,medium_variant,5yearly,2015,0.901
935,momentum,5yearly,2015,0.954
935,no_change,5yearly,2015,0.919
935,zero_migration,5yearly,2015,0.937
935,constant_fertility,5yearly,2020,0.859
935,constant_mortality,5yearly,2020,0.666
935,high_variant,5yearly,2020,1.017
935,instant_replacement,5yearly,2020,0.816
935,low_variant,5yearly,2020,0.472
935,medium_variant,5yearly,2020,0.749
935,momentum,5yearly,2020,0.79
935,no_change,5yearly,2020,0.775
935,zero_migration,5yearly,2020,0.785
935,constant_fertility,5yearly,2025,0.759
935,constant_mortality,5yearly,2025,0.484
935,high_variant,5yearly,2025,0.913
935,instant_replacement,5yearly,2025,0.685
935,low_variant,5yearly,2025,0.271
935,medium_variant,5yearly,2025,0.602
935,momentum,5yearly,2025,0.635
935,no_change,5yearly,2025,0.64
935,zero_migration,5yearly,2025,0.641
935,constant_fertility,5yearly,2030,0.679
935,constant_mortality,5yearly,2030,0.318
935,high_variant,5yearly,2030,0.768
935,instant_replacement,5yearly,2030,0.567
935,low_variant,5yearly,2030,0.147
935,medium_variant,5yearly,2030,0.471
935,momentum,5yearly,2030,0.489
935,no_change,5yearly,2030,0.525
935,zero_migration,5yearly,2030,0.51
935,constant_fertility,5yearly,2035,0.613
935,constant_mortality,5yearly,2035,0.167
935,high_variant,5yearly,2035,0.665
935,instant_replacement,5yearly,2035,0.461
935,low_variant,5yearly,2035,0.012
935,medium_variant,5yearly,2035,0.352
935,momentum,5yearly,2035,0.359
935,no_change,5yearly,2035,0.428
935,zero_migration,5yearly,2035,0.391
935,constant_fertility,5yearly,2040,0.565
935,constant_mortality,5yearly,2040,0.03
935,high_variant,5yearly,2040,0.614
935,instant_replacement,5yearly,2040,0.38
935,low_variant,5yearly,2040,-0.138
935,medium_variant,5yearly,2040,0.247
935,momentum,5yearly,2040,0.257
935,no_change,5yearly,2040,0.35
935,zero_migration,5yearly,2040,0.286
935,constant_fertility,5yearly,2045,0.527
935,constant_mortality,5yearly,2045,-0.097
935,high_variant,5yearly,2045,0.582
935,instant_replacement,5yearly,2045,0.314
935,low_variant,5yearly,2045,-0.299
935,medium_variant,5yearly,2045,0.147
935,momentum,5yearly,2045,0.179
935,no_change,5yearly,2045,0.288
935,zero_migration,5yearly,2045,0.186
935,constant_fertility,5yearly,2050,0.503
935,constant_mortality,5yearly,2050,-0.214
935,high_variant,5yearly,2050,0.545
935,instant_replacement,5yearly,2050,0.252
935,low_variant,5yearly,2050,-0.457
935,medium_variant,5yearly,2050,0.049
935,momentum,5yearly,2050,0.11
935,no_change,5yearly,2050,0.247
935,zero_migration,5yearly,2050,0.088
935,constant_fertility,5yearly,2055,0.495
935,constant_mortality,5yearly,2055,-0.319
935,high_variant,5yearly,2055,0.496
935,instant_replacement,5yearly,2055,0.19
935,low_variant,5yearly,2055,-0.597
935,medium_variant,5yearly,2055,-0.039
935,momentum,5yearly,2055,0.045
935,no_change,5yearly,2055,0.228
935,zero_migration,5yearly,2055,0.0
935,constant_fertility,5yearly,2060,0.508
935,constant_mortality,5yearly,2060,-0.405
935,high_variant,5yearly,2060,0.453
935,instant_replacement,5yearly,2060,0.138
935,low_variant,5yearly,2060,-0.714
935,medium_variant,5yearly,2060,-0.11
935,momentum,5yearly,2060,-0.007
935,no_change,5yearly,2060,0.232
935,zero_migration,5yearly,2060,-0.072
935,constant_fertility,5yearly,2065,0.538
935,constant_mortality,5yearly,2065,-0.47
935,high_variant,5yearly,2065,0.43
935,instant_replacement,5yearly,2065,0.103
935,low_variant,5yearly,2065,-0.821
935,medium_variant,5yearly,2065,-0.166
935,momentum,5yearly,2065,-0.036
935,no_change,5yearly,2065,0.259
935,zero_migration,5yearly,2065,-0.129
935,constant_fertility,5yearly,2070,0.581
935,constant_mortality,5yearly,2070,-0.516
935,high_variant,5yearly,2070,0.429
935,instant_replacement,5yearly,2070,0.087
935,low_variant,5yearly,2070,-0.926
935,medium_variant,5yearly,2070,-0.211
935,momentum,5yearly,2070,-0.04
935,no_change,5yearly,2070,0.303
935,zero_migration,5yearly,2070,-0.174
935,constant_fertility,5yearly,2075,0.635
935,constant_mortality,5yearly,2075,-0.549
935,high_variant,5yearly,2075,0.44
935,instant_replacement,5yearly,2075,0.084
935,low_variant,5yearly,2075,-1.032
935,medium_variant,5yearly,2075,-0.248
935,momentum,5yearly,2075,-0.025
935,no_change,5yearly,2075,0.362
935,zero_migration,5yearly,2075,-0.211
935,constant_fertility,5yearly,2080,0.701
935,constant_mortality,5yearly,2080,-0.576
935,high_variant,5yearly,2080,0.454
935,instant_replacement,5yearly,2080,0.09
935,low_variant,5yearly,2080,-1.126
935,medium_variant,5yearly,2080,-0.274
935,momentum,5yearly,2080,-0.01
935,no_change,5yearly,2080,0.427
935,zero_migration,5yearly,2080,-0.237
935,constant_fertility,5yearly,2085,0.778
935,constant_mortality,5yearly,2085,-0.605
935,high_variant,5yearly,2085,0.464
935,instant_replacement,5yearly,2085,0.101
935,low_variant,5yearly,2085,-1.202
935,medium_variant,5yearly,2085,-0.289
935,momentum,5yearly,2085,-0.007
935,no_change,5yearly,2085,0.491
935,zero_migration,5yearly,2085,-0.254
935,constant_fertility,5yearly,2090,0.857
935,constant_mortality,5yearly,2090,-0.634
935,high_variant,5yearly,2090,0.466
935,instant_replacement,5yearly,2090,0.109
935,low_variant,5yearly,2090,-1.264
935,medium_variant,5yearly,2090,-0.301
935,momentum,5yearly,2090,-0.015
935,no_change,5yearly,2090,0.554
935,zero_migration,5yearly,2090,-0.266
935,constant_fertility,5yearly,2095,0.932
935,constant_mortality,5yearly,2095,-0.652
935,high_variant,5yearly,2095,0.464
935,instant_replacement,5yearly,2095,0.112
935,low_variant,5yearly,2095,-1.316
935,medium_variant,5yearly,2095,-0.312
935,momentum,5yearly,2095,-0.022
935,no_change,5yearly,2095,0.619
935,zero_migration,5yearly,2095,-0.279
935,constant_fertility,5yearly,Regi,ASIA
935,constant_mortality,5yearly,Regi,ASIA
935,estimates,5yearly,Regi,ASIA
935,high_variant,5yearly,Regi,ASIA
935,instant_replacement,5yearly,Regi,ASIA
935,low_variant,5yearly,Regi,ASIA
935,medium_variant,5yearly,Regi,ASIA
935,momentum,5yearly,Regi,ASIA
935,no_change,5yearly,Regi,ASIA
935,zero_migration,5yearly,Regi,ASIA
