continent,variant,freq,year,populationgrowthrate
909,estimates,5yearly,1950,2.282
909,estimates,5yearly,1955,2.2
909,estimates,5yearly,1960,2.093
909,estimates,5yearly,1965,2.305
909,estimates,5yearly,1970,1.737
909,estimates,5yearly,1975,1.347
909,estimates,5yearly,1980,1.607
909,estimates,5yearly,1985,1.649
909,estimates,5yearly,1990,1.504
909,estimates,5yearly,1995,1.354
909,estimates,5yearly,2000,1.444
909,estimates,5yearly,2005,1.749
909,estimates,5yearly,2010,1.527
909,constant_fertility,5yearly,2015,1.459
909,constant_mortality,5yearly,2015,1.348
909,high_variant,5yearly,2015,1.556
909,instant_replacement,5yearly,2015,1.263
909,low_variant,5yearly,2015,1.218
909,medium_variant,5yearly,2015,1.388
909,momentum,5yearly,2015,0.791
909,no_change,5yearly,2015,1.42
909,zero_migration,5yearly,2015,0.957
909,constant_fertility,5yearly,2020,1.352
909,constant_mortality,5yearly,2020,1.158
909,high_variant,5yearly,2020,1.484
909,instant_replacement,5yearly,2020,1.154
909,low_variant,5yearly,2020,0.971
909,medium_variant,5yearly,2020,1.231
909,momentum,5yearly,2020,0.697
909,no_change,5yearly,2020,1.279
909,zero_migration,5yearly,2020,0.858
909,constant_fertility,5yearly,2025,1.285
909,constant_mortality,5yearly,2025,1.027
909,high_variant,5yearly,2025,1.418
909,instant_replacement,5yearly,2025,1.08
909,low_variant,5yearly,2025,0.814
909,medium_variant,5yearly,2025,1.125
909,momentum,5yearly,2025,0.583
909,no_change,5yearly,2025,1.187
909,zero_migration,5yearly,2025,0.746
909,constant_fertility,5yearly,2030,1.218
909,constant_mortality,5yearly,2030,0.901
909,high_variant,5yearly,2030,1.296
909,instant_replacement,5yearly,2030,0.998
909,low_variant,5yearly,2030,0.721
909,medium_variant,5yearly,2030,1.02
909,momentum,5yearly,2030,0.466
909,no_change,5yearly,2030,1.101
909,zero_migration,5yearly,2030,0.636
909,constant_fertility,5yearly,2035,1.17
909,constant_mortality,5yearly,2035,0.799
909,high_variant,5yearly,2035,1.21
909,instant_replacement,5yearly,2035,0.914
909,low_variant,5yearly,2035,0.628
909,medium_variant,5yearly,2035,0.932
909,momentum,5yearly,2035,0.355
909,no_change,5yearly,2035,1.04
909,zero_migration,5yearly,2035,0.542
909,constant_fertility,5yearly,2040,1.145
909,constant_mortality,5yearly,2040,0.72
909,high_variant,5yearly,2040,1.166
909,instant_replacement,5yearly,2040,0.844
909,low_variant,5yearly,2040,0.534
909,medium_variant,5yearly,2040,0.862
909,momentum,5yearly,2040,0.264
909,no_change,5yearly,2040,1.008
909,zero_migration,5yearly,2040,0.467
909,constant_fertility,5yearly,2045,1.134
909,constant_mortality,5yearly,2045,0.652
909,high_variant,5yearly,2045,1.149
909,instant_replacement,5yearly,2045,0.793
909,low_variant,5yearly,2045,0.432
909,medium_variant,5yearly,2045,0.798
909,momentum,5yearly,2045,0.196
909,no_change,5yearly,2045,0.992
909,zero_migration,5yearly,2045,0.396
909,constant_fertility,5yearly,2050,1.117
909,constant_mortality,5yearly,2050,0.574
909,high_variant,5yearly,2050,1.125
909,instant_replacement,5yearly,2050,0.738
909,low_variant,5yearly,2050,0.314
909,medium_variant,5yearly,2050,0.724
909,momentum,5yearly,2050,0.14
909,no_change,5yearly,2050,0.971
909,zero_migration,5yearly,2050,0.327
909,constant_fertility,5yearly,2055,1.105
909,constant_mortality,5yearly,2055,0.498
909,high_variant,5yearly,2055,1.087
909,instant_replacement,5yearly,2055,0.687
909,low_variant,5yearly,2055,0.209
909,medium_variant,5yearly,2055,0.655
909,momentum,5yearly,2055,0.09
909,no_change,5yearly,2055,0.954
909,zero_migration,5yearly,2055,0.262
909,constant_fertility,5yearly,2060,1.1
909,constant_mortality,5yearly,2060,0.425
909,high_variant,5yearly,2060,1.038
909,instant_replacement,5yearly,2060,0.639
909,low_variant,5yearly,2060,0.122
909,medium_variant,5yearly,2060,0.591
909,momentum,5yearly,2060,0.045
909,no_change,5yearly,2060,0.94
909,zero_migration,5yearly,2060,0.206
909,constant_fertility,5yearly,2065,1.103
909,constant_mortality,5yearly,2065,0.354
909,high_variant,5yearly,2065,0.989
909,instant_replacement,5yearly,2065,0.598
909,low_variant,5yearly,2065,0.045
909,medium_variant,5yearly,2065,0.533
909,momentum,5yearly,2065,0.01
909,no_change,5yearly,2065,0.931
909,zero_migration,5yearly,2065,0.159
909,constant_fertility,5yearly,2070,1.109
909,constant_mortality,5yearly,2070,0.286
909,high_variant,5yearly,2070,0.949
909,instant_replacement,5yearly,2070,0.559
909,low_variant,5yearly,2070,-0.037
909,medium_variant,5yearly,2070,0.475
909,momentum,5yearly,2070,-0.013
909,no_change,5yearly,2070,0.927
909,zero_migration,5yearly,2070,0.115
909,constant_fertility,5yearly,2075,1.118
909,constant_mortality,5yearly,2075,0.224
909,high_variant,5yearly,2075,0.918
909,instant_replacement,5yearly,2075,0.523
909,low_variant,5yearly,2075,-0.128
909,medium_variant,5yearly,2075,0.416
909,momentum,5yearly,2075,-0.02
909,no_change,5yearly,2075,0.931
909,zero_migration,5yearly,2075,0.071
909,constant_fertility,5yearly,2080,1.132
909,constant_mortality,5yearly,2080,0.169
909,high_variant,5yearly,2080,0.893
909,instant_replacement,5yearly,2080,0.495
909,low_variant,5yearly,2080,-0.218
909,medium_variant,5yearly,2080,0.362
909,momentum,5yearly,2080,-0.009
