continent,variant,freq,year,populationgrowthrate
908,estimates,5yearly,1950,0.985
908,estimates,5yearly,1955,0.974
908,estimates,5yearly,1960,0.948
908,estimates,5yearly,1965,0.681
908,estimates,5yearly,1970,0.607
908,estimates,5yearly,1975,0.484
908,estimates,5yearly,1980,0.4
908,estimates,5yearly,1985,0.377
908,estimates,5yearly,1990,0.176
908,estimates,5yearly,1995,-0.024
908,estimates,5yearly,2000,0.085
908,estimates,5yearly,2005,0.187
908,estimates,5yearly,2010,0.099
908,constant_fertility,5yearly,2015,0.036
908,constant_mortality,5yearly,2015,0.004
908,high_variant,5yearly,2015,0.228
908,instant_replacement,5yearly,2015,0.353
908,low_variant,5yearly,2015,-0.091
908,medium_variant,5yearly,2015,0.069
908,momentum,5yearly,2015,0.138
908,no_change,5yearly,2015,-0.029
908,zero_migration,5yearly,2015,-0.082
908,constant_fertility,5yearly,2020,-0.084
908,constant_mortality,5yearly,2020,-0.137
908,high_variant,5yearly,2020,0.214
908,instant_replacement,5yearly,2020,0.22
908,low_variant,5yearly,2020,-0.266
908,medium_variant,5yearly,2020,-0.023
908,momentum,5yearly,2020,-0.03
908,no_change,5yearly,2020,-0.199
908,zero_migration,5yearly,2020,-0.164
908,constant_fertility,5yearly,2025,-0.148
908,constant_mortality,5yearly,2025,-0.236
908,high_variant,5yearly,2025,0.192
908,instant_replacement,5yearly,2025,0.127
908,low_variant,5yearly,2025,-0.374
908,medium_variant,5yearly,2025,-0.083
908,momentum,5yearly,2025,-0.184
908,no_change,5yearly,2025,-0.302
908,zero_migration,5yearly,2025,-0.249
908,constant_fertility,5yearly,2030,-0.191
908,constant_mortality,5yearly,2030,-0.318
908,high_variant,5yearly,2030,0.135
908,instant_replacement,5yearly,2030,0.061
908,low_variant,5yearly,2030,-0.423
908,medium_variant,5yearly,2030,-0.133
908,momentum,5yearly,2030,-0.294
908,no_change,5yearly,2030,-0.379
908,zero_migration,5yearly,2030,-0.314
908,constant_fertility,5yearly,2035,-0.228
908,constant_mortality,5yearly,2035,-0.366
908,high_variant,5yearly,2035,0.124
908,instant_replacement,5yearly,2035,0.043
908,low_variant,5yearly,2035,-0.464
908,medium_variant,5yearly,2035,-0.157
908,momentum,5yearly,2035,-0.341
908,no_change,5yearly,2035,-0.441
908,zero_migration,5yearly,2035,-0.349
908,constant_fertility,5yearly,2040,-0.272
908,constant_mortality,5yearly,2040,-0.393
908,high_variant,5yearly,2040,0.151
908,instant_replacement,5yearly,2040,0.068
908,low_variant,5yearly,2040,-0.515
908,medium_variant,5yearly,2040,-0.17
908,momentum,5yearly,2040,-0.331
908,no_change,5yearly,2040,-0.502
908,zero_migration,5yearly,2040,-0.374
908,constant_fertility,5yearly,2045,-0.326
908,constant_mortality,5yearly,2045,-0.417
908,high_variant,5yearly,2045,0.198
908,instant_replacement,5yearly,2045,0.113
908,low_variant,5yearly,2045,-0.596
908,medium_variant,5yearly,2045,-0.192
908,momentum,5yearly,2045,-0.287
908,no_change,5yearly,2045,-0.561
908,zero_migration,5yearly,2045,-0.41
908,constant_fertility,5yearly,2050,-0.381
908,constant_mortality,5yearly,2050,-0.446
908,high_variant,5yearly,2050,0.238
908,instant_replacement,5yearly,2050,0.129
908,low_variant,5yearly,2050,-0.698
908,medium_variant,5yearly,2050,-0.227
908,momentum,5yearly,2050,-0.259
908,no_change,5yearly,2050,-0.614
908,zero_migration,5yearly,2050,-0.456
908,constant_fertility,5yearly,2055,-0.418
908,constant_mortality,5yearly,2055,-0.462
908,high_variant,5yearly,2055,0.259
908,instant_replacement,5yearly,2055,0.107
908,low_variant,5yearly,2055,-0.787
908,medium_variant,5yearly,2055,-0.258
908,momentum,5yearly,2055,-0.267
908,no_change,5yearly,2055,-0.641
908,zero_migration,5yearly,2055,-0.497
908,constant_fertility,5yearly,2060,-0.431
908,constant_mortality,5yearly,2060,-0.455
908,high_variant,5yearly,2060,0.275
908,instant_replacement,5yearly,2060,0.086
908,low_variant,5yearly,2060,-0.837
908,medium_variant,5yearly,2060,-0.265
908,momentum,5yearly,2060,-0.269
908,no_change,5yearly,2060,-0.64
908,zero_migration,5yearly,2060,-0.511
908,constant_fertility,5yearly,2065,-0.425
908,constant_mortality,5yearly,2065,-0.419
908,high_variant,5yearly,2065,0.311
908,instant_replacement,5yearly,2065,0.103
908,low_variant,5yearly,2065,-0.853
908,medium_variant,5yearly,2065,-0.245
908,momentum,5yearly,2065,-0.225
908,no_change,5yearly,2065,-0.622
908,zero_migration,5yearly,2065,-0.488
908,constant_fertility,5yearly,2070,-0.412
908,constant_mortality,5yearly,2070,-0.365
908,high_variant,5yearly,2070,0.372
908,instant_replacement,5yearly,2070,0.154
908,low_variant,5yearly,2070,-0.856
908,medium_variant,5yearly,2070,-0.208
908,momentum,5yearly,2070,-0.138
908,no_change,5yearly,2070,-0.595
908,zero_migration,5yearly,2070,-0.442
908,constant_fertility,5yearly,2075,-0.395
908,constant_mortality,5yearly,2075,-0.312
908,high_variant,5yearly,2075,0.448
908,instant_replacement,5yearly,2075,0.219
908,low_variant,5yearly,2075,-0.861
908,medium_variant,5yearly,2075,-0.167
908,momentum,5yearly,2075,-0.038
908,no_change,5yearly,2075,-0.567
908,zero_migration,5yearly,2075,-0.387
908,constant_fertility,5yearly,2080,-0.375
908,constant_mortality,5yearly,2080,-0.279
908,high_variant,5yearly,2080,0.516
908,instant_replacement,5yearly,2080,0.273
908,low_variant,5yearly,2080,-0.87
908,medium_variant,5yearly,2080,-0.132
908,momentum,5yearly,2080,0.033
908,no_change,5yearly,2080,-0.549
908,zero_migration,5yearly,2080,-0.336
908,constant_fertility,5yearly,2085,-0.357
908,constant_mortality,5yearly,2085,-0.273
908,high_variant,5yearly,2085,0.562
908,instant_replacement,5yearly,2085,0.299
908,low_variant,5yearly,2085,-0.888
908,medium_variant,5yearly,2085,-0.109
908,momentum,5yearly,2085,0.05
908,no_change,5yearly,2085,-0.549
908,zero_migration,5yearly,2085,-0.297
908,constant_fertility,5yearly,2090,-0.354
908,constant_mortality,5yearly,2090,-0.286
908,high_variant,5yearly,2090,0.578
908,instant_replacement,5yearly,2090,0.293
908,low_variant,5yearly,2090,-0.919
908,medium_variant,5yearly,2090,-0.103
908,momentum,5yearly,2090,0.024
908,no_change,5yearly,2090,-0.564
908,zero_migration,5yearly,2090,-0.278
908,constant_fertility,5yearly,2095,-0.371
908,constant_mortality,5yearly,2095,-0.296
908,high_variant,5yearly,2095,0.575
908,instant_replacement,5yearly,2095,0.269
908,low_variant,5yearly,2095,-0.962
908,medium_variant,5yearly,2095,-0.112
908,momentum,5yearly,2095,-0.012
908,no_change,5yearly,2095,-0.58
908,zero_migration,5yearly,2095,-0.277
