global,year,variant,agebroad,sexratio_maleper100female
900,1960,estimates,7_10,104.378500240407
900,1960,estimates,7_12,104.232256343747
900,1960,estimates,11_16,104.127421274075
900,1960,estimates,11_17,104.208080414243
900,1960,estimates,11_18,104.260807698745
900,1960,estimates,12_14,103.968778472808
900,1960,estimates,12_16,104.166454277841
900,1960,estimates,12_17,104.256774409988
900,1960,estimates,12_18,104.31202453488
900,1960,estimates,13_17,104.351175692808
900,1960,estimates,13_18,104.402373033869
900,1960,estimates,13_19,104.409499819367
900,1960,estimates,15plus,97.6069753531191
900,1960,estimates,15_17,104.582075584208
900,1960,estimates,15_24,104.271258756255
900,1960,estimates,15_49,101.859243880473
900,1960,estimates,15_59,100.61154198438
900,1960,estimates,15_64,99.8958366844231
900,1960,estimates,16plus,97.4145413046136
900,1960,estimates,17plus,97.2125991425056
900,1960,estimates,18plus,97.0018536962097
900,1960,estimates,18_23,104.18638449015
900,1960,estimates,20plus,96.5597103724355
900,1960,estimates,20_64,99.1114758759896
900,1960,estimates,20_69,98.3293554955792
900,1960,estimates,21plus,96.3275148022108
900,1960,estimates,25plus,95.3025145168504
900,1960,estimates,25_49,100.56094135376
900,1960,estimates,25_64,98.1748917065814
900,1960,estimates,25_69,97.2983676779014
900,1960,estimates,50plus,85.855291053523
900,1960,estimates,60plus,78.7019891328165
900,1960,estimates,65plus,74.4044385751632
900,1960,estimates,70plus,69.7235201176535
900,1960,estimates,75plus,64.7892688072885
900,1960,estimates,80plus,60.1779444532799
900,1960,estimates,85plus,53.6176070254157
900,1960,estimates,90plus,46.1511660606785
900,1965,estimates,"Region, subregion, country or area *",WORLD
900,1965,estimates,total,100.284708014509
900,1965,estimates,0_1,104.620770804017
900,1965,estimates,0_4,104.531843105432
900,1965,estimates,0_14,104.507151469579
900,1965,estimates,0_17,104.419350925701
900,1965,estimates,0_19,104.367228449649
900,1965,estimates,0_24,104.324013156808
900,1965,estimates,3_4,104.444863783801
900,1965,estimates,3_5,104.439438462179
900,1965,estimates,3_6,104.439522861093
900,1965,estimates,4_5,104.430306976038
900,1965,estimates,4_6,104.433384381919
900,1965,estimates,5_10,104.482667957594
900,1965,estimates,5_11,104.502148123424
900,1965,estimates,5_14,104.492021650865
900,1965,estimates,6_9,104.478174615453
900,1965,estimates,6_10,104.494272712095
900,1965,estimates,6_11,104.515352916645
900,1965,estimates,6_12,104.529290326967
900,1965,estimates,7_10,104.508515394274
900,1965,estimates,7_12,104.54509124106
900,1965,estimates,11_16,104.332323125979
900,1965,estimates,11_17,104.245333706481
900,1965,estimates,11_18,104.18065153203
900,1965,estimates,12_14,104.465926489216
900,1965,estimates,12_16,104.267631637512
900,1965,estimates,12_17,104.173853463423
900,1965,estimates,12_18,104.10739017714
900,1965,estimates,13_17,104.073261770807
900,1965,estimates,13_18,104.008874367664
900,1965,estimates,13_19,103.979034296239
900,1965,estimates,15plus,97.7952297453116
900,1965,estimates,15_17,103.839449686094
900,1965,estimates,15_24,103.909366478194
900,1965,estimates,15_49,102.58418985252
900,1965,estimates,15_59,101.108076956136
900,1965,estimates,15_64,100.342851314132
900,1965,estimates,16plus,97.5938191846431
900,1965,estimates,17plus,97.3971963525925
900,1965,estimates,18plus,97.2028004426204
900,1965,estimates,18_23,103.922649128887
900,1965,estimates,20plus,96.7990121242725
900,1965,estimates,20_64,99.7003022018593
900,1965,estimates,20_69,98.8272371361283
900,1965,estimates,21plus,96.585940305143
900,1965,estimates,25plus,95.6425205986414
900,1965,estimates,25_49,101.847560921223
900,1965,estimates,25_64,98.9061657930482
900,1965,estimates,25_69,97.9258959239352
900,1965,estimates,50plus,84.921838463622
900,1965,estimates,60plus,77.8335357661758
900,1965,estimates,65plus,72.9954723637294
900,1965,estimates,70plus,67.7000090158482
900,1965,estimates,75plus,62.2960288534983
900,1965,estimates,80plus,56.6606296643014
900,1965,estimates,85plus,51.6178933150495
900,1965,estimates,90plus,44.530630302298
900,1970,estimates,"Region, subregion, country or area *",WORLD
900,1970,estimates,total,100.504227467329
900,1970,estimates,0_1,103.876564664147
900,1970,estimates,0_4,104.073300852774
900,1970,estimates,0_14,104.356918398051
900,1970,estimates,0_17,104.381213981502
900,1970,estimates,0_19,104.354218196104
900,1970,estimates,0_24,104.164422206605
900,1970,estimates,3_4,104.271724296075
900,1970,estimates,3_5,104.316459410619
900,1970,estimates,3_6,104.355161275764
900,1970,estimates,4_5,104.366237386766
900,1970,estimates,4_6,104.402384138456
900,1970,estimates,5_10,104.521657987766
900,1970,estimates,5_11,104.526081547926
900,1970,estimates,5_14,104.529002309916
900,1970,estimates,6_9,104.537400395142
900,1970,estimates,6_10,104.54597378867
900,1970,estimates,6_11,104.547436465535
900,1970,estimates,6_12,104.545660147115
900,1970,estimates,7_10,104.564253076145
900,1970,estimates,7_12,104.558125129646
900,1970,estimates,11_16,104.545045715632
900,1970,estimates,11_17,104.536242677639
900,1970,estimates,11_18,104.500239241188
900,1970,estimates,12_14,104.536723515289
900,1970,estimates,12_16,104.542866973054
900,1970,estimates,12_17,104.532860800302
900,1970,estimates,12_18,104.49181143535
900,1970,estimates,13_17,104.532640178106
900,1970,estimates,13_18,104.484435552623
900,1970,estimates,13_19,104.401922111967
900,1970,estimates,15plus,98.2588979433981
900,1970,estimates,15_17,104.528851316612
900,1970,estimates,15_24,103.765579299819
900,1970,estimates,15_49,103.076701767549
900,1970,estimates,15_59,101.82981221863
900,1970,estimates,15_64,101.026268438521
900,1970,estimates,16plus,98.0485751408741
900,1970,estimates,17plus,97.825279582376
900,1970,estimates,18plus,97.5937811534418
900,1970,estimates,18_23,103.39670482246
900,1970,estimates,20plus,97.1410356735722
900,1970,estimates,20_64,100.337177187635
900,1970,estimates,20_69,99.3983859011334
900,1970,estimates,21plus,96.9272273783943
900,1970,estimates,25plus,96.1038082136901
900,1970,estimates,25_49,102.648103076945
900,1970,estimates,25_64,99.7857781713871
900,1970,estimates,25_69,98.7002102139451
900,1970,estimates,50plus,85.0073961454063
900,1970,estimates,60plus,77.5469581407349
900,1970,estimates,65plus,72.6689787564547
900,1970,estimates,70plus,66.8723792662447
900,1970,estimates,75plus,60.8104351654371
900,1970,estimates,80plus,54.3707205453481
900,1970,estimates,85plus,48.1237453432275
900,1970,estimates,90plus,42.4854535118158
900,1975,estimates,"Region, subregion, country or area *",WORLD
900,1975,estimates,total,100.729083763685
900,1975,estimates,0_1,104.907033281742
900,1975,estimates,0_4,104.542604245849
900,1975,estimates,0_14,104.384213912385
900,1975,estimates,0_17,104.384652628876
900,1975,estimates,0_19,104.371882564606
900,1975,estimates,0_24,104.30064233443
900,1975,estimates,3_4,104.207029688987
900,1975,estimates,3_5,104.163720932862
900,1975,estimates,3_6,104.137717541931
900,1975,estimates,4_5,104.109562928845
900,1975,estimates,4_6,104.092418484242
900,1975,estimates,5_10,104.148645369492
900,1975,estimates,5_11,104.193399243394
900,1975,estimates,5_14,104.29462545129
900,1975,estimates,6_9,104.123690106392
900,1975,estimates,6_10,104.164123212374
900,1975,estimates,6_11,104.214372079534
900,1975,estimates,6_12,104.263230629305
900,1975,estimates,7_10,104.192095586333
900,1975,estimates,7_12,104.299940644781
900,1975,estimates,11_16,104.501654621196
900,1975,estimates,11_17,104.477353105996
900,1975,estimates,11_18,104.452052574176
900,1975,estimates,12_14,104.558484219203
900,1975,estimates,12_16,104.505989850406
900,1975,estimates,12_17,104.476576631265
900,1975,estimates,12_18,104.447369131042
900,1975,estimates,13_17,104.454275271432
900,1975,estimates,13_18,104.42321166737
900,1975,estimates,13_19,104.393197630669
900,1975,estimates,15plus,98.6569746500869
900,1975,estimates,15_17,104.387351208891
900,1975,estimates,15_24,104.136260086381
900,1975,estimates,15_49,103.607633137667
900,1975,estimates,15_59,102.423863339504
900,1975,estimates,15_64,101.628764682427
900,1975,estimates,16plus,98.4675649141214
900,1975,estimates,17plus,98.2740343058632
900,1975,estimates,18plus,98.0752279833633
900,1975,estimates,18_23,104.08454065726
900,1975,estimates,20plus,97.6517039044178
900,1975,estimates,20_64,101.085344333023
900,1975,estimates,20_69,100.099410119063
900,1975,estimates,21plus,97.4245829276687
900,1975,estimates,25plus,96.4383323269379
900,1975,estimates,25_49,103.265274446957
900,1975,estimates,25_64,100.443857674042
900,1975,estimates,25_69,99.2881881793838
900,1975,estimates,50plus,85.0495173747149
900,1975,estimates,60plus,77.4019556273071
900,1975,estimates,65plus,72.4569700708843
900,1975,estimates,70plus,66.7141085109297
900,1975,estimates,75plus,59.960914029898
900,1975,estimates,80plus,53.0969709605043
900,1975,estimates,85plus,46.1143226563572
900,1975,estimates,90plus,39.7964754751514
900,1980,estimates,"Region, subregion, country or area *",WORLD
900,1980,estimates,total,100.901942091602
900,1980,estimates,0_1,104.285993537304
900,1980,estimates,0_4,104.555619272613
900,1980,estimates,0_14,104.526832550823
900,1980,estimates,0_17,104.525172861525
900,1980,estimates,0_19,104.520917245935
900,1980,estimates,0_24,104.450613349781
900,1980,estimates,3_4,104.796733020324
900,1980,estimates,3_5,104.814128188825
900,1980,estimates,3_6,104.815980420193
