country,year,variant,freq,age5yearinterval,noofbirthbymother
144,1950,estimates,5yearly,15_19,198.067
144,1950,estimates,5yearly,20_24,423.343
144,1950,estimates,5yearly,25_29,420.649
144,1950,estimates,5yearly,30_34,294.064
144,1950,estimates,5yearly,35_39,169.077
144,1950,estimates,5yearly,40_44,61.429
144,1950,estimates,5yearly,45_49,6.959
144,1955,estimates,5yearly,15_19,227.767
144,1955,estimates,5yearly,20_24,473.68
144,1955,estimates,5yearly,25_29,470.249
144,1955,estimates,5yearly,30_34,342.301
144,1955,estimates,5yearly,35_39,199.767
144,1955,estimates,5yearly,40_44,71.872
144,1955,estimates,5yearly,45_49,8.169
144,1960,estimates,5yearly,15_19,244.241
144,1960,estimates,5yearly,20_24,488.787
144,1960,estimates,5yearly,25_29,473.384
144,1960,estimates,5yearly,30_34,344.445
144,1960,estimates,5yearly,35_39,209.22
144,1960,estimates,5yearly,40_44,76.362
144,1960,estimates,5yearly,45_49,8.583
144,1965,estimates,5yearly,15_19,219.782
144,1965,estimates,5yearly,20_24,509.535
144,1965,estimates,5yearly,25_29,519.806
144,1965,estimates,5yearly,30_34,371.698
144,1965,estimates,5yearly,35_39,213.561
144,1965,estimates,5yearly,40_44,79.722
144,1965,estimates,5yearly,45_49,9.057
144,1970,estimates,5yearly,15_19,171.443
144,1970,estimates,5yearly,20_24,481.767
144,1970,estimates,5yearly,25_29,556.444
144,1970,estimates,5yearly,30_34,393.796
144,1970,estimates,5yearly,35_39,205.673
144,1970,estimates,5yearly,40_44,73.656
144,1970,estimates,5yearly,45_49,8.575
144,1975,estimates,5yearly,15_19,159.351
144,1975,estimates,5yearly,20_24,559.073
144,1975,estimates,5yearly,25_29,604.484
144,1975,estimates,5yearly,30_34,422.773
144,1975,estimates,5yearly,35_39,191.265
144,1975,estimates,5yearly,40_44,55.888
144,1975,estimates,5yearly,45_49,6.252
144,1980,estimates,5yearly,15_19,158.2
144,1980,estimates,5yearly,20_24,609.576
144,1980,estimates,5yearly,25_29,618.012
144,1980,estimates,5yearly,30_34,397.273
144,1980,estimates,5yearly,35_39,180.502
144,1980,estimates,5yearly,40_44,46.261
144,1980,estimates,5yearly,45_49,5.267
144,1985,estimates,5yearly,15_19,140.357
144,1985,estimates,5yearly,20_24,527.539
