country,year,variant,freq,age5yearinterval,noofbirthbymother
540,1950,estimates,5yearly,15_19,0.683
540,1950,estimates,5yearly,20_24,2.758
540,1950,estimates,5yearly,25_29,3.167
540,1950,estimates,5yearly,30_34,2.414
540,1950,estimates,5yearly,35_39,1.612
540,1950,estimates,5yearly,40_44,0.75
540,1950,estimates,5yearly,45_49,0.175
540,1955,estimates,5yearly,15_19,0.741
540,1955,estimates,5yearly,20_24,2.987
540,1955,estimates,5yearly,25_29,3.473
540,1955,estimates,5yearly,30_34,2.587
540,1955,estimates,5yearly,35_39,1.784
540,1955,estimates,5yearly,40_44,0.779
540,1955,estimates,5yearly,45_49,0.191
540,1960,estimates,5yearly,15_19,0.866
540,1960,estimates,5yearly,20_24,3.391
540,1960,estimates,5yearly,25_29,4.027
540,1960,estimates,5yearly,30_34,3.024
540,1960,estimates,5yearly,35_39,2.038
540,1960,estimates,5yearly,40_44,0.874
540,1960,estimates,5yearly,45_49,0.203
540,1965,estimates,5yearly,15_19,1.891
540,1965,estimates,5yearly,20_24,4.984
540,1965,estimates,5yearly,25_29,4.467
540,1965,estimates,5yearly,30_34,3.092
540,1965,estimates,5yearly,35_39,2.024
540,1965,estimates,5yearly,40_44,0.792
540,1965,estimates,5yearly,45_49,0.176
540,1970,estimates,5yearly,15_19,2.143
540,1970,estimates,5yearly,20_24,7.043
540,1970,estimates,5yearly,25_29,5.851
540,1970,estimates,5yearly,30_34,3.375
540,1970,estimates,5yearly,35_39,2.105
540,1970,estimates,5yearly,40_44,0.851
540,1970,estimates,5yearly,45_49,0.194
540,1975,estimates,5yearly,15_19,2.902
540,1975,estimates,5yearly,20_24,6.48
540,1975,estimates,5yearly,25_29,4.846
540,1975,estimates,5yearly,30_34,3.112
540,1975,estimates,5yearly,35_39,1.707
540,1975,estimates,5yearly,40_44,0.616
540,1975,estimates,5yearly,45_49,0.089
540,1980,estimates,5yearly,15_19,2.495
540,1980,estimates,5yearly,20_24,6.726
540,1980,estimates,5yearly,25_29,4.842
540,1980,estimates,5yearly,30_34,2.808
540,1980,estimates,5yearly,35_39,1.518
540,1980,estimates,5yearly,40_44,0.513
540,1980,estimates,5yearly,45_49,0.091
540,1985,estimates,5yearly,15_19,1.99
540,1985,estimates,5yearly,20_24,6.477
540,1985,estimates,5yearly,25_29,5.375
540,1985,estimates,5yearly,30_34,3.274
540,1985,estimates,5yearly,35_39,1.606
540,1985,estimates,5yearly,40_44,0.463
540,1985,estimates,5yearly,45_49,0.039
540,1990,estimates,5yearly,15_19,1.66
540,1990,estimates,5yearly,20_24,6.431
540,1990,estimates,5yearly,25_29,6.773
540,1990,estimates,5yearly,30_34,4.546
540,1990,estimates,5yearly,35_39,1.834
540,1990,estimates,5yearly,40_44,0.44
540,1990,estimates,5yearly,45_49,0.038
540,1995,estimates,5yearly,15_19,0.735
540,1995,estimates,5yearly,20_24,5.174
540,1995,estimates,5yearly,25_29,7.057
540,1995,estimates,5yearly,30_34,5.147
540,1995,estimates,5yearly,35_39,2.808
540,1995,estimates,5yearly,40_44,0.622
540,1995,estimates,5yearly,45_49,0.04
540,2000,estimates,5yearly,15_19,0.907
540,2000,estimates,5yearly,20_24,5.442
540,2000,estimates,5yearly,25_29,6.52
540,2000,estimates,5yearly,30_34,5.097
540,2000,estimates,5yearly,35_39,2.519
540,2000,estimates,5yearly,40_44,0.647
540,2000,estimates,5yearly,45_49,0.045
540,2005,estimates,5yearly,15_19,1.089
540,2005,estimates,5yearly,20_24,4.556
540,2005,estimates,5yearly,25_29,5.899
540,2005,estimates,5yearly,30_34,5.586
540,2005,estimates,5yearly,35_39,3.131
540,2005,estimates,5yearly,40_44,0.751
540,2005,estimates,5yearly,45_49,0.052
540,2010,estimates,5yearly,15_19,1.046
540,2010,estimates,5yearly,20_24,5.177
540,2010,estimates,5yearly,25_29,5.756
540,2010,estimates,5yearly,30_34,4.436
540,2010,estimates,5yearly,35_39,3.306
540,2010,estimates,5yearly,40_44,1.39
540,2010,estimates,5yearly,45_49,0.061
540,2015,constant_fertility,5yearly,15_19,1.028
540,2015,constant_mortality,5yearly,15_19,1.002
540,2015,high_variant,5yearly,15_19,1.119
540,2015,instant_replacement,5yearly,15_19,0.978
540,2015,low_variant,5yearly,15_19,0.885
