country,year,variant,freq,age1yearinterval,survivorage
499,1950,estimates,5yearly,"Region, subregion, country or area *",Montenegro
499,1950,estimates,5yearly,0,100000
499,1950,estimates,5yearly,1,87992.696
499,1950,estimates,5yearly,5,86713.565
499,1950,estimates,5yearly,10,86424.322
499,1950,estimates,5yearly,15,86180.384
499,1950,estimates,5yearly,20,85711.901
499,1950,estimates,5yearly,25,85025.785
499,1950,estimates,5yearly,30,84164.578
499,1950,estimates,5yearly,35,83104.529
499,1950,estimates,5yearly,40,81662.596
499,1950,estimates,5yearly,45,79803.456
499,1950,estimates,5yearly,50,77169.786
499,1950,estimates,5yearly,55,73132.37
499,1950,estimates,5yearly,60,66975.302
499,1950,estimates,5yearly,65,58684.485
499,1950,estimates,5yearly,70,48242.752
499,1950,estimates,5yearly,75,35122.484
499,1950,estimates,5yearly,80,20754.64
499,1950,estimates,5yearly,85,8984.8474
499,1950,estimates,5yearly,90,2376.7702
499,1950,estimates,5yearly,95,318.62448
499,1950,estimates,5yearly,100plus,17.715659
499,1955,estimates,5yearly,"Region, subregion, country or area *",Montenegro
499,1955,estimates,5yearly,0,100000
499,1955,estimates,5yearly,1,89577.734
499,1955,estimates,5yearly,5,88447.634
499,1955,estimates,5yearly,10,88196.845
499,1955,estimates,5yearly,15,87976.0
499,1955,estimates,5yearly,20,87548.463
499,1955,estimates,5yearly,25,86907.231
499,1955,estimates,5yearly,30,86079.406
499,1955,estimates,5yearly,35,85067.063
499,1955,estimates,5yearly,40,83689.553
499,1955,estimates,5yearly,45,81919.609
499,1955,estimates,5yearly,50,79408.439
499,1955,estimates,5yearly,55,75693.115
499,1955,estimates,5yearly,60,69976.449
499,1955,estimates,5yearly,65,62285.628
499,1955,estimates,5yearly,70,52506.097
499,1955,estimates,5yearly,75,39834.882
499,1955,estimates,5yearly,80,24886.488
499,1955,estimates,5yearly,85,11826.564
499,1955,estimates,5yearly,90,3709.2293
499,1955,estimates,5yearly,95,637.11611
499,1955,estimates,5yearly,100plus,52.711254
499,1960,estimates,5yearly,"Region, subregion, country or area *",Montenegro
499,1960,estimates,5yearly,0,100000
499,1960,estimates,5yearly,1,92812.309
499,1960,estimates,5yearly,5,92004.714
499,1960,estimates,5yearly,10,91787.243
499,1960,estimates,5yearly,15,91587.318
499,1960,estimates,5yearly,20,91200.267
499,1960,estimates,5yearly,25,90590.727
499,1960,estimates,5yearly,30,89804.79
499,1960,estimates,5yearly,35,88843.157
499,1960,estimates,5yearly,40,87533.27
499,1960,estimates,5yearly,45,85848.032
499,1960,estimates,5yearly,50,83459.814
499,1960,estimates,5yearly,55,79936.22
499,1960,estimates,5yearly,60,74425.133
499,1960,estimates,5yearly,65,66942.704
499,1960,estimates,5yearly,70,57405.368
499,1960,estimates,5yearly,75,44853.261
499,1960,estimates,5yearly,80,28755.106
499,1960,estimates,5yearly,85,14289.591
499,1960,estimates,5yearly,90,4886.3938
499,1960,estimates,5yearly,95,1029.9524
499,1960,estimates,5yearly,100plus,105.83652
499,1965,estimates,5yearly,"Region, subregion, country or area *",Montenegro
499,1965,estimates,5yearly,0,100000
499,1965,estimates,5yearly,1,95042.982
499,1965,estimates,5yearly,5,94472.624
499,1965,estimates,5yearly,10,94278.416
499,1965,estimates,5yearly,15,94096.613
499,1965,estimates,5yearly,20,93750.495
499,1965,estimates,5yearly,25,93207.887
499,1965,estimates,5yearly,30,92539.416
499,1965,estimates,5yearly,35,91711.434
499,1965,estimates,5yearly,40,90546.923
499,1965,estimates,5yearly,45,88980.037
