country,year,variant,freq,age1yearinterval,survivorage
768,1950,estimates,5yearly,"Region, subregion, country or area *",Togo
768,1950,estimates,5yearly,0,100000
768,1950,estimates,5yearly,1,81382.532
768,1950,estimates,5yearly,5,67924.098
768,1950,estimates,5yearly,10,64201.152
768,1950,estimates,5yearly,15,62379.705
768,1950,estimates,5yearly,20,59804.206
768,1950,estimates,5yearly,25,56421.51
768,1950,estimates,5yearly,30,53110.081
768,1950,estimates,5yearly,35,49929.602
768,1950,estimates,5yearly,40,46684.721
768,1950,estimates,5yearly,45,43317.05
768,1950,estimates,5yearly,50,39791.799
768,1950,estimates,5yearly,55,35616.973
768,1950,estimates,5yearly,60,30627.323
768,1950,estimates,5yearly,65,24148.783
768,1950,estimates,5yearly,70,16780.277
768,1950,estimates,5yearly,75,9320.5636
768,1950,estimates,5yearly,80,3639.9488
768,1950,estimates,5yearly,85,838.14072
768,1950,estimates,5yearly,90,101.609
768,1950,estimates,5yearly,95,6.1514491
768,1950,estimates,5yearly,100plus,0.17007425
768,1955,estimates,5yearly,"Region, subregion, country or area *",Togo
768,1955,estimates,5yearly,0,100000
768,1955,estimates,5yearly,1,83583.679
768,1955,estimates,5yearly,5,71186.714
768,1955,estimates,5yearly,10,67853.441
768,1955,estimates,5yearly,15,66194.519
768,1955,estimates,5yearly,20,63833.911
768,1955,estimates,5yearly,25,60707.428
768,1955,estimates,5yearly,30,57619.581
768,1955,estimates,5yearly,35,54614.918
768,1955,estimates,5yearly,40,51509.116
768,1955,estimates,5yearly,45,48230.031
768,1955,estimates,5yearly,50,44738.47
768,1955,estimates,5yearly,55,40532.794
768,1955,estimates,5yearly,60,35416.423
768,1955,estimates,5yearly,65,28656.816
768,1955,estimates,5yearly,70,20700.155
768,1955,estimates,5yearly,75,12214.444
768,1955,estimates,5yearly,80,5235.7498
768,1955,estimates,5yearly,85,1378.0359
768,1955,estimates,5yearly,90,195.28034
768,1955,estimates,5yearly,95,13.776464
768,1955,estimates,5yearly,100plus,0.47247797
768,1960,estimates,5yearly,"Region, subregion, country or area *",Togo
768,1960,estimates,5yearly,0,100000
768,1960,estimates,5yearly,1,85506.798
768,1960,estimates,5yearly,5,74116.701
768,1960,estimates,5yearly,10,71163.513
768,1960,estimates,5yearly,15,69666.757
768,1960,estimates,5yearly,20,67522.655
768,1960,estimates,5yearly,25,64658.955
768,1960,estimates,5yearly,30,61809.265
768,1960,estimates,5yearly,35,59002.048
768,1960,estimates,5yearly,40,56063.511
768,1960,estimates,5yearly,45,52905.86
768,1960,estimates,5yearly,50,49481.897
768,1960,estimates,5yearly,55,45296.669
