region,variant,gender,freq,year,mortality15to60per1000aliveat15
1517,estimates,female,5yearly,1950,403.363757373535
1517,estimates,male,5yearly,1950,467.173644095627
1517,estimates,female,5yearly,1955,372.127886124372
1517,estimates,male,5yearly,1955,441.156628722555
1517,estimates,female,5yearly,1960,345.727040557414
1517,estimates,male,5yearly,1960,413.42726586357
1517,estimates,female,5yearly,1965,282.759285058967
1517,estimates,male,5yearly,1965,330.283528359508
1517,estimates,female,5yearly,1970,235.443175705776
1517,estimates,male,5yearly,1970,291.537210607536
1517,estimates,female,5yearly,1975,206.588358646485
1517,estimates,male,5yearly,1975,266.419982835573
1517,estimates,female,5yearly,1980,187.309893231385
1517,estimates,male,5yearly,1980,257.142000615372
1517,estimates,female,5yearly,1985,173.389439605415
1517,estimates,male,5yearly,1985,238.184225364599
1517,estimates,female,5yearly,1990,164.292615170495
1517,estimates,male,5yearly,1990,234.979891319584
1517,estimates,female,5yearly,1995,157.051358323006
1517,estimates,male,5yearly,1995,229.451349309205
1517,estimates,female,5yearly,2000,149.529766437105
1517,estimates,male,5yearly,2000,217.846283488681
1517,estimates,female,5yearly,2005,136.361656522477
1517,estimates,male,5yearly,2005,202.659934080399
1517,estimates,female,5yearly,2010,120.918967022812
1517,estimates,male,5yearly,2010,186.442319350599
1517,medium_variant,female,5yearly,2015,112.742631711276
1517,medium_variant,male,5yearly,2015,175.809199835627
1517,medium_variant,female,5yearly,2020,105.767426188695
1517,medium_variant,male,5yearly,2020,165.782972054657
1517,medium_variant,female,5yearly,2025,99.9955356144256
1517,medium_variant,male,5yearly,2025,158.222031421176
1517,medium_variant,female,5yearly,2030,95.1069084748126
1517,medium_variant,male,5yearly,2030,152.103649032413
1517,medium_variant,female,5yearly,2035,89.858534977714
1517,medium_variant,male,5yearly,2035,145.204417157113
1517,medium_variant,female,5yearly,2040,85.0972112204973
1517,medium_variant,male,5yearly,2040,137.535048099142
1517,medium_variant,female,5yearly,2045,81.2644031797738
1517,medium_variant,male,5yearly,2045,131.214667847289
1517,medium_variant,female,5yearly,2050,77.9098452792355
1517,medium_variant,male,5yearly,2050,126.226559375459
1517,medium_variant,female,5yearly,2055,73.974734855618
1517,medium_variant,male,5yearly,2055,120.296505890206
1517,medium_variant,female,5yearly,2060,69.7922177467446
1517,medium_variant,male,5yearly,2060,113.765649024534
1517,medium_variant,female,5yearly,2065,66.0127695684113
1517,medium_variant,male,5yearly,2065,107.86549639812
1517,medium_variant,female,5yearly,2070,62.6104096252808
1517,medium_variant,male,5yearly,2070,102.37086428462
1517,medium_variant,female,5yearly,2075,59.4697716243918
1517,medium_variant,male,5yearly,2075,97.2225556886905
1517,medium_variant,female,5yearly,2080,56.4596625924907
1517,medium_variant,male,5yearly,2080,92.1130598592708
1517,medium_variant,female,5yearly,2085,53.3574951178462
1517,medium_variant,male,5yearly,2085,86.7447386992762
1517,medium_variant,female,5yearly,2090,50.4265932654322
1517,medium_variant,male,5yearly,2090,81.5914463637054
1517,medium_variant,female,5yearly,2095,47.4922181229099
1517,medium_variant,male,5yearly,2095,76.3482080754144
