region,variant,gender,freq,year,mortality15to60per1000aliveat15
920,estimates,female,5yearly,1950,324.372539204924
920,estimates,male,5yearly,1950,381.354402295782
920,estimates,female,5yearly,1955,298.114210650389
920,estimates,male,5yearly,1955,350.078525798767
920,estimates,female,5yearly,1960,277.713635985482
920,estimates,male,5yearly,1960,327.523799018628
920,estimates,female,5yearly,1965,258.622083950506
920,estimates,male,5yearly,1965,309.839573205114
920,estimates,female,5yearly,1970,252.01812184105
920,estimates,male,5yearly,1970,319.95689520535
920,estimates,female,5yearly,1975,236.55578662201
920,estimates,male,5yearly,1975,303.670725234739
920,estimates,female,5yearly,1980,198.114054664734
920,estimates,male,5yearly,1980,257.499690237826
920,estimates,female,5yearly,1985,178.6520411686
920,estimates,male,5yearly,1985,241.048058900717
920,estimates,female,5yearly,1990,165.407182000267
920,estimates,male,5yearly,1990,235.471321374732
920,estimates,female,5yearly,1995,155.724980878735
920,estimates,male,5yearly,1995,231.364391007659
920,estimates,female,5yearly,2000,148.985145826056
920,estimates,male,5yearly,2000,228.162602924284
920,estimates,female,5yearly,2005,137.472396722277
920,estimates,male,5yearly,2005,221.458012547615
920,estimates,female,5yearly,2010,127.976317628755
920,estimates,male,5yearly,2010,212.086800417922
920,medium_variant,female,5yearly,2015,119.502517651937
920,medium_variant,male,5yearly,2015,203.138930679609
920,medium_variant,female,5yearly,2020,111.589882500384
920,medium_variant,male,5yearly,2020,194.169040104644
920,medium_variant,female,5yearly,2025,104.014440150415
920,medium_variant,male,5yearly,2025,185.665181135801
920,medium_variant,female,5yearly,2030,97.56884961179
920,medium_variant,male,5yearly,2030,177.027459730409
920,medium_variant,female,5yearly,2035,91.6670821520694
920,medium_variant,male,5yearly,2035,168.724530532299
920,medium_variant,female,5yearly,2040,86.851898245158
920,medium_variant,male,5yearly,2040,160.872577338548
920,medium_variant,female,5yearly,2045,82.304145453075
920,medium_variant,male,5yearly,2045,153.446532973152
920,medium_variant,female,5yearly,2050,78.2297892616645
920,medium_variant,male,5yearly,2050,146.740037912783
920,medium_variant,female,5yearly,2055,74.4883119957011
920,medium_variant,male,5yearly,2055,140.434664819572
920,medium_variant,female,5yearly,2060,70.3510026474107
920,medium_variant,male,5yearly,2060,133.028465117461
920,medium_variant,female,5yearly,2065,66.2635928300963
920,medium_variant,male,5yearly,2065,125.386833998363
920,medium_variant,female,5yearly,2070,62.5817063779588
920,medium_variant,male,5yearly,2070,118.687830030134
920,medium_variant,female,5yearly,2075,59.3805892557819
920,medium_variant,male,5yearly,2075,111.903930863626
920,medium_variant,female,5yearly,2080,56.003384420379
920,medium_variant,male,5yearly,2080,104.789027073444
920,medium_variant,female,5yearly,2085,52.7248182784491
920,medium_variant,male,5yearly,2085,97.2285693212464
920,medium_variant,female,5yearly,2090,49.6978304037872
920,medium_variant,male,5yearly,2090,89.9773321145201
920,medium_variant,female,5yearly,2095,46.7274306501785
920,medium_variant,male,5yearly,2095,83.0685625917401
920,estimates,female,5yearly,Regi,South-Eastern Asia
920,estimates,male,5yearly,Regi,South-Eastern Asia
920,medium_variant,female,5yearly,Regi,South-Eastern Asia
920,medium_variant,male,5yearly,Regi,South-Eastern Asia
