global,variant,freq,year,lifeexpectancyat15
900,estimates,5yearly,1950,47.1758319904994
900,estimates,5yearly,1955,48.3944565282555
900,estimates,5yearly,1960,49.6246676600858
900,estimates,5yearly,1965,52.2272375627911
900,estimates,5yearly,1970,53.7820757047975
900,estimates,5yearly,1975,54.9251701053844
900,estimates,5yearly,1980,55.6613063576171
900,estimates,5yearly,1985,56.4476690822128
900,estimates,5yearly,1990,56.8681947146571
900,estimates,5yearly,1995,57.3113196181912
900,estimates,5yearly,2000,58.0072032750644
900,estimates,5yearly,2005,59.0195136895332
900,estimates,5yearly,2010,60.0302990643512
900,medium_variant,5yearly,2015,60.7447854853651
900,medium_variant,5yearly,2020,61.3614118337468
900,medium_variant,5yearly,2025,61.9270808809842
900,medium_variant,5yearly,2030,62.4944706320023
900,medium_variant,5yearly,2035,63.0079127955764
900,medium_variant,5yearly,2040,63.5127492586604
900,medium_variant,5yearly,2045,64.0219402333577
900,medium_variant,5yearly,2050,64.504792155312
900,medium_variant,5yearly,2055,64.9771514683707
900,medium_variant,5yearly,2060,65.4343531232236
900,medium_variant,5yearly,2065,65.8855777136975
900,medium_variant,5yearly,2070,66.3207187509425
900,medium_variant,5yearly,2075,66.7616879295149
900,medium_variant,5yearly,2080,67.2009985965051
900,medium_variant,5yearly,2085,67.6441832082013
900,medium_variant,5yearly,2090,68.0937517098679
900,medium_variant,5yearly,2095,68.5626002966246
