variant,country,year,gender,potentialsupport2069_65
estimates,807,1950,male,11.419
estimates,807,1951,male,11.759
estimates,807,1952,male,12.24
estimates,807,1953,male,12.868
estimates,807,1954,male,13.662
estimates,807,1955,male,14.648
estimates,807,1956,male,14.986
estimates,807,1957,male,15.45
estimates,807,1958,male,16.062
estimates,807,1959,male,16.84
estimates,807,1960,male,17.819
estimates,807,1961,male,18.193
estimates,807,1962,male,18.688
estimates,807,1963,male,19.297
estimates,807,1964,male,19.999
estimates,807,1965,male,20.782
estimates,807,1966,male,20.88
estimates,807,1967,male,21.009
estimates,807,1968,male,21.153
estimates,807,1969,male,21.277
estimates,807,1970,male,21.366
estimates,807,1971,male,20.883
estimates,807,1972,male,20.442
estimates,807,1973,male,20.032
estimates,807,1974,male,19.601
estimates,807,1975,male,19.126
estimates,807,1976,male,18.493
estimates,807,1977,male,17.935
estimates,807,1978,male,17.423
estimates,807,1979,male,16.912
estimates,807,1980,male,16.391
estimates,807,1981,male,15.721
estimates,807,1982,male,15.089
estimates,807,1983,male,14.609
estimates,807,1984,male,14.407
estimates,807,1985,male,14.514
estimates,807,1986,male,14.626
estimates,807,1987,male,14.993
estimates,807,1988,male,15.467
estimates,807,1989,male,15.817
estimates,807,1990,male,15.903
estimates,807,1991,male,15.57
estimates,807,1992,male,15.103
estimates,807,1993,male,14.595
estimates,807,1994,male,14.137
estimates,807,1995,male,13.757
estimates,807,1996,male,13.33
estimates,807,1997,male,12.995
estimates,807,1998,male,12.727
estimates,807,1999,male,12.492
estimates,807,2000,male,12.277
estimates,807,2001,male,11.876
estimates,807,2002,male,11.539
estimates,807,2003,male,11.261
estimates,807,2004,male,11.041
estimates,807,2005,male,10.878
estimates,807,2006,male,10.633
estimates,807,2007,male,10.445
estimates,807,2008,male,10.309
estimates,807,2009,male,10.229
estimates,807,2010,male,10.2
estimates,807,2011,male,10.081
estimates,807,2012,male,10.006
estimates,807,2013,male,9.96
estimates,807,2014,male,9.927
estimates,807,2015,male,9.899
medium_variant,807,2015,male,9.899
medium_variant,807,2016,male,9.735
medium_variant,807,2017,male,9.594
medium_variant,807,2018,male,9.447
medium_variant,807,2019,male,9.262
medium_variant,807,2020,male,9.025
medium_variant,807,2021,male,8.646
medium_variant,807,2022,male,8.265
medium_variant,807,2023,male,7.902
medium_variant,807,2024,male,7.579
medium_variant,807,2025,male,7.299
medium_variant,807,2026,male,6.994
medium_variant,807,2027,male,6.732
medium_variant,807,2028,male,6.505
medium_variant,807,2029,male,6.306
medium_variant,807,2030,male,6.132
medium_variant,807,2031,male,5.94
medium_variant,807,2032,male,5.778
medium_variant,807,2033,male,5.637
medium_variant,807,2034,male,5.509
medium_variant,807,2035,male,5.39
medium_variant,807,2036,male,5.249
medium_variant,807,2037,male,5.122
medium_variant,807,2038,male,5.008
medium_variant,807,2039,male,4.909
medium_variant,807,2040,male,4.824
medium_variant,807,2041,male,4.722
medium_variant,807,2042,male,4.636
medium_variant,807,2043,male,4.559
medium_variant,807,2044,male,4.486
medium_variant,807,2045,male,4.412
medium_variant,807,2046,male,4.309
medium_variant,807,2047,male,4.212
medium_variant,807,2048,male,4.118
medium_variant,807,2049,male,4.025
medium_variant,807,2050,male,3.932
medium_variant,807,2051,male,3.815
medium_variant,807,2052,male,3.704
medium_variant,807,2053,male,3.598
medium_variant,807,2054,male,3.499
medium_variant,807,2055,male,3.407
medium_variant,807,2056,male,3.307
medium_variant,807,2057,male,3.217
medium_variant,807,2058,male,3.136
medium_variant,807,2059,male,3.061
medium_variant,807,2060,male,2.992
medium_variant,807,2061,male,2.919
medium_variant,807,2062,male,2.854
medium_variant,807,2063,male,2.798
medium_variant,807,2064,male,2.752
medium_variant,807,2065,male,2.717
medium_variant,807,2066,male,2.686
medium_variant,807,2067,male,2.667
medium_variant,807,2068,male,2.657
medium_variant,807,2069,male,2.65
medium_variant,807,2070,male,2.646
medium_variant,807,2071,male,2.638
medium_variant,807,2072,male,2.633
medium_variant,807,2073,male,2.632
medium_variant,807,2074,male,2.634
medium_variant,807,2075,male,2.641
medium_variant,807,2076,male,2.645
medium_variant,807,2077,male,2.654
medium_variant,807,2078,male,2.666
medium_variant,807,2079,male,2.677
medium_variant,807,2080,male,2.682
medium_variant,807,2081,male,2.677
medium_variant,807,2082,male,2.671
medium_variant,807,2083,male,2.662
medium_variant,807,2084,male,2.65
medium_variant,807,2085,male,2.636
medium_variant,807,2086,male,2.616
medium_variant,807,2087,male,2.596
medium_variant,807,2088,male,2.577
medium_variant,807,2089,male,2.556
medium_variant,807,2090,male,2.533
medium_variant,807,2091,male,2.51
medium_variant,807,2092,male,2.489
medium_variant,807,2093,male,2.468
medium_variant,807,2094,male,2.447
medium_variant,807,2095,male,2.424
medium_variant,807,2096,male,2.407
medium_variant,807,2097,male,2.392
medium_variant,807,2098,male,2.378
medium_variant,807,2099,male,2.365
