variant,country,year,gender,potentialsupport2069_65
estimates,466,1950,male,32.484
estimates,466,1951,male,32.528
estimates,466,1952,male,33.259
estimates,466,1953,male,34.741
estimates,466,1954,male,37.14
estimates,466,1955,male,40.815
estimates,466,1956,male,40.072
estimates,466,1957,male,40.025
estimates,466,1958,male,40.778
estimates,466,1959,male,42.536
estimates,466,1960,male,45.601
estimates,466,1961,male,44.492
estimates,466,1962,male,44.243
estimates,466,1963,male,44.841
estimates,466,1964,male,46.342
estimates,466,1965,male,48.929
estimates,466,1966,male,46.925
estimates,466,1967,male,45.682
estimates,466,1968,male,45.082
estimates,466,1969,male,45.038
estimates,466,1970,male,45.556
estimates,466,1971,male,42.808
estimates,466,1972,male,40.771
estimates,466,1973,male,39.359
estimates,466,1974,male,38.497
estimates,466,1975,male,38.116
estimates,466,1976,male,35.834
estimates,466,1977,male,34.112
estimates,466,1978,male,32.843
estimates,466,1979,male,31.951
estimates,466,1980,male,31.384
estimates,466,1981,male,29.508
estimates,466,1982,male,28.001
estimates,466,1983,male,26.797
estimates,466,1984,male,25.85
estimates,466,1985,male,25.128
estimates,466,1986,male,23.569
estimates,466,1987,male,22.243
estimates,466,1988,male,21.122
estimates,466,1989,male,20.202
estimates,466,1990,male,19.473
estimates,466,1991,male,19.094
estimates,466,1992,male,18.909
estimates,466,1993,male,18.888
estimates,466,1994,male,19.015
estimates,466,1995,male,19.274
estimates,466,1996,male,19.373
estimates,466,1997,male,19.639
estimates,466,1998,male,20.061
estimates,466,1999,male,20.64
estimates,466,2000,male,21.377
estimates,466,2001,male,21.729
estimates,466,2002,male,22.247
estimates,466,2003,male,22.929
estimates,466,2004,male,23.793
estimates,466,2005,male,24.852
estimates,466,2006,male,25.29
estimates,466,2007,male,25.925
estimates,466,2008,male,26.699
estimates,466,2009,male,27.536
estimates,466,2010,male,28.396
estimates,466,2011,male,28.383
estimates,466,2012,male,28.445
estimates,466,2013,male,28.653
estimates,466,2014,male,29.112
estimates,466,2015,male,29.873
medium_variant,466,2015,male,29.873
medium_variant,466,2016,male,30.17
medium_variant,466,2017,male,30.756
medium_variant,466,2018,male,31.517
medium_variant,466,2019,male,32.304
medium_variant,466,2020,male,33.046
medium_variant,466,2021,male,32.984
medium_variant,466,2022,male,32.975
medium_variant,466,2023,male,33.088
medium_variant,466,2024,male,33.408
medium_variant,466,2025,male,33.962
medium_variant,466,2026,male,34.03
medium_variant,466,2027,male,34.317
medium_variant,466,2028,male,34.76
medium_variant,466,2029,male,35.307
medium_variant,466,2030,male,35.921
medium_variant,466,2031,male,35.944
medium_variant,466,2032,male,36.077
medium_variant,466,2033,male,36.254
medium_variant,466,2034,male,36.406
medium_variant,466,2035,male,36.489
medium_variant,466,2036,male,35.955
medium_variant,466,2037,male,35.486
medium_variant,466,2038,male,35.037
medium_variant,466,2039,male,34.564
medium_variant,466,2040,male,34.045
medium_variant,466,2041,male,33.089
medium_variant,466,2042,male,32.24
medium_variant,466,2043,male,31.485
medium_variant,466,2044,male,30.811
medium_variant,466,2045,male,30.203
medium_variant,466,2046,male,29.376
medium_variant,466,2047,male,28.691
medium_variant,466,2048,male,28.12
medium_variant,466,2049,male,27.64
medium_variant,466,2050,male,27.233
medium_variant,466,2051,male,26.662
medium_variant,466,2052,male,26.207
medium_variant,466,2053,male,25.846
medium_variant,466,2054,male,25.568
medium_variant,466,2055,male,25.357
medium_variant,466,2056,male,24.973
medium_variant,466,2057,male,24.686
medium_variant,466,2058,male,24.463
medium_variant,466,2059,male,24.276
medium_variant,466,2060,male,24.102
medium_variant,466,2061,male,23.702
medium_variant,466,2062,male,23.361
medium_variant,466,2063,male,23.058
medium_variant,466,2064,male,22.776
medium_variant,466,2065,male,22.5
medium_variant,466,2066,male,22.003
medium_variant,466,2067,male,21.563
medium_variant,466,2068,male,21.15
medium_variant,466,2069,male,20.736
medium_variant,466,2070,male,20.304
medium_variant,466,2071,male,19.68
medium_variant,466,2072,male,19.112
medium_variant,466,2073,male,18.577
medium_variant,466,2074,male,18.055
medium_variant,466,2075,male,17.535
medium_variant,466,2076,male,16.885
medium_variant,466,2077,male,16.295
medium_variant,466,2078,male,15.759
medium_variant,466,2079,male,15.277
medium_variant,466,2080,male,14.841
medium_variant,466,2081,male,14.345
medium_variant,466,2082,male,13.915
medium_variant,466,2083,male,13.536
medium_variant,466,2084,male,13.197
medium_variant,466,2085,male,12.889
medium_variant,466,2086,male,12.529
medium_variant,466,2087,male,12.218
medium_variant,466,2088,male,11.941
medium_variant,466,2089,male,11.688
medium_variant,466,2090,male,11.45
medium_variant,466,2091,male,11.151
medium_variant,466,2092,male,10.887
medium_variant,466,2093,male,10.649
medium_variant,466,2094,male,10.427
medium_variant,466,2095,male,10.218
medium_variant,466,2096,male,9.949
medium_variant,466,2097,male,9.711
medium_variant,466,2098,male,9.494
medium_variant,466,2099,male,9.295
medium_variant,466,2100,male,9.107
estimates,466,1950,female,37.002
estimates,466,1951,female,36.83
estimates,466,1952,female,37.308
estimates,466,1953,female,38.524
estimates,466,1954,female,40.62
estimates,466,1955,female,43.864
estimates,466,1956,female,42.935
estimates,466,1957,female,42.745
estimates,466,1958,female,43.305
estimates,466,1959,female,44.65
estimates,466,1960,female,46.919
estimates,466,1961,female,45.247
estimates,466,1962,female,44.337
estimates,466,1963,female,44.138
estimates,466,1964,female,44.65
estimates,466,1965,female,45.875
estimates,466,1966,female,43.657
estimates,466,1967,female,42.141
estimates,466,1968,female,41.148
estimates,466,1969,female,40.543
estimates,466,1970,female,40.281
estimates,466,1971,female,37.693
estimates,466,1972,female,35.714
estimates,466,1973,female,34.255
estimates,466,1974,female,33.213
estimates,466,1975,female,32.51
estimates,466,1976,female,30.519
estimates,466,1977,female,28.973
estimates,466,1978,female,27.803
estimates,466,1979,female,26.947
estimates,466,1980,female,26.354
estimates,466,1981,female,24.984
estimates,466,1982,female,23.91
estimates,466,1983,female,23.073
estimates,466,1984,female,22.42
estimates,466,1985,female,21.924
estimates,466,1986,female,20.918
estimates,466,1987,female,20.105
estimates,466,1988,female,19.469
estimates,466,1989,female,19
estimates,466,1990,female,18.678
estimates,466,1991,female,18.368
estimates,466,1992,female,18.237
estimates,466,1993,female,18.256
estimates,466,1994,female,18.406
estimates,466,1995,female,18.67
estimates,466,1996,female,18.683
estimates,466,1997,female,18.852
estimates,466,1998,female,19.172
estimates,466,1999,female,19.644
estimates,466,2000,female,20.273
estimates,466,2001,female,20.46
estimates,466,2002,female,20.805
estimates,466,2003,female,21.298
estimates,466,2004,female,21.933
estimates,466,2005,female,22.708
estimates,466,2006,female,22.857
estimates,466,2007,female,23.164
estimates,466,2008,female,23.574
estimates,466,2009,female,24.022
estimates,466,2010,female,24.475
estimates,466,2011,female,24.252
estimates,466,2012,female,24.104
estimates,466,2013,female,24.081
estimates,466,2014,female,24.249
estimates,466,2015,female,24.629
medium_variant,466,2015,female,24.629
medium_variant,466,2016,female,24.676
medium_variant,466,2017,female,24.941
medium_variant,466,2018,female,25.346
medium_variant,466,2019,female,25.8
medium_variant,466,2020,female,26.252
medium_variant,466,2021,female,26.162
medium_variant,466,2022,female,26.145
medium_variant,466,2023,female,26.228
medium_variant,466,2024,female,26.448
medium_variant,466,2025,female,26.814
medium_variant,466,2026,female,26.827
medium_variant,466,2027,female,26.99
medium_variant,466,2028,female,27.263
medium_variant,466,2029,female,27.61
medium_variant,466,2030,female,28.002
medium_variant,466,2031,female,28.02
medium_variant,466,2032,female,28.126
medium_variant,466,2033,female,28.273
medium_variant,466,2034,female,28.421
medium_variant,466,2035,female,28.537
medium_variant,466,2036,female,28.261
medium_variant,466,2037,female,28.036
medium_variant,466,2038,female,27.83
medium_variant,466,2039,female,27.608
medium_variant,466,2040,female,27.348
medium_variant,466,2041,female,26.786
medium_variant,466,2042,female,26.287
medium_variant,466,2043,female,25.838
medium_variant,466,2044,female,25.428
medium_variant,466,2045,female,25.044
medium_variant,466,2046,female,24.499
medium_variant,466,2047,female,24.042
medium_variant,466,2048,female,23.653
medium_variant,466,2049,female,23.316
medium_variant,466,2050,female,23.014
medium_variant,466,2051,female,22.586
medium_variant,466,2052,female,22.232
medium_variant,466,2053,female,21.937
medium_variant,466,2054,female,21.693
medium_variant,466,2055,female,21.486
medium_variant,466,2056,female,21.178
medium_variant,466,2057,female,20.934
medium_variant,466,2058,female,20.726
medium_variant,466,2059,female,20.526
medium_variant,466,2060,female,20.318
medium_variant,466,2061,female,19.977
medium_variant,466,2062,female,19.666
medium_variant,466,2063,female,19.369
medium_variant,466,2064,female,19.079
medium_variant,466,2065,female,18.785
medium_variant,466,2066,female,18.373
medium_variant,466,2067,female,17.993
medium_variant,466,2068,female,17.622
medium_variant,466,2069,female,17.24
medium_variant,466,2070,female,16.835
medium_variant,466,2071,female,16.337
medium_variant,466,2072,female,15.867
medium_variant,466,2073,female,15.409
medium_variant,466,2074,female,14.95
medium_variant,466,2075,female,14.485
medium_variant,466,2076,female,13.977
medium_variant,466,2077,female,13.5
medium_variant,466,2078,female,13.052
medium_variant,466,2079,female,12.633
medium_variant,466,2080,female,12.241
medium_variant,466,2081,female,11.841
medium_variant,466,2082,female,11.481
medium_variant,466,2083,female,11.149
medium_variant,466,2084,female,10.839
medium_variant,466,2085,female,10.545
medium_variant,466,2086,female,10.247
medium_variant,466,2087,female,9.976
medium_variant,466,2088,female,9.723
medium_variant,466,2089,female,9.482
medium_variant,466,2090,female,9.247
medium_variant,466,2091,female,9.002
medium_variant,466,2092,female,8.776
medium_variant,466,2093,female,8.562
medium_variant,466,2094,female,8.355
medium_variant,466,2095,female,8.151
medium_variant,466,2096,female,7.939
medium_variant,466,2097,female,7.74
medium_variant,466,2098,female,7.552
medium_variant,466,2099,female,7.371
medium_variant,466,2100,female,7.194
