region,year,variant,gender,freq,agebroad,percentagetotaldeaths
957,1950,estimates,female,5yearly,0_4,41.6129801956574
957,1950,estimates,male,5yearly,0_4,40.4646752015173
957,1950,estimates,female,5yearly,0_14,46.0033404915295
957,1950,estimates,male,5yearly,0_14,45.2726410621147
957,1950,estimates,female,5yearly,0_19,49.164877117633
957,1950,estimates,male,5yearly,0_19,48.2313892840209
957,1950,estimates,female,5yearly,0_24,53.1973276067764
957,1950,estimates,male,5yearly,0_24,51.7306780464675
957,1950,estimates,female,5yearly,5_14,4.39036029587211
957,1950,estimates,male,5yearly,5_14,4.80796586059744
957,1950,estimates,female,5yearly,15plus,53.9966595084705
957,1950,estimates,male,5yearly,15plus,54.7273589378853
957,1950,estimates,female,5yearly,15_24,7.19398711524696
957,1950,estimates,male,5yearly,15_24,6.45803698435277
957,1950,estimates,female,5yearly,15_49,26.1751371987593
957,1950,estimates,male,5yearly,15_49,25.3200568990043
957,1950,estimates,female,5yearly,15_59,34.0968742543546
957,1950,estimates,male,5yearly,15_59,34.2816500711238
957,1950,estimates,female,5yearly,15_64,38.6184681460272
957,1950,estimates,male,5yearly,15_64,39.2982456140351
957,1950,estimates,female,5yearly,20plus,50.835122882367
957,1950,estimates,male,5yearly,20plus,51.7686107159791
957,1950,estimates,female,5yearly,20_64,35.4569315199236
957,1950,estimates,male,5yearly,20_64,36.339497392129
957,1950,estimates,female,5yearly,20_69,40.1097590073968
957,1950,estimates,male,5yearly,20_69,41.5078236130868
957,1950,estimates,female,5yearly,25plus,46.8026723932236
957,1950,estimates,male,5yearly,25plus,48.2693219535325
957,1950,estimates,female,5yearly,25_69,36.0773085182534
957,1950,estimates,male,5yearly,25_69,38.0085348506401
957,1950,estimates,female,5yearly,40plus,34.9439274636125
957,1950,estimates,male,5yearly,40plus,37.5912754860123
957,1950,estimates,female,5yearly,50plus,27.8215223097113
957,1950,estimates,male,5yearly,50plus,29.407302038881
957,1950,estimates,female,5yearly,60plus,19.899785254116
957,1950,estimates,male,5yearly,60plus,20.4457088667615
957,1950,estimates,female,5yearly,65plus,15.3781913624433
957,1950,estimates,male,5yearly,65plus,15.4291133238502
957,1950,estimates,female,5yearly,70plus,10.7253638749702
957,1950,estimates,male,5yearly,70plus,10.2607871028924
957,1950,estimates,female,5yearly,80plus,3.74612264376044
957,1950,estimates,male,5yearly,80plus,3.05357989568516
957,1950,estimates,female,5yearly,90plus,0.5249343832021
957,1950,estimates,male,5yearly,90plus,0.293978188715031
957,1955,estimates,female,5yearly,0_4,40.4726735598228
957,1955,estimates,male,5yearly,0_4,38.9748078980644
957,1955,estimates,female,5yearly,0_14,44.4977843426883
957,1955,estimates,male,5yearly,0_14,43.4393541484291
957,1955,estimates,female,5yearly,0_19,47.2058099458395
957,1955,estimates,male,5yearly,0_19,46.1628246279545
957,1955,estimates,female,5yearly,0_24,50.6277695716396
957,1955,estimates,male,5yearly,0_24,49.3239957202607
957,1955,estimates,female,5yearly,5_14,4.02511078286558
957,1955,estimates,male,5yearly,5_14,4.46454625036475
957,1955,estimates,female,5yearly,15plus,55.5022156573117
957,1955,estimates,male,5yearly,15plus,56.5606458515709
957,1955,estimates,female,5yearly,15_24,6.12998522895126
957,1955,estimates,male,5yearly,15_24,5.88464157183153
957,1955,estimates,female,5yearly,15_49,23.7690792712949
957,1955,estimates,male,5yearly,15_49,23.7330998930065
957,1955,estimates,female,5yearly,15_59,32.3116691285081
957,1955,estimates,male,5yearly,15_59,33.6348604221379
957,1955,estimates,female,5yearly,15_64,37.1122599704579
957,1955,estimates,male,5yearly,15_64,38.9845345783484
957,1955,estimates,female,5yearly,20plus,52.7941900541605
957,1955,estimates,male,5yearly,20plus,53.8371753720455
957,1955,estimates,female,5yearly,20_64,34.4042343673067
957,1955,estimates,male,5yearly,20_64,36.2610640988231
957,1955,estimates,female,5yearly,20_69,39.6479566715904
957,1955,estimates,male,5yearly,20_69,41.9900787861103
957,1955,estimates,female,5yearly,25plus,49.3722304283604
957,1955,estimates,male,5yearly,25plus,50.6760042797393
957,1955,estimates,female,5yearly,25_69,36.2259970457903
957,1955,estimates,male,5yearly,25_69,38.8289076938041
957,1955,estimates,female,5yearly,40plus,38.8970950270803
957,1955,estimates,male,5yearly,40plus,41.0174107577084
957,1955,estimates,female,5yearly,50plus,31.7331363860167
957,1955,estimates,male,5yearly,50plus,32.8275459585643
957,1955,estimates,female,5yearly,60plus,23.1905465288036
957,1955,estimates,male,5yearly,60plus,22.9257854294329
957,1955,estimates,female,5yearly,65plus,18.3899556868538
957,1955,estimates,male,5yearly,65plus,17.5761112732224
957,1955,estimates,female,5yearly,70plus,13.1462333825702
957,1955,estimates,male,5yearly,70plus,11.8470965859352
957,1955,estimates,female,5yearly,80plus,4.3205317577548
957,1955,estimates,male,5yearly,80plus,3.30707129656648
957,1955,estimates,female,5yearly,90plus,0.492368291482029
957,1955,estimates,male,5yearly,90plus,0.31125376908861
957,1960,estimates,female,5yearly,0_4,39.6811876368946
957,1960,estimates,male,5yearly,0_4,37.9887200076475
957,1960,estimates,female,5yearly,0_14,43.5750790946702
957,1960,estimates,male,5yearly,0_14,42.3573272153714
957,1960,estimates,female,5yearly,0_19,45.9600876125578
957,1960,estimates,male,5yearly,0_19,44.814071312494
957,1960,estimates,female,5yearly,0_24,49.002190313945
957,1960,estimates,male,5yearly,0_24,47.767899818373
957,1960,estimates,female,5yearly,5_14,3.89389145777562
957,1960,estimates,male,5yearly,5_14,4.36860720772393
957,1960,estimates,female,5yearly,15plus,56.4249209053298
957,1960,estimates,male,5yearly,15plus,57.6426727846286
957,1960,estimates,female,5yearly,15_24,5.42711121927476
957,1960,estimates,male,5yearly,15_24,5.41057260300163
957,1960,estimates,female,5yearly,15_49,22.1586760769044
957,1960,estimates,male,5yearly,15_49,22.2923238696109
957,1960,estimates,female,5yearly,15_59,30.8834266244828
957,1960,estimates,male,5yearly,15_59,32.7215371379409
957,1960,estimates,female,5yearly,15_64,36.0671696276466
957,1960,estimates,male,5yearly,15_64,38.763024567441
957,1960,estimates,female,5yearly,20plus,54.0399123874422
957,1960,estimates,male,5yearly,20plus,55.185928687506
957,1960,estimates,female,5yearly,20_64,33.6821611097591
957,1960,estimates,male,5yearly,20_64,36.3062804703183
957,1960,estimates,female,5yearly,20_69,38.9997566317839
957,1960,estimates,male,5yearly,20_69,42.2043781665233
957,1960,estimates,female,5yearly,25plus,50.997809686055
957,1960,estimates,male,5yearly,25plus,52.232100181627
957,1960,estimates,female,5yearly,25_69,35.9576539303967
957,1960,estimates,male,5yearly,25_69,39.2505496606443
957,1960,estimates,female,5yearly,40plus,41.2995862740326
957,1960,estimates,male,5yearly,40plus,43.27502150846
957,1960,estimates,female,5yearly,50plus,34.2662448284254
957,1960,estimates,male,5yearly,50plus,35.3503489150177
957,1960,estimates,female,5yearly,60plus,25.5414942808469
