region,year,variant,gender,freq,agebroad,percentagetotaldeaths
948,1960,estimates,female,5yearly,0_14,55.6354034840356
948,1960,estimates,male,5yearly,0_14,56.4019554998515
948,1960,estimates,female,5yearly,0_19,57.8543908951495
948,1960,estimates,male,5yearly,0_19,58.5932242849035
948,1960,estimates,female,5yearly,0_24,60.3494022930102
948,1960,estimates,male,5yearly,0_24,61.1066060399142
948,1960,estimates,female,5yearly,5_14,6.75586936867777
948,1960,estimates,male,5yearly,5_14,6.06901742972241
948,1960,estimates,female,5yearly,15plus,44.3645965159644
948,1960,estimates,male,5yearly,15plus,43.5980445001485
948,1960,estimates,female,5yearly,15_24,4.7139988089746
948,1960,estimates,male,5yearly,15_24,4.70465054006269
948,1960,estimates,female,5yearly,15_49,18.4516660936685
948,1960,estimates,male,5yearly,15_49,18.0446266188585
948,1960,estimates,female,5yearly,15_59,24.7889128964296
948,1960,estimates,male,5yearly,15_59,25.2195633788855
948,1960,estimates,female,5yearly,15_64,28.5960323228353
948,1960,estimates,male,5yearly,15_64,29.332967598096
948,1960,estimates,female,5yearly,20plus,42.1456091048505
948,1960,estimates,male,5yearly,20plus,41.4067757150965
948,1960,estimates,female,5yearly,20_64,26.3770449117215
948,1960,estimates,male,5yearly,20_64,27.141698813044
948,1960,estimates,female,5yearly,20_69,30.4633608790039
948,1960,estimates,male,5yearly,20_69,31.3070432996632
948,1960,estimates,female,5yearly,25plus,39.6505977069898
948,1960,estimates,male,5yearly,25plus,38.8933939600858
948,1960,estimates,female,5yearly,25_69,27.9683494811431
948,1960,estimates,male,5yearly,25_69,28.7936615446525
948,1960,estimates,female,5yearly,40plus,31.4676016048737
948,1960,estimates,male,5yearly,40plus,31.3289133891192
948,1960,estimates,female,5yearly,50plus,25.9129304222958
948,1960,estimates,male,5yearly,50plus,25.55341788129
948,1960,estimates,female,5yearly,60plus,19.5756836195348
948,1960,estimates,male,5yearly,60plus,18.3784811212629
948,1960,estimates,female,5yearly,65plus,15.768564193129
948,1960,estimates,male,5yearly,65plus,14.2650769020525
948,1960,estimates,female,5yearly,70plus,11.6822482258466
948,1960,estimates,male,5yearly,70plus,10.0997324154333
948,1960,estimates,female,5yearly,80plus,4.12841156486225
948,1960,estimates,male,5yearly,80plus,3.13694221540769
948,1960,estimates,female,5yearly,90plus,0.536735799246546
948,1960,estimates,male,5yearly,90plus,0.297392516629831
948,1965,estimates,female,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1965,estimates,male,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1965,estimates,female,5yearly,0_4,48.2663314953266
948,1965,estimates,male,5yearly,0_4,49.4227750181882
948,1965,estimates,female,5yearly,0_14,54.9489280607246
948,1965,estimates,male,5yearly,0_14,55.4516349365613
948,1965,estimates,female,5yearly,0_19,57.126357606966
948,1965,estimates,male,5yearly,0_19,57.5955845838495
948,1965,estimates,female,5yearly,0_24,59.4585567980874
948,1965,estimates,male,5yearly,0_24,59.90600903564
948,1965,estimates,female,5yearly,5_14,6.68259656539805
948,1965,estimates,male,5yearly,5_14,6.02885991837311
948,1965,estimates,female,5yearly,15plus,45.0510719392754
948,1965,estimates,male,5yearly,15plus,44.5483650634387
948,1965,estimates,female,5yearly,15_24,4.50962873736277
948,1965,estimates,male,5yearly,15_24,4.45437409907867
948,1965,estimates,female,5yearly,15_49,17.3839677093029
948,1965,estimates,male,5yearly,15_49,17.1699078508851
948,1965,estimates,female,5yearly,15_59,23.7194002467465
948,1965,estimates,male,5yearly,15_59,24.4998518809078
948,1965,estimates,female,5yearly,15_64,27.7105500814319
948,1965,estimates,male,5yearly,15_64,28.8969177785153
948,1965,estimates,female,5yearly,20plus,42.873642393034
