variant,region,year,gender,oldagedependencyratio2069
estimates,915,1950,male,4.515
estimates,915,1951,male,4.567
estimates,915,1952,male,4.599
estimates,915,1953,male,4.619
estimates,915,1954,male,4.636
estimates,915,1955,male,4.652
estimates,915,1956,male,4.769
estimates,915,1957,male,4.88
estimates,915,1958,male,4.975
estimates,915,1959,male,5.041
estimates,915,1960,male,5.07
estimates,915,1961,male,5.142
estimates,915,1962,male,5.184
estimates,915,1963,male,5.213
estimates,915,1964,male,5.247
estimates,915,1965,male,5.293
estimates,915,1966,male,5.4
estimates,915,1967,male,5.501
estimates,915,1968,male,5.601
estimates,915,1969,male,5.708
estimates,915,1970,male,5.828
estimates,915,1971,male,6
estimates,915,1972,male,6.159
estimates,915,1973,male,6.3
estimates,915,1974,male,6.416
estimates,915,1975,male,6.508
estimates,915,1976,male,6.724
estimates,915,1977,male,6.918
estimates,915,1978,male,7.092
estimates,915,1979,male,7.245
estimates,915,1980,male,7.376
estimates,915,1981,male,7.504
estimates,915,1982,male,7.592
estimates,915,1983,male,7.644
estimates,915,1984,male,7.671
estimates,915,1985,male,7.683
estimates,915,1986,male,7.721
estimates,915,1987,male,7.74
estimates,915,1988,male,7.744
estimates,915,1989,male,7.735
estimates,915,1990,male,7.717
estimates,915,1991,male,7.737
estimates,915,1992,male,7.744
estimates,915,1993,male,7.741
estimates,915,1994,male,7.734
estimates,915,1995,male,7.727
estimates,915,1996,male,7.798
estimates,915,1997,male,7.863
estimates,915,1998,male,7.922
estimates,915,1999,male,7.975
estimates,915,2000,male,8.02
estimates,915,2001,male,8.104
estimates,915,2002,male,8.166
estimates,915,2003,male,8.214
estimates,915,2004,male,8.259
estimates,915,2005,male,8.304
estimates,915,2006,male,8.432
estimates,915,2007,male,8.551
estimates,915,2008,male,8.662
estimates,915,2009,male,8.765
estimates,915,2010,male,8.861
estimates,915,2011,male,8.999
estimates,915,2012,male,9.126
estimates,915,2013,male,9.245
estimates,915,2014,male,9.358
estimates,915,2015,male,9.468
medium_variant,915,2015,male,9.468
medium_variant,915,2016,male,9.624
medium_variant,915,2017,male,9.77
medium_variant,915,2018,male,9.918
medium_variant,915,2019,male,10.084
medium_variant,915,2020,male,10.277
medium_variant,915,2021,male,10.535
medium_variant,915,2022,male,10.81
medium_variant,915,2023,male,11.095
medium_variant,915,2024,male,11.371
medium_variant,915,2025,male,11.633
medium_variant,915,2026,male,11.918
medium_variant,915,2027,male,12.176
medium_variant,915,2028,male,12.44
medium_variant,915,2029,male,12.752
medium_variant,915,2030,male,13.136
medium_variant,915,2031,male,13.614
medium_variant,915,2032,male,14.14
medium_variant,915,2033,male,14.695
medium_variant,915,2034,male,15.245
medium_variant,915,2035,male,15.774
medium_variant,915,2036,male,16.304
medium_variant,915,2037,male,16.799
medium_variant,915,2038,male,17.267
medium_variant,915,2039,male,17.722
medium_variant,915,2040,male,18.172
medium_variant,915,2041,male,18.625
medium_variant,915,2042,male,19.058
medium_variant,915,2043,male,19.461
medium_variant,915,2044,male,19.814
medium_variant,915,2045,male,20.108
medium_variant,915,2046,male,20.359
medium_variant,915,2047,male,20.537
medium_variant,915,2048,male,20.675
medium_variant,915,2049,male,20.823
medium_variant,915,2050,male,21.016
medium_variant,915,2051,male,21.25
