variant,country,year,noofbirth
estimates,694,1950,97.147
estimates,694,1951,97.256
estimates,694,1952,97.594
estimates,694,1953,98.17
estimates,694,1954,98.986
estimates,694,1955,100.04
estimates,694,1956,101.327
estimates,694,1957,102.838
estimates,694,1958,104.556
estimates,694,1959,106.454
estimates,694,1960,108.499
estimates,694,1961,110.653
estimates,694,1962,112.877
estimates,694,1963,115.137
estimates,694,1964,117.412
estimates,694,1965,119.695
estimates,694,1966,121.997
estimates,694,1967,124.343
estimates,694,1968,126.756
estimates,694,1969,129.24
estimates,694,1970,131.786
estimates,694,1971,134.381
estimates,694,1972,137.019
estimates,694,1973,139.702
estimates,694,1974,142.446
estimates,694,1975,145.28
estimates,694,1976,148.241
estimates,694,1977,151.353
estimates,694,1978,154.628
estimates,694,1979,158.062
estimates,694,1980,161.672
estimates,694,1981,165.476
estimates,694,1982,169.431
estimates,694,1983,173.467
estimates,694,1984,177.502
estimates,694,1985,181.437
estimates,694,1986,185.172
estimates,694,1987,188.631
estimates,694,1988,191.749
estimates,694,1989,194.473
estimates,694,1990,196.687
estimates,694,1991,198.282
estimates,694,1992,199.325
estimates,694,1993,199.971
estimates,694,1994,200.414
estimates,694,1995,200.966
estimates,694,1996,201.978
estimates,694,1997,203.699
estimates,694,1998,206.281
estimates,694,1999,209.775
estimates,694,2000,214.19
estimates,694,2001,219.446
estimates,694,2002,225.224
estimates,694,2003,231.166
estimates,694,2004,236.992
estimates,694,2005,242.338
estimates,694,2006,246.869
estimates,694,2007,250.466
estimates,694,2008,253.106
estimates,694,2009,254.811
estimates,694,2010,255.734
estimates,694,2011,256.136
estimates,694,2012,256.364
estimates,694,2013,256.704
estimates,694,2014,257.295
estimates,694,2015,258.201
medium_variant,694,2015,258.201
medium_variant,694,2016,259.387
medium_variant,694,2017,260.691
medium_variant,694,2018,261.984
medium_variant,694,2019,263.234
medium_variant,694,2020,264.425
medium_variant,694,2021,265.559
medium_variant,694,2022,266.656
medium_variant,694,2023,267.723
medium_variant,694,2024,268.748
medium_variant,694,2025,269.717
medium_variant,694,2026,270.613
medium_variant,694,2027,271.423
medium_variant,694,2028,272.138
medium_variant,694,2029,272.754
medium_variant,694,2030,273.272
medium_variant,694,2031,273.698
medium_variant,694,2032,274.045
medium_variant,694,2033,274.324
medium_variant,694,2034,274.536
medium_variant,694,2035,274.679
medium_variant,694,2036,274.747
medium_variant,694,2037,274.737
medium_variant,694,2038,274.645
medium_variant,694,2039,274.476
medium_variant,694,2040,274.235
medium_variant,694,2041,273.927
medium_variant,694,2042,273.562
medium_variant,694,2043,273.148
medium_variant,694,2044,272.696
medium_variant,694,2045,272.214
medium_variant,694,2046,271.713
medium_variant,694,2047,271.192
medium_variant,694,2048,270.649
medium_variant,694,2049,270.081
medium_variant,694,2050,269.477
medium_variant,694,2051,268.823
medium_variant,694,2052,268.107
medium_variant,694,2053,267.325
medium_variant,694,2054,266.476
medium_variant,694,2055,265.569
medium_variant,694,2056,264.616
medium_variant,694,2057,263.632
medium_variant,694,2058,262.627
medium_variant,694,2059,261.608
medium_variant,694,2060,260.571
medium_variant,694,2061,259.511
medium_variant,694,2062,258.417
medium_variant,694,2063,257.285
medium_variant,694,2064,256.116
medium_variant,694,2065,254.914
medium_variant,694,2066,253.682
medium_variant,694,2067,252.43
medium_variant,694,2068,251.165
medium_variant,694,2069,249.891
medium_variant,694,2070,248.61
medium_variant,694,2071,247.319
medium_variant,694,2072,246.018
medium_variant,694,2073,244.706
medium_variant,694,2074,243.387
medium_variant,694,2075,242.064
medium_variant,694,2076,240.741
medium_variant,694,2077,239.424
medium_variant,694,2078,238.114
medium_variant,694,2079,236.815
medium_variant,694,2080,235.529
medium_variant,694,2081,234.257
medium_variant,694,2082,232.996
medium_variant,694,2083,231.745
medium_variant,694,2084,230.501
medium_variant,694,2085,229.259
medium_variant,694,2086,228.014
medium_variant,694,2087,226.765
medium_variant,694,2088,225.51
medium_variant,694,2089,224.249
medium_variant,694,2090,222.986
medium_variant,694,2091,221.724
medium_variant,694,2092,220.468
medium_variant,694,2093,219.221
medium_variant,694,2094,217.986
medium_variant,694,2095,216.766
medium_variant,694,2096,215.562
medium_variant,694,2097,214.373
medium_variant,694,2098,213.201
medium_variant,694,2099,212.045
