variant,country,year,noofbirth
estimates,72,1950,19.539
estimates,72,1951,19.847
estimates,72,1952,20.454
estimates,72,1953,21.047
estimates,72,1954,21.625
estimates,72,1955,22.189
estimates,72,1956,22.74
estimates,72,1957,23.279
estimates,72,1958,23.811
estimates,72,1959,24.342
estimates,72,1960,24.878
estimates,72,1961,25.429
estimates,72,1962,26.005
estimates,72,1963,26.616
estimates,72,1964,27.268
estimates,72,1965,27.967
estimates,72,1966,28.71
estimates,72,1967,29.494
estimates,72,1968,30.32
estimates,72,1969,31.191
estimates,72,1970,32.122
estimates,72,1971,33.129
estimates,72,1972,34.217
estimates,72,1973,35.379
estimates,72,1974,36.603
estimates,72,1975,37.886
estimates,72,1976,39.223
estimates,72,1977,40.589
estimates,72,1978,41.94
estimates,72,1979,43.23
estimates,72,1980,44.385
estimates,72,1981,45.331
estimates,72,1982,46.037
estimates,72,1983,46.498
estimates,72,1984,46.726
estimates,72,1985,46.767
estimates,72,1986,46.685
estimates,72,1987,46.565
estimates,72,1988,46.478
estimates,72,1989,46.46
estimates,72,1990,46.537
estimates,72,1991,46.709
estimates,72,1992,46.936
estimates,72,1993,47.179
estimates,72,1994,47.422
estimates,72,1995,47.631
estimates,72,1996,47.773
estimates,72,1997,47.837
estimates,72,1998,47.825
estimates,72,1999,47.75
estimates,72,2000,47.637
estimates,72,2001,47.519
estimates,72,2002,47.438
estimates,72,2003,47.435
estimates,72,2004,47.536
estimates,72,2005,47.782
estimates,72,2006,48.207
estimates,72,2007,48.796
estimates,72,2008,49.512
estimates,72,2009,50.314
estimates,72,2010,51.134
estimates,72,2011,51.892
estimates,72,2012,52.525
estimates,72,2013,52.987
estimates,72,2014,53.255
estimates,72,2015,53.332
medium_variant,72,2015,53.332
medium_variant,72,2016,53.244
medium_variant,72,2017,53.055
medium_variant,72,2018,52.818
medium_variant,72,2019,52.563
medium_variant,72,2020,52.304
medium_variant,72,2021,52.045
medium_variant,72,2022,51.779
medium_variant,72,2023,51.502
medium_variant,72,2024,51.222
medium_variant,72,2025,50.949
medium_variant,72,2026,50.691
medium_variant,72,2027,50.45
medium_variant,72,2028,50.231
medium_variant,72,2029,50.038
medium_variant,72,2030,49.875
medium_variant,72,2031,49.745
medium_variant,72,2032,49.644
medium_variant,72,2033,49.566
medium_variant,72,2034,49.508
medium_variant,72,2035,49.468
medium_variant,72,2036,49.443
medium_variant,72,2037,49.429
medium_variant,72,2038,49.42
medium_variant,72,2039,49.408
medium_variant,72,2040,49.389
medium_variant,72,2041,49.357
medium_variant,72,2042,49.31
medium_variant,72,2043,49.245
medium_variant,72,2044,49.159
medium_variant,72,2045,49.048
medium_variant,72,2046,48.91
medium_variant,72,2047,48.746
medium_variant,72,2048,48.56
medium_variant,72,2049,48.354
medium_variant,72,2050,48.13
medium_variant,72,2051,47.89
medium_variant,72,2052,47.637
medium_variant,72,2053,47.375
medium_variant,72,2054,47.111
medium_variant,72,2055,46.845
medium_variant,72,2056,46.583
medium_variant,72,2057,46.323
medium_variant,72,2058,46.069
medium_variant,72,2059,45.824
medium_variant,72,2060,45.59
medium_variant,72,2061,45.37
medium_variant,72,2062,45.164
medium_variant,72,2063,44.971
medium_variant,72,2064,44.791
medium_variant,72,2065,44.625
medium_variant,72,2066,44.471
medium_variant,72,2067,44.328
medium_variant,72,2068,44.193
medium_variant,72,2069,44.064
medium_variant,72,2070,43.94
medium_variant,72,2071,43.818
medium_variant,72,2072,43.699
medium_variant,72,2073,43.58
medium_variant,72,2074,43.458
medium_variant,72,2075,43.332
medium_variant,72,2076,43.199
medium_variant,72,2077,43.058
medium_variant,72,2078,42.908
medium_variant,72,2079,42.75
medium_variant,72,2080,42.583
medium_variant,72,2081,42.407
medium_variant,72,2082,42.224
medium_variant,72,2083,42.036
medium_variant,72,2084,41.845
medium_variant,72,2085,41.653
medium_variant,72,2086,41.46
medium_variant,72,2087,41.269
medium_variant,72,2088,41.079
medium_variant,72,2089,40.894
medium_variant,72,2090,40.714
medium_variant,72,2091,40.54
medium_variant,72,2092,40.372
medium_variant,72,2093,40.21
medium_variant,72,2094,40.055
medium_variant,72,2095,39.906
medium_variant,72,2096,39.764
medium_variant,72,2097,39.629
medium_variant,72,2098,39.5
medium_variant,72,2099,39.378
