variant,country,year,noofbirth
estimates,417,1950,52.296
estimates,417,1951,54.781
estimates,417,1952,59.639
estimates,417,1953,64.271
estimates,417,1954,68.677
estimates,417,1955,72.85
estimates,417,1956,76.769
estimates,417,1957,80.414
estimates,417,1958,83.74
estimates,417,1959,86.665
estimates,417,1960,89.105
estimates,417,1961,90.988
estimates,417,1962,92.27
estimates,417,1963,92.976
estimates,417,1964,93.213
estimates,417,1965,93.175
estimates,417,1966,93.099
estimates,417,1967,93.199
estimates,417,1968,93.637
estimates,417,1969,94.491
estimates,417,1970,95.741
estimates,417,1971,97.274
estimates,417,1972,98.913
estimates,417,1973,100.54
estimates,417,1974,102.144
estimates,417,1975,103.78
estimates,417,1976,105.553
estimates,417,1977,107.571
estimates,417,1978,109.895
estimates,417,1979,112.521
estimates,417,1980,115.468
estimates,417,1981,118.745
estimates,417,1982,122.235
estimates,417,1983,125.769
estimates,417,1984,129.172
estimates,417,1985,132.219
estimates,417,1986,134.69
estimates,417,1987,136.45
estimates,417,1988,137.404
estimates,417,1989,137.493
estimates,417,1990,136.669
estimates,417,1991,134.944
estimates,417,1992,132.495
estimates,417,1993,129.531
estimates,417,1994,126.223
estimates,417,1995,122.668
estimates,417,1996,118.913
estimates,417,1997,115.078
estimates,417,1998,111.371
estimates,417,1999,108.06
estimates,417,2000,105.51
estimates,417,2001,104.068
estimates,417,2002,103.886
estimates,417,2003,105.023
estimates,417,2004,107.473
estimates,417,2005,111.247
estimates,417,2006,116.288
estimates,417,2007,122.236
estimates,417,2008,128.637
estimates,417,2009,135.071
estimates,417,2010,141.001
estimates,417,2011,145.922
estimates,417,2012,149.589
estimates,417,2013,151.865
estimates,417,2014,152.689
estimates,417,2015,152.138
medium_variant,417,2015,152.138
medium_variant,417,2016,150.445
medium_variant,417,2017,148.063
medium_variant,417,2018,145.41
medium_variant,417,2019,142.728
medium_variant,417,2020,140.182
medium_variant,417,2021,137.831
medium_variant,417,2022,135.617
medium_variant,417,2023,133.52
medium_variant,417,2024,131.619
medium_variant,417,2025,129.996
medium_variant,417,2026,128.717
medium_variant,417,2027,127.788
medium_variant,417,2028,127.201
medium_variant,417,2029,126.953
medium_variant,417,2030,127.039
medium_variant,417,2031,127.44
medium_variant,417,2032,128.09
medium_variant,417,2033,128.908
medium_variant,417,2034,129.825
medium_variant,417,2035,130.778
medium_variant,417,2036,131.718
medium_variant,417,2037,132.611
medium_variant,417,2038,133.418
medium_variant,417,2039,134.088
medium_variant,417,2040,134.579
medium_variant,417,2041,134.866
medium_variant,417,2042,134.959
medium_variant,417,2043,134.868
medium_variant,417,2044,134.589
medium_variant,417,2045,134.116
medium_variant,417,2046,133.446
medium_variant,417,2047,132.6
medium_variant,417,2048,131.608
medium_variant,417,2049,130.5
medium_variant,417,2050,129.3
medium_variant,417,2051,128.03
medium_variant,417,2052,126.715
medium_variant,417,2053,125.386
medium_variant,417,2054,124.08
medium_variant,417,2055,122.828
medium_variant,417,2056,121.654
medium_variant,417,2057,120.565
medium_variant,417,2058,119.567
medium_variant,417,2059,118.671
medium_variant,417,2060,117.891
medium_variant,417,2061,117.231
medium_variant,417,2062,116.678
medium_variant,417,2063,116.215
medium_variant,417,2064,115.825
medium_variant,417,2065,115.497
medium_variant,417,2066,115.218
medium_variant,417,2067,114.971
medium_variant,417,2068,114.737
medium_variant,417,2069,114.493
medium_variant,417,2070,114.223
medium_variant,417,2071,113.911
medium_variant,417,2072,113.554
medium_variant,417,2073,113.148
medium_variant,417,2074,112.683
medium_variant,417,2075,112.153
medium_variant,417,2076,111.551
medium_variant,417,2077,110.884
medium_variant,417,2078,110.163
medium_variant,417,2079,109.393
medium_variant,417,2080,108.583
medium_variant,417,2081,107.738
medium_variant,417,2082,106.869
medium_variant,417,2083,105.988
medium_variant,417,2084,105.109
medium_variant,417,2085,104.241
medium_variant,417,2086,103.393
medium_variant,417,2087,102.567
medium_variant,417,2088,101.769
medium_variant,417,2089,101.004
medium_variant,417,2090,100.278
medium_variant,417,2091,99.592
medium_variant,417,2092,98.947
medium_variant,417,2093,98.342
medium_variant,417,2094,97.776
medium_variant,417,2095,97.249
medium_variant,417,2096,96.76
medium_variant,417,2097,96.31
medium_variant,417,2098,95.898
medium_variant,417,2099,95.525
