continent,variant,freq,year,under40mortalityper1000livebirth
909,estimates,5yearly,1950,177.104226949178
909,estimates,5yearly,1955,157.922088920374
909,estimates,5yearly,1960,144.751858299465
909,estimates,5yearly,1965,128.894988317736
909,estimates,5yearly,1970,114.883828516001
909,estimates,5yearly,1975,102.535956790237
909,estimates,5yearly,1980,88.9941642513447
909,estimates,5yearly,1985,84.9501924098878
909,estimates,5yearly,1990,76.6665221069234
909,estimates,5yearly,1995,73.0093088542273
909,estimates,5yearly,2000,66.3340778904343
909,estimates,5yearly,2005,59.0182976455587
909,estimates,5yearly,2010,54.4789385347693
909,medium_variant,5yearly,2015,49.8305019163025
909,medium_variant,5yearly,2020,46.0894212582803
909,medium_variant,5yearly,2025,43.3124229185696
909,medium_variant,5yearly,2030,40.7798432720483
909,medium_variant,5yearly,2035,38.1802598224685
909,medium_variant,5yearly,2040,35.2580772632879
909,medium_variant,5yearly,2045,32.6309116681415
909,medium_variant,5yearly,2050,30.3521179653606
909,medium_variant,5yearly,2055,28.2584250307741
909,medium_variant,5yearly,2060,26.2436179563377
909,medium_variant,5yearly,2065,24.4634339658958
909,medium_variant,5yearly,2070,22.6510277268736
909,medium_variant,5yearly,2075,20.8173117099049
909,medium_variant,5yearly,2080,19.2532714173413
909,medium_variant,5yearly,2085,17.812432734965
909,medium_variant,5yearly,2090,16.4635542653261
909,medium_variant,5yearly,2095,15.1456570576183
909,estimates,5yearly,Regi,OCEANIA
909,medium_variant,5yearly,Regi,OCEANIA
