continent,variant,freq,year,under40mortalityper1000livebirth
904,estimates,5yearly,1950,308.255778392925
904,estimates,5yearly,1955,273.161277781783
904,estimates,5yearly,1960,240.917568287963
904,estimates,5yearly,1965,213.435008620702
904,estimates,5yearly,1970,186.003317064999
904,estimates,5yearly,1975,163.659150075498
904,estimates,5yearly,1980,142.405792634511
904,estimates,5yearly,1985,123.209094127626
904,estimates,5yearly,1990,107.52004722782
904,estimates,5yearly,1995,94.5929860987651
904,estimates,5yearly,2000,82.6773459190613
904,estimates,5yearly,2005,74.024056337016
904,estimates,5yearly,2010,68.2804347508333
904,medium_variant,5yearly,2015,62.2763805955111
904,medium_variant,5yearly,2020,56.0347416941942
904,medium_variant,5yearly,2025,50.3403657445418
904,medium_variant,5yearly,2030,45.1054056288437
904,medium_variant,5yearly,2035,40.34594174157
904,medium_variant,5yearly,2040,36.0469225589722
904,medium_variant,5yearly,2045,32.1780338463213
904,medium_variant,5yearly,2050,28.7949733997535
904,medium_variant,5yearly,2055,25.8688508913363
904,medium_variant,5yearly,2060,23.2815381182931
904,medium_variant,5yearly,2065,21.0287163589002
904,medium_variant,5yearly,2070,19.0244080311999
904,medium_variant,5yearly,2075,17.2579614682242
904,medium_variant,5yearly,2080,15.6707203895592
904,medium_variant,5yearly,2085,14.2278925702204
904,medium_variant,5yearly,2090,12.9124549919988
904,medium_variant,5yearly,2095,11.707652128944
904,estimates,5yearly,Regi,LATIN AMERICA AND THE CARIBBEAN
904,medium_variant,5yearly,Regi,LATIN AMERICA AND THE CARIBBEAN
