continent,variant,freq,year,under40mortalityper1000livebirth
908,estimates,5yearly,1950,150.417126012959
908,estimates,5yearly,1955,108.501814304198
908,estimates,5yearly,1960,85.2907192166929
908,estimates,5yearly,1965,75.229742178203
908,estimates,5yearly,1970,69.5638134066391
908,estimates,5yearly,1975,65.8608299107219
908,estimates,5yearly,1980,60.6979612897371
908,estimates,5yearly,1985,52.843686905108
908,estimates,5yearly,1990,55.8061277182794
908,estimates,5yearly,1995,52.4155196526152
908,estimates,5yearly,2000,48.6864660020839
908,estimates,5yearly,2005,43.3127704821953
908,estimates,5yearly,2010,35.5677961073807
908,medium_variant,5yearly,2015,32.1438924882692
908,medium_variant,5yearly,2020,28.5347948759818
908,medium_variant,5yearly,2025,24.6392206041838
908,medium_variant,5yearly,2030,21.4426322394701
908,medium_variant,5yearly,2035,19.4916955201246
908,medium_variant,5yearly,2040,18.4159768193327
908,medium_variant,5yearly,2045,17.259291449166
908,medium_variant,5yearly,2050,15.8256327731755
908,medium_variant,5yearly,2055,14.2478228102202
908,medium_variant,5yearly,2060,12.8577763742094
908,medium_variant,5yearly,2065,11.660406013752
908,medium_variant,5yearly,2070,10.6855108899249
908,medium_variant,5yearly,2075,9.80514526161846
908,medium_variant,5yearly,2080,8.98764577307232
908,medium_variant,5yearly,2085,8.1947367007299
908,medium_variant,5yearly,2090,7.43277398023212
908,medium_variant,5yearly,2095,6.78421849697308
