variant,region,year,gender,oldagedependencyratio2564
estimates,916,1950,male,5.28
estimates,916,1951,male,5.265
estimates,916,1952,male,5.225
estimates,916,1953,male,5.162
estimates,916,1954,male,5.082
estimates,916,1955,male,4.988
estimates,916,1956,male,5.075
estimates,916,1957,male,5.145
estimates,916,1958,male,5.197
estimates,916,1959,male,5.232
estimates,916,1960,male,5.251
estimates,916,1961,male,5.359
estimates,916,1962,male,5.447
estimates,916,1963,male,5.521
estimates,916,1964,male,5.587
estimates,916,1965,male,5.648
estimates,916,1966,male,5.766
estimates,916,1967,male,5.866
estimates,916,1968,male,5.951
estimates,916,1969,male,6.025
estimates,916,1970,male,6.09
estimates,916,1971,male,6.217
estimates,916,1972,male,6.329
estimates,916,1973,male,6.415
estimates,916,1974,male,6.463
estimates,916,1975,male,6.47
estimates,916,1976,male,6.511
estimates,916,1977,male,6.512
estimates,916,1978,male,6.487
estimates,916,1979,male,6.454
estimates,916,1980,male,6.422
estimates,916,1981,male,6.452
estimates,916,1982,male,6.478
estimates,916,1983,male,6.49
estimates,916,1984,male,6.478
estimates,916,1985,male,6.44
estimates,916,1986,male,6.429
estimates,916,1987,male,6.393
estimates,916,1988,male,6.35
estimates,916,1989,male,6.319
estimates,916,1990,male,6.312
estimates,916,1991,male,6.368
estimates,916,1992,male,6.431
estimates,916,1993,male,6.492
estimates,916,1994,male,6.541
estimates,916,1995,male,6.574
estimates,916,1996,male,6.643
estimates,916,1997,male,6.694
estimates,916,1998,male,6.734
estimates,916,1999,male,6.77
estimates,916,2000,male,6.808
estimates,916,2001,male,6.871
estimates,916,2002,male,6.93
estimates,916,2003,male,6.984
estimates,916,2004,male,7.034
estimates,916,2005,male,7.079
estimates,916,2006,male,7.154
estimates,916,2007,male,7.219
estimates,916,2008,male,7.28
estimates,916,2009,male,7.344
estimates,916,2010,male,7.417
estimates,916,2011,male,7.513
estimates,916,2012,male,7.611
estimates,916,2013,male,7.71
estimates,916,2014,male,7.802
estimates,916,2015,male,7.887
medium_variant,916,2015,male,7.887
medium_variant,916,2016,male,7.981
medium_variant,916,2017,male,8.063
medium_variant,916,2018,male,8.149
medium_variant,916,2019,male,8.26
medium_variant,916,2020,male,8.409
medium_variant,916,2021,male,8.595
medium_variant,916,2022,male,8.804
medium_variant,916,2023,male,9.029
medium_variant,916,2024,male,9.262
medium_variant,916,2025,male,9.499
medium_variant,916,2026,male,9.738
medium_variant,916,2027,male,9.976
medium_variant,916,2028,male,10.218
medium_variant,916,2029,male,10.468
medium_variant,916,2030,male,10.731
medium_variant,916,2031,male,10.996
medium_variant,916,2032,male,11.269
medium_variant,916,2033,male,11.554
medium_variant,916,2034,male,11.854
medium_variant,916,2035,male,12.175
medium_variant,916,2036,male,12.496
medium_variant,916,2037,male,12.824
medium_variant,916,2038,male,13.176
medium_variant,916,2039,male,13.58
medium_variant,916,2040,male,14.052
medium_variant,916,2041,male,14.559
medium_variant,916,2042,male,15.116
medium_variant,916,2043,male,15.708
medium_variant,916,2044,male,16.311
medium_variant,916,2045,male,16.913
medium_variant,916,2046,male,17.482
medium_variant,916,2047,male,18.039
medium_variant,916,2048,male,18.591
medium_variant,916,2049,male,19.15
medium_variant,916,2050,male,19.73
medium_variant,916,2051,male,20.275
