continent,variant,freq,year,birthper1000population
908,estimates,5yearly,1950,21.495
908,estimates,5yearly,1955,20.87
908,estimates,5yearly,1960,19.102
908,estimates,5yearly,1965,16.836
908,estimates,5yearly,1970,15.621
908,estimates,5yearly,1975,14.768
908,estimates,5yearly,1980,14.318
908,estimates,5yearly,1985,13.652
908,estimates,5yearly,1990,11.524
908,estimates,5yearly,1995,10.267
908,estimates,5yearly,2000,10.133
908,estimates,5yearly,2005,10.767
908,estimates,5yearly,2010,10.822
908,constant_fertility,5yearly,2015,10.143
908,constant_mortality,5yearly,2015,10.488
908,high_variant,5yearly,2015,12.028
908,instant_replacement,5yearly,2015,13.251
908,low_variant,5yearly,2015,8.903
908,medium_variant,5yearly,2015,10.472
908,momentum,5yearly,2015,13.233
908,no_change,5yearly,2015,10.159
908,zero_migration,5yearly,2015,10.424
908,constant_fertility,5yearly,2020,9.432
908,constant_mortality,5yearly,2020,10.076
908,high_variant,5yearly,2020,12.255
908,instant_replacement,5yearly,2020,12.256
908,low_variant,5yearly,2020,7.718
908,medium_variant,5yearly,2020,10.018
908,momentum,5yearly,2020,12.183
908,no_change,5yearly,2020,9.487
908,zero_migration,5yearly,2020,9.872
908,constant_fertility,5yearly,2025,8.973
908,constant_mortality,5yearly,2025,9.669
908,high_variant,5yearly,2025,12.049
908,instant_replacement,5yearly,2025,11.343
908,low_variant,5yearly,2025,6.921
908,medium_variant,5yearly,2025,9.554
908,momentum,5yearly,2025,11.243
908,no_change,5yearly,2025,9.082
908,zero_migration,5yearly,2025,9.321
908,constant_fertility,5yearly,2030,8.894
908,constant_mortality,5yearly,2030,9.568
908,high_variant,5yearly,2030,11.651
908,instant_replacement,5yearly,2030,10.891
908,low_variant,5yearly,2030,6.923
908,medium_variant,5yearly,2030,9.379
908,momentum,5yearly,2030,10.824
908,no_change,5yearly,2030,9.076
908,zero_migration,5yearly,2030,9.099
908,constant_fertility,5yearly,2035,9.006
908,constant_mortality,5yearly,2035,9.859
908,high_variant,5yearly,2035,11.816
908,instant_replacement,5yearly,2035,11.028
908,low_variant,5yearly,2035,7.14
908,medium_variant,5yearly,2035,9.575
908,momentum,5yearly,2035,11.083
908,no_change,5yearly,2035,9.277
908,zero_migration,5yearly,2035,9.298
908,constant_fertility,5yearly,2040,9.025
908,constant_mortality,5yearly,2040,10.246
908,high_variant,5yearly,2040,12.315
908,instant_replacement,5yearly,2040,11.557
908,low_variant,5yearly,2040,7.262
908,medium_variant,5yearly,2040,9.852
908,momentum,5yearly,2040,11.796
908,no_change,5yearly,2040,9.393
908,zero_migration,5yearly,2040,9.596
908,constant_fertility,5yearly,2045,8.87
908,constant_mortality,5yearly,2045,10.446
908,high_variant,5yearly,2045,12.887
908,instant_replacement,5yearly,2045,12.148
908,low_variant,5yearly,2045,7.024
908,medium_variant,5yearly,2045,9.943
908,momentum,5yearly,2045,12.572
908,no_change,5yearly,2045,9.33
