continent,variant,freq,year,birthper1000population
903,estimates,5yearly,1950,48.267
903,estimates,5yearly,1955,47.895
903,estimates,5yearly,1960,47.414
903,estimates,5yearly,1965,46.588
903,estimates,5yearly,1970,46.161
903,estimates,5yearly,1975,45.646
903,estimates,5yearly,1980,44.652
903,estimates,5yearly,1985,42.843
903,estimates,5yearly,1990,40.522
903,estimates,5yearly,1995,38.923
903,estimates,5yearly,2000,37.888
903,estimates,5yearly,2005,36.957
903,estimates,5yearly,2010,35.862
903,constant_fertility,5yearly,2015,35.947
903,constant_mortality,5yearly,2015,33.655
903,high_variant,5yearly,2015,35.356
903,instant_replacement,5yearly,2015,18.337
903,low_variant,5yearly,2015,31.863
903,medium_variant,5yearly,2015,33.617
903,momentum,5yearly,2015,18.801
903,no_change,5yearly,2015,35.99
903,zero_migration,5yearly,2015,33.635
903,constant_fertility,5yearly,2020,35.825
903,constant_mortality,5yearly,2020,31.748
903,high_variant,5yearly,2020,34.141
903,instant_replacement,5yearly,2020,19.267
903,low_variant,5yearly,2020,29.017
903,medium_variant,5yearly,2020,31.618
903,momentum,5yearly,2020,20.15
903,no_change,5yearly,2020,35.982
903,zero_migration,5yearly,2020,31.651
903,constant_fertility,5yearly,2025,35.594
903,constant_mortality,5yearly,2025,30.179
903,high_variant,5yearly,2025,32.808
903,instant_replacement,5yearly,2025,20.17
903,low_variant,5yearly,2025,26.883
903,medium_variant,5yearly,2025,29.931
903,momentum,5yearly,2025,21.44
903,no_change,5yearly,2025,35.907
903,zero_migration,5yearly,2025,29.954
903,constant_fertility,5yearly,2030,35.392
903,constant_mortality,5yearly,2030,28.827
903,high_variant,5yearly,2030,31.104
903,instant_replacement,5yearly,2030,20.434
903,low_variant,5yearly,2030,25.631
903,medium_variant,5yearly,2030,28.474
903,momentum,5yearly,2030,22.012
903,no_change,5yearly,2030,35.855
903,zero_migration,5yearly,2030,28.477
903,constant_fertility,5yearly,2035,35.369
903,constant_mortality,5yearly,2035,27.481
903,high_variant,5yearly,2035,29.752
903,instant_replacement,5yearly,2035,19.326
903,low_variant,5yearly,2035,24.183
903,medium_variant,5yearly,2035,27.07
903,momentum,5yearly,2035,21.08
903,no_change,5yearly,2035,35.928
903,zero_migration,5yearly,2035,27.059
903,constant_fertility,5yearly,2040,35.499
903,constant_mortality,5yearly,2040,26.063
903,high_variant,5yearly,2040,28.601
903,instant_replacement,5yearly,2040,17.404
903,low_variant,5yearly,2040,22.51
903,medium_variant,5yearly,2040,25.639
903,momentum,5yearly,2040,19.249
903,no_change,5yearly,2040,36.108
903,zero_migration,5yearly,2040,25.625
903,constant_fertility,5yearly,2045,35.677
903,constant_mortality,5yearly,2045,24.637
903,high_variant,5yearly,2045,27.498
903,instant_replacement,5yearly,2045,15.805
903,low_variant,5yearly,2045,20.8
903,medium_variant,5yearly,2045,24.218
903,momentum,5yearly,2045,17.772
903,no_change,5yearly,2045,36.32
903,zero_migration,5yearly,2045,24.207
903,constant_fertility,5yearly,2050,35.845
903,constant_mortality,5yearly,2050,23.295
903,high_variant,5yearly,2050,26.373
903,instant_replacement,5yearly,2050,14.884
903,low_variant,5yearly,2050,19.238
903,medium_variant,5yearly,2050,22.875
903,momentum,5yearly,2050,17.046
