continent,variant,freq,year,birthper1000population
909,estimates,5yearly,1950,27.506
909,estimates,5yearly,1955,27.426
909,estimates,5yearly,1960,26.103
909,estimates,5yearly,1965,24.499
909,estimates,5yearly,1970,23.637
909,estimates,5yearly,1975,20.999
909,estimates,5yearly,1980,20.534
909,estimates,5yearly,1985,19.953
909,estimates,5yearly,1990,19.574
909,estimates,5yearly,1995,18.622
909,estimates,5yearly,2000,17.836
909,estimates,5yearly,2005,18.125
909,estimates,5yearly,2010,17.179
909,constant_fertility,5yearly,2015,17.159
909,constant_mortality,5yearly,2015,16.443
909,high_variant,5yearly,2015,18.124
909,instant_replacement,5yearly,2015,15.082
909,low_variant,5yearly,2015,14.721
909,medium_variant,5yearly,2015,16.43
909,momentum,5yearly,2015,15.047
909,no_change,5yearly,2015,17.172
909,zero_migration,5yearly,2015,16.393
909,constant_fertility,5yearly,2020,16.941
909,constant_mortality,5yearly,2020,15.76
909,high_variant,5yearly,2020,18.226
909,instant_replacement,5yearly,2020,14.864
909,low_variant,5yearly,2020,13.123
909,medium_variant,5yearly,2020,15.713
909,momentum,5yearly,2020,14.731
909,no_change,5yearly,2020,16.992
909,zero_migration,5yearly,2020,15.597
909,constant_fertility,5yearly,2025,16.623
909,constant_mortality,5yearly,2025,15.108
909,high_variant,5yearly,2025,17.89
909,instant_replacement,5yearly,2025,14.517
909,low_variant,5yearly,2025,11.962
909,medium_variant,5yearly,2025,15.012
909,momentum,5yearly,2025,14.318
909,no_change,5yearly,2025,16.728
909,zero_migration,5yearly,2025,14.812
909,constant_fertility,5yearly,2030,16.402
909,constant_mortality,5yearly,2030,14.597
909,high_variant,5yearly,2030,17.071
909,instant_replacement,5yearly,2030,14.191
909,low_variant,5yearly,2030,11.591
909,medium_variant,5yearly,2030,14.444
909,momentum,5yearly,2030,13.972
909,no_change,5yearly,2030,16.573
909,zero_migration,5yearly,2030,14.181
909,constant_fertility,5yearly,2035,16.399
909,constant_mortality,5yearly,2035,14.308
909,high_variant,5yearly,2035,16.666
909,instant_replacement,5yearly,2035,13.895
909,low_variant,5yearly,2035,11.288
909,medium_variant,5yearly,2035,14.094
909,momentum,5yearly,2035,13.702
909,no_change,5yearly,2035,16.638
909,zero_migration,5yearly,2035,13.806
909,constant_fertility,5yearly,2040,16.555
909,constant_mortality,5yearly,2040,14.129
909,high_variant,5yearly,2040,16.605
909,instant_replacement,5yearly,2040,13.667
909,low_variant,5yearly,2040,10.922
909,medium_variant,5yearly,2040,13.855
909,momentum,5yearly,2040,13.524
909,no_change,5yearly,2040,16.86
909,zero_migration,5yearly,2040,13.571
909,constant_fertility,5yearly,2045,16.729
909,constant_mortality,5yearly,2045,13.916
909,high_variant,5yearly,2045,16.695
909,instant_replacement,5yearly,2045,13.528
909,low_variant,5yearly,2045,10.391
909,medium_variant,5yearly,2045,13.587
909,momentum,5yearly,2045,13.443
909,no_change,5yearly,2045,17.094
909,zero_migration,5yearly,2045,13.301
909,constant_fertility,5yearly,2050,16.852
909,constant_mortality,5yearly,2050,13.628
909,high_variant,5yearly,2050,16.725
909,instant_replacement,5yearly,2050,13.381
909,low_variant,5yearly,2050,9.77
909,medium_variant,5yearly,2050,13.252
909,momentum,5yearly,2050,13.354
909,no_change,5yearly,2050,17.268
909,zero_migration,5yearly,2050,12.961
909,constant_fertility,5yearly,2055,16.925
909,constant_mortality,5yearly,2055,13.295
909,high_variant,5yearly,2055,16.532
909,instant_replacement,5yearly,2055,13.179
909,low_variant,5yearly,2055,9.223
909,medium_variant,5yearly,2055,12.875
909,momentum,5yearly,2055,13.226
909,no_change,5yearly,2055,17.385
909,zero_migration,5yearly,2055,12.586
909,constant_fertility,5yearly,2060,17.006
909,constant_mortality,5yearly,2060,12.979
909,high_variant,5yearly,2060,16.165
909,instant_replacement,5yearly,2060,12.962
909,low_variant,5yearly,2060,8.832
909,medium_variant,5yearly,2060,12.514
909,momentum,5yearly,2060,13.105
909,no_change,5yearly,2060,17.507
909,zero_migration,5yearly,2060,12.236
909,constant_fertility,5yearly,2065,17.142
909,constant_mortality,5yearly,2065,12.728
909,high_variant,5yearly,2065,15.798
909,instant_replacement,5yearly,2065,12.786
909,low_variant,5yearly,2065,8.561
909,medium_variant,5yearly,2065,12.212
909,momentum,5yearly,2065,13.051
909,no_change,5yearly,2065,17.686
909,zero_migration,5yearly,2065,11.959
909,constant_fertility,5yearly,2070,17.333
909,constant_mortality,5yearly,2070,12.537
909,high_variant,5yearly,2070,15.55
909,instant_replacement,5yearly,2070,12.663
909,low_variant,5yearly,2070,8.322
909,medium_variant,5yearly,2070,11.964
909,momentum,5yearly,2070,13.078
