variant,global,year,gender,potentialsupport2569_70
estimates,900,1950,male,16.84
estimates,900,1951,male,16.601
estimates,900,1952,male,16.503
estimates,900,1953,male,16.549
estimates,900,1954,male,16.73
estimates,900,1955,male,17.038
estimates,900,1956,male,16.765
estimates,900,1957,male,16.636
estimates,900,1958,male,16.648
estimates,900,1959,male,16.803
estimates,900,1960,male,17.103
estimates,900,1961,male,16.828
estimates,900,1962,male,16.687
estimates,900,1963,male,16.663
estimates,900,1964,male,16.74
estimates,900,1965,male,16.903
estimates,900,1966,male,16.51
estimates,900,1967,male,16.216
estimates,900,1968,male,16.01
estimates,900,1969,male,15.877
estimates,900,1970,male,15.808
estimates,900,1971,male,15.402
estimates,900,1972,male,15.099
estimates,900,1973,male,14.894
estimates,900,1974,male,14.779
estimates,900,1975,male,14.746
estimates,900,1976,male,14.438
estimates,900,1977,male,14.238
estimates,900,1978,male,14.123
estimates,900,1979,male,14.066
estimates,900,1980,male,14.045
estimates,900,1981,male,13.808
estimates,900,1982,male,13.63
estimates,900,1983,male,13.527
estimates,900,1984,male,13.518
estimates,900,1985,male,13.608
estimates,900,1986,male,13.513
estimates,900,1987,male,13.511
estimates,900,1988,male,13.569
estimates,900,1989,male,13.65
estimates,900,1990,male,13.732
estimates,900,1991,male,13.583
estimates,900,1992,male,13.474
estimates,900,1993,male,13.394
estimates,900,1994,male,13.335
estimates,900,1995,male,13.288
estimates,900,1996,male,13.044
estimates,900,1997,male,12.843
estimates,900,1998,male,12.685
estimates,900,1999,male,12.57
estimates,900,2000,male,12.492
estimates,900,2001,male,12.257
estimates,900,2002,male,12.074
estimates,900,2003,male,11.931
estimates,900,2004,male,11.818
estimates,900,2005,male,11.729
estimates,900,2006,male,11.518
estimates,900,2007,male,11.344
estimates,900,2008,male,11.211
estimates,900,2009,male,11.126
estimates,900,2010,male,11.087
estimates,900,2011,male,10.972
estimates,900,2012,male,10.904
estimates,900,2013,male,10.856
estimates,900,2014,male,10.802
estimates,900,2015,male,10.725
medium_variant,900,2015,male,10.725
medium_variant,900,2016,male,10.535
medium_variant,900,2017,male,10.35
medium_variant,900,2018,male,10.16
medium_variant,900,2019,male,9.956
medium_variant,900,2020,male,9.734
medium_variant,900,2021,male,9.425
medium_variant,900,2022,male,9.127
medium_variant,900,2023,male,8.848
medium_variant,900,2024,male,8.598
medium_variant,900,2025,male,8.377
medium_variant,900,2026,male,8.133
medium_variant,900,2027,male,7.924
medium_variant,900,2028,male,7.736
medium_variant,900,2029,male,7.556
medium_variant,900,2030,male,7.379
medium_variant,900,2031,male,7.171
medium_variant,900,2032,male,6.979
medium_variant,900,2033,male,6.801
medium_variant,900,2034,male,6.636
medium_variant,900,2035,male,6.479
medium_variant,900,2036,male,6.307
medium_variant,900,2037,male,6.153
medium_variant,900,2038,male,6.014
medium_variant,900,2039,male,5.888
medium_variant,900,2040,male,5.775
medium_variant,900,2041,male,5.652
medium_variant,900,2042,male,5.545
medium_variant,900,2043,male,5.452
medium_variant,900,2044,male,5.372
medium_variant,900,2045,male,5.303
medium_variant,900,2046,male,5.224
medium_variant,900,2047,male,5.16
medium_variant,900,2048,male,5.104
medium_variant,900,2049,male,5.049
medium_variant,900,2050,male,4.99
medium_variant,900,2051,male,4.911
medium_variant,900,2052,male,4.837
medium_variant,900,2053,male,4.765
medium_variant,900,2054,male,4.691
medium_variant,900,2055,male,4.614
medium_variant,900,2056,male,4.521
medium_variant,900,2057,male,4.433
medium_variant,900,2058,male,4.351
medium_variant,900,2059,male,4.279
medium_variant,900,2060,male,4.216
medium_variant,900,2061,male,4.151
medium_variant,900,2062,male,4.1
medium_variant,900,2063,male,4.057
medium_variant,900,2064,male,4.022
medium_variant,900,2065,male,3.99
medium_variant,900,2066,male,3.953
medium_variant,900,2067,male,3.925
medium_variant,900,2068,male,3.902
medium_variant,900,2069,male,3.881
medium_variant,900,2070,male,3.858
medium_variant,900,2071,male,3.829
medium_variant,900,2072,male,3.804
medium_variant,900,2073,male,3.78
medium_variant,900,2074,male,3.755
medium_variant,900,2075,male,3.728
medium_variant,900,2076,male,3.694
medium_variant,900,2077,male,3.662
medium_variant,900,2078,male,3.631
medium_variant,900,2079,male,3.601
medium_variant,900,2080,male,3.569
