variant,country,year,gender,potentialsupport2564_65
estimates,620,1950,male,13.902
estimates,620,1951,male,13.692
estimates,620,1952,male,13.53
estimates,620,1953,male,13.409
estimates,620,1954,male,13.328
estimates,620,1955,male,13.284
estimates,620,1956,male,13.002
estimates,620,1957,male,12.782
estimates,620,1958,male,12.607
estimates,620,1959,male,12.465
estimates,620,1960,male,12.352
estimates,620,1961,male,12.072
estimates,620,1962,male,11.846
estimates,620,1963,male,11.667
estimates,620,1964,male,11.538
estimates,620,1965,male,11.452
estimates,620,1966,male,11.182
estimates,620,1967,male,10.978
estimates,620,1968,male,10.812
estimates,620,1969,male,10.653
estimates,620,1970,male,10.482
estimates,620,1971,male,10.237
estimates,620,1972,male,10.024
estimates,620,1973,male,9.843
estimates,620,1974,male,9.696
estimates,620,1975,male,9.578
estimates,620,1976,male,9.326
estimates,620,1977,male,9.121
estimates,620,1978,male,8.943
estimates,620,1979,male,8.777
estimates,620,1980,male,8.614
estimates,620,1981,male,8.346
estimates,620,1982,male,8.112
estimates,620,1983,male,7.922
estimates,620,1984,male,7.794
estimates,620,1985,male,7.73
estimates,620,1986,male,7.608
estimates,620,1987,male,7.543
estimates,620,1988,male,7.501
estimates,620,1989,male,7.446
estimates,620,1990,male,7.361
estimates,620,1991,male,7.22
estimates,620,1992,male,7.077
estimates,620,1993,male,6.94
estimates,620,1994,male,6.822
estimates,620,1995,male,6.726
estimates,620,1996,male,6.613
estimates,620,1997,male,6.526
estimates,620,1998,male,6.457
estimates,620,1999,male,6.394
estimates,620,2000,male,6.328
estimates,620,2001,male,6.229
estimates,620,2002,male,6.143
estimates,620,2003,male,6.067
estimates,620,2004,male,6.005
estimates,620,2005,male,5.954
estimates,620,2006,male,5.811
estimates,620,2007,male,5.676
estimates,620,2008,male,5.549
estimates,620,2009,male,5.428
estimates,620,2010,male,5.311
estimates,620,2011,male,5.195
estimates,620,2012,male,5.092
estimates,620,2013,male,4.994
estimates,620,2014,male,4.892
estimates,620,2015,male,4.781
medium_variant,620,2015,male,4.781
medium_variant,620,2016,male,4.665
medium_variant,620,2017,male,4.548
medium_variant,620,2018,male,4.435
medium_variant,620,2019,male,4.328
