variant,country,year,gender,potentialsupport2564_65
estimates,840,1998,female,5.162
estimates,840,1999,female,5.171
estimates,840,2000,female,5.193
estimates,840,2001,female,5.23
estimates,840,2002,female,5.273
estimates,840,2003,female,5.322
estimates,840,2004,female,5.376
estimates,840,2005,female,5.431
estimates,840,2006,female,5.454
estimates,840,2007,female,5.476
estimates,840,2008,female,5.491
estimates,840,2009,female,5.496
estimates,840,2010,female,5.488
estimates,840,2011,female,5.459
estimates,840,2012,female,5.414
estimates,840,2013,female,5.349
estimates,840,2014,female,5.262
estimates,840,2015,female,5.157
medium_variant,840,2015,female,5.157
medium_variant,840,2016,female,5.043
medium_variant,840,2017,female,4.916
medium_variant,840,2018,female,4.781
medium_variant,840,2019,female,4.644
medium_variant,840,2020,female,4.508
medium_variant,840,2021,female,4.379
medium_variant,840,2022,female,4.251
medium_variant,840,2023,female,4.122
medium_variant,840,2024,female,3.993
medium_variant,840,2025,female,3.864
medium_variant,840,2026,female,3.747
medium_variant,840,2027,female,3.631
medium_variant,840,2028,female,3.519
medium_variant,840,2029,female,3.412
medium_variant,840,2030,female,3.311
medium_variant,840,2031,female,3.228
medium_variant,840,2032,female,3.149
medium_variant,840,2033,female,3.077
medium_variant,840,2034,female,3.015
medium_variant,840,2035,female,2.963
medium_variant,840,2036,female,2.935
medium_variant,840,2037,female,2.916
medium_variant,840,2038,female,2.902
medium_variant,840,2039,female,2.888
medium_variant,840,2040,female,2.872
medium_variant,840,2041,female,2.866
medium_variant,840,2042,female,2.856
medium_variant,840,2043,female,2.845
medium_variant,840,2044,female,2.839
medium_variant,840,2045,female,2.837
medium_variant,840,2046,female,2.851
medium_variant,840,2047,female,2.868
medium_variant,840,2048,female,2.885
medium_variant,840,2049,female,2.894
medium_variant,840,2050,female,2.895
medium_variant,840,2051,female,2.898
medium_variant,840,2052,female,2.89
medium_variant,840,2053,female,2.874
medium_variant,840,2054,female,2.857
medium_variant,840,2055,female,2.841
medium_variant,840,2056,female,2.834
medium_variant,840,2057,female,2.826
medium_variant,840,2058,female,2.816
medium_variant,840,2059,female,2.801
medium_variant,840,2060,female,2.777
medium_variant,840,2061,female,2.758
medium_variant,840,2062,female,2.731
medium_variant,840,2063,female,2.699
medium_variant,840,2064,female,2.667
medium_variant,840,2065,female,2.639
medium_variant,840,2066,female,2.627
medium_variant,840,2067,female,2.617
medium_variant,840,2068,female,2.607
medium_variant,840,2069,female,2.596
medium_variant,840,2070,female,2.58
medium_variant,840,2071,female,2.574
medium_variant,840,2072,female,2.564
medium_variant,840,2073,female,2.55
medium_variant,840,2074,female,2.531
medium_variant,840,2075,female,2.509
medium_variant,840,2076,female,2.5
medium_variant,840,2077,female,2.486
medium_variant,840,2078,female,2.469
medium_variant,840,2079,female,2.453
medium_variant,840,2080,female,2.437
medium_variant,840,2081,female,2.435
medium_variant,840,2082,female,2.432
medium_variant,840,2083,female,2.426
medium_variant,840,2084,female,2.416
medium_variant,840,2085,female,2.401
medium_variant,840,2086,female,2.398
medium_variant,840,2087,female,2.389
medium_variant,840,2088,female,2.376
medium_variant,840,2089,female,2.36
medium_variant,840,2090,female,2.343
medium_variant,840,2091,female,2.335
medium_variant,840,2092,female,2.325
medium_variant,840,2093,female,2.311
medium_variant,840,2094,female,2.293
medium_variant,840,2095,female,2.273
medium_variant,840,2096,female,2.266
medium_variant,840,2097,female,2.254
medium_variant,840,2098,female,2.24
medium_variant,840,2099,female,2.224
medium_variant,840,2100,female,2.206
