country,year,variant,agebroad,percentagetotalpopulation
540,1960,Estimates,6_11,14.2586281995439
540,1960,Estimates,6_12,16.3942196828
540,1960,Estimates,7_10,9.50318993568885
540,1960,Estimates,7_12,13.8371467370417
540,1960,Estimates,11_16,12.392067437034
540,1960,Estimates,11_17,14.2944989623101
540,1960,Estimates,11_18,16.131594455405
540,1960,Estimates,12_14,6.25304260934177
540,1960,Estimates,12_16,10.1937021189372
540,1960,Estimates,12_17,12.0961336442133
540,1960,Estimates,12_18,13.9332291373082
540,1960,Estimates,13_17,9.96054216095723
540,1960,Estimates,13_18,11.7976376540521
540,1960,Estimates,13_19,13.5655538189551
540,1960,Estimates,15plus,62.6431627763971
540,1960,Estimates,15_17,5.8430910348715
540,1960,Estimates,15_24,17.4524071844013
540,1960,Estimates,15_49,48.7637397832381
540,1960,Estimates,15_59,56.7526710907274
540,1960,Estimates,15_64,58.9933126649415
540,1960,Estimates,16plus,60.6523354428758
540,1960,Estimates,17plus,58.7025032668016
540,1960,Estimates,18plus,56.8000717415256
540,1960,Estimates,18_23,10.0732788439366
540,1960,Estimates,20plus,53.1950600835277
540,1960,Estimates,20_64,49.5452099720721
540,1960,Estimates,20_69,51.1427400138359
540,1960,Estimates,21plus,51.4937610494761
540,1960,Estimates,25plus,45.1907555919957
540,1960,Estimates,25_49,31.3113325988368
540,1960,Estimates,25_64,41.5409054805401
540,1960,Estimates,25_69,43.1384355223039
540,1960,Estimates,50plus,13.8794229931589
540,1960,Estimates,60plus,5.89049168566963
540,1960,Estimates,65plus,3.64985011145559
540,1960,Estimates,70plus,2.05232006969177
540,1960,Estimates,75plus,0.974916088037101
540,1960,Estimates,80plus,0.334366752927311
540,1965,Estimates,total,100
540,1965,Estimates,0_1,6.22937158020549
540,1965,Estimates,0_4,14.649604701909
540,1965,Estimates,0_14,37.9003695296994
540,1965,Estimates,0_17,43.7042885182626
540,1965,Estimates,0_19,47.3370834566926
540,1965,Estimates,0_24,55.7638957421845
540,1965,Estimates,3_4,5.50347050889832
540,1965,Estimates,3_5,8.11759158744257
540,1965,Estimates,3_6,10.6505696459313
540,1965,Estimates,4_5,5.31596434093226
540,1965,Estimates,4_6,7.84894239942103
540,1965,Estimates,5_10,14.6298672105442
540,1965,Estimates,5_11,16.8722655350505
540,1965,Estimates,5_14,23.2507648277904
540,1965,Estimates,6_9,9.73058324286983
540,1965,Estimates,6_10,12.015746132
540,1965,Estimates,6_11,14.2581444565062
540,1965,Estimates,6_12,16.4479094707063
540,1965,Estimates,7_10,9.48276807351119
540,1965,Estimates,7_12,13.9149314122175
540,1965,Estimates,11_16,12.5486583988508
540,1965,Estimates,11_17,14.4248166058094
540,1965,Estimates,11_18,16.2582102481441
540,1965,Estimates,12_14,6.37849929273989
540,1965,Estimates,12_16,10.3062600743445
540,1965,Estimates,12_17,12.1824182813031
540,1965,Estimates,12_18,14.0158119236378
540,1965,Estimates,13_17,9.99265326710308
540,1965,Estimates,13_18,11.8260469094378
540,1965,Estimates,13_19,13.6254482055331
540,1965,Estimates,15plus,62.0996304703005
540,1965,Estimates,15_17,5.80391898856322
540,1965,Estimates,15_24,17.8635262124851
540,1965,Estimates,15_49,48.2570698597541
540,1965,Estimates,15_59,56.2321128984506
540,1965,Estimates,15_64,58.5600403522045
540,1965,Estimates,16plus,60.1039507878548
540,1965,Estimates,17plus,58.1718696886959
540,1965,Estimates,18plus,56.2957114817373
