continent,variant,freq,year,lifeexpectancyatbirth
935,estimates,5yearly,1950,42.337834905243
935,estimates,5yearly,1955,44.5443413159695
935,estimates,5yearly,1960,46.5008181329478
935,estimates,5yearly,1965,52.8038150174486
935,estimates,5yearly,1970,56.5096215801252
935,estimates,5yearly,1975,59.3284141981952
935,estimates,5yearly,1980,61.5709470121839
935,estimates,5yearly,1985,63.5651578802375
935,estimates,5yearly,1990,65.1711167229904
935,estimates,5yearly,1995,66.6964507175586
935,estimates,5yearly,2000,68.6465264882129
935,estimates,5yearly,2005,70.3323908228544
935,estimates,5yearly,2010,71.8054241988105
935,medium_variant,5yearly,2015,72.855273574241
935,medium_variant,5yearly,2020,73.7900640443415
935,medium_variant,5yearly,2025,74.6243356380072
935,medium_variant,5yearly,2030,75.3990318127626
935,medium_variant,5yearly,2035,76.1100437347979
935,medium_variant,5yearly,2040,76.7955948839658
935,medium_variant,5yearly,2045,77.4537491986437
935,medium_variant,5yearly,2050,78.0937606071269
935,medium_variant,5yearly,2055,78.7083645740291
935,medium_variant,5yearly,2060,79.3113540977862
935,medium_variant,5yearly,2065,79.8999860476601
935,medium_variant,5yearly,2070,80.4884199011317
935,medium_variant,5yearly,2075,81.0731256411847
935,medium_variant,5yearly,2080,81.6660471800092
935,medium_variant,5yearly,2085,82.2761582413274
935,medium_variant,5yearly,2090,82.8842017075535
935,medium_variant,5yearly,2095,83.5157767433713
935,estimates,5yearly,Regi,ASIA
935,medium_variant,5yearly,Regi,ASIA
