continent,variant,freq,year,lifeexpectancyatbirth
909,estimates,5yearly,1950,61.5735186822369
909,estimates,5yearly,1955,63.3638503381738
909,estimates,5yearly,1960,64.4056967128065
909,estimates,5yearly,1965,65.4131848162434
909,estimates,5yearly,1970,66.8694680119828
909,estimates,5yearly,1975,68.6672829856929
909,estimates,5yearly,1980,70.4393708456597
909,estimates,5yearly,1985,71.4210777291065
909,estimates,5yearly,1990,73.0463433548077
909,estimates,5yearly,1995,74.1994023682716
909,estimates,5yearly,2000,75.6597996797304
909,estimates,5yearly,2005,77.0222151151606
909,estimates,5yearly,2010,77.9229529632929
909,medium_variant,5yearly,2015,78.7660656756743
909,medium_variant,5yearly,2020,79.5372657961318
909,medium_variant,5yearly,2025,80.1678513383144
909,medium_variant,5yearly,2030,80.7472565863475
909,medium_variant,5yearly,2035,81.2820785550431
909,medium_variant,5yearly,2040,81.816743285599
909,medium_variant,5yearly,2045,82.3189660188395
909,medium_variant,5yearly,2050,82.8056642377559
909,medium_variant,5yearly,2055,83.2847739281736
909,medium_variant,5yearly,2060,83.7589297161585
909,medium_variant,5yearly,2065,84.2338471167223
909,medium_variant,5yearly,2070,84.7126664463856
909,medium_variant,5yearly,2075,85.2022640094216
909,medium_variant,5yearly,2080,85.725962870928
909,medium_variant,5yearly,2085,86.2596744557824
909,medium_variant,5yearly,2090,86.8028424556966
909,medium_variant,5yearly,2095,87.373563979634
909,estimates,5yearly,Regi,OCEANIA
909,medium_variant,5yearly,Regi,OCEANIA
