continent,variant,freq,year,lifeexpectancyatbirth
903,estimates,5yearly,1950,37.467297333632
903,estimates,5yearly,1955,39.9592009002479
903,estimates,5yearly,1960,42.3320264826596
903,estimates,5yearly,1965,44.4262931518113
903,estimates,5yearly,1970,46.5210155539991
903,estimates,5yearly,1975,48.671026882347
903,estimates,5yearly,1980,50.4551281035804
903,estimates,5yearly,1985,51.7304898954848
903,estimates,5yearly,1990,51.7208172763674
903,estimates,5yearly,1995,52.3429194406182
903,estimates,5yearly,2000,53.6615005715109
903,estimates,5yearly,2005,56.9690429103858
903,estimates,5yearly,2010,60.2282530481292
903,medium_variant,5yearly,2015,62.4404801473416
903,medium_variant,5yearly,2020,64.1081468188739
903,medium_variant,5yearly,2025,65.7018698897877
903,medium_variant,5yearly,2030,67.1986383791312
903,medium_variant,5yearly,2035,68.5571537136685
903,medium_variant,5yearly,2040,69.7801307740963
903,medium_variant,5yearly,2045,70.9001113566595
903,medium_variant,5yearly,2050,71.9429623450464
903,medium_variant,5yearly,2055,72.8834025968293
903,medium_variant,5yearly,2060,73.7309540630654
903,medium_variant,5yearly,2065,74.5107960166909
903,medium_variant,5yearly,2070,75.2202655438517
903,medium_variant,5yearly,2075,75.8878378215951
903,medium_variant,5yearly,2080,76.5331696825137
903,medium_variant,5yearly,2085,77.1608422654835
903,medium_variant,5yearly,2090,77.7829660893437
903,medium_variant,5yearly,2095,78.3961788337303
