continent,variant,freq,year,lifeexpectancyatbirth
905,estimates,5yearly,1950,68.7178581764494
905,estimates,5yearly,1955,69.7023789658812
905,estimates,5yearly,1960,70.1979099435495
905,estimates,5yearly,1965,70.5091899387356
905,estimates,5yearly,1970,71.556956835521
905,estimates,5yearly,1975,73.3492109197545
905,estimates,5yearly,1980,74.5139458822311
905,estimates,5yearly,1985,75.0754436462459
905,estimates,5yearly,1990,75.852472021096
905,estimates,5yearly,1995,76.6839880732698
905,estimates,5yearly,2000,77.4134235933786
905,estimates,5yearly,2005,78.417718704553
905,estimates,5yearly,2010,79.1673556922196
905,medium_variant,5yearly,2015,79.9186382352814
905,medium_variant,5yearly,2020,80.6904354267582
905,medium_variant,5yearly,2025,81.4491341506941
905,medium_variant,5yearly,2030,82.1964480828359
905,medium_variant,5yearly,2035,82.9451336203835
905,medium_variant,5yearly,2040,83.6731786627608
905,medium_variant,5yearly,2045,84.3691774674065
905,medium_variant,5yearly,2050,85.0048262828813
905,medium_variant,5yearly,2055,85.6030420962319
905,medium_variant,5yearly,2060,86.1605044597835
905,medium_variant,5yearly,2065,86.7200486722496
905,medium_variant,5yearly,2070,87.2494032556057
905,medium_variant,5yearly,2075,87.7883632546154
905,medium_variant,5yearly,2080,88.3226340157158
905,medium_variant,5yearly,2085,88.8502703928662
905,medium_variant,5yearly,2090,89.3900408760363
905,medium_variant,5yearly,2095,89.9115569486262
905,estimates,5yearly,Regi,NORTHERN AMERICA
905,medium_variant,5yearly,Regi,NORTHERN AMERICA
