continent,variant,freq,year,lifeexpectancyatbirth
908,estimates,5yearly,1950,63.6748636680588
908,estimates,5yearly,1955,67.1184912930163
908,estimates,5yearly,1960,69.1991696452732
908,estimates,5yearly,1965,70.0407402943529
908,estimates,5yearly,1970,70.6155809790598
908,estimates,5yearly,1975,71.0444389101543
908,estimates,5yearly,1980,71.6461165679425
908,estimates,5yearly,1985,72.8269425684152
908,estimates,5yearly,1990,72.6608497053069
908,estimates,5yearly,1995,73.1056351131309
908,estimates,5yearly,2000,73.7965654225457
908,estimates,5yearly,2005,75.2929619180205
908,estimates,5yearly,2010,77.2019757316038
908,medium_variant,5yearly,2015,78.0984507695271
908,medium_variant,5yearly,2020,78.9823450575827
908,medium_variant,5yearly,2025,79.8361534016511
908,medium_variant,5yearly,2030,80.6414744253657
908,medium_variant,5yearly,2035,81.3999195457013
908,medium_variant,5yearly,2040,82.1320830421316
908,medium_variant,5yearly,2045,82.8373312404237
908,medium_variant,5yearly,2050,83.5222708372344
908,medium_variant,5yearly,2055,84.1888473766144
908,medium_variant,5yearly,2060,84.8564518336924
908,medium_variant,5yearly,2065,85.5426854834791
908,medium_variant,5yearly,2070,86.2313948476198
908,medium_variant,5yearly,2075,86.9142965093778
908,medium_variant,5yearly,2080,87.5659748609121
908,medium_variant,5yearly,2085,88.1738798245048
908,medium_variant,5yearly,2090,88.7550466448996
908,medium_variant,5yearly,2095,89.3249770313302
908,estimates,5yearly,Regi,EUROPE
908,medium_variant,5yearly,Regi,EUROPE
