variant,region,year,potentialsupport2564_65
estimates,913,1950,20.784
estimates,913,1951,20.06
estimates,913,1952,19.529
estimates,913,1953,19.152
estimates,913,1954,18.897
estimates,913,1955,18.745
estimates,913,1956,18.244
estimates,913,1957,17.866
estimates,913,1958,17.605
estimates,913,1959,17.452
estimates,913,1960,17.398
estimates,913,1961,17.029
estimates,913,1962,16.766
estimates,913,1963,16.597
estimates,913,1964,16.513
estimates,913,1965,16.509
estimates,913,1966,16.54
estimates,913,1967,16.728
estimates,913,1968,17.076
estimates,913,1969,17.596
estimates,913,1970,18.3
estimates,913,1971,18.339
estimates,913,1972,18.534
estimates,913,1973,18.869
estimates,913,1974,19.329
estimates,913,1975,19.916
estimates,913,1976,19.785
estimates,913,1977,19.775
estimates,913,1978,19.906
estimates,913,1979,20.199
estimates,913,1980,20.664
estimates,913,1981,20.552
estimates,913,1982,20.595
estimates,913,1983,20.76
estimates,913,1984,21.009
estimates,913,1985,21.322
estimates,913,1986,21.04
estimates,913,1987,20.849
estimates,913,1988,20.764
estimates,913,1989,20.8
estimates,913,1990,20.957
estimates,913,1991,20.844
estimates,913,1992,20.842
estimates,913,1993,20.928
estimates,913,1994,21.076
estimates,913,1995,21.264
estimates,913,1996,20.756
estimates,913,1997,20.303
estimates,913,1998,19.876
estimates,913,1999,19.451
estimates,913,2000,19.009
estimates,913,2001,18.16
estimates,913,2002,17.398
estimates,913,2003,16.752
estimates,913,2004,16.222
estimates,913,2005,15.785
estimates,913,2006,15.218
estimates,913,2007,14.739
estimates,913,2008,14.343
estimates,913,2009,14.048
estimates,913,2010,13.866
estimates,913,2011,14.053
estimates,913,2012,14.334
estimates,913,2013,14.686
estimates,913,2014,15.08
estimates,913,2015,15.489
medium_variant,913,2015,15.489
medium_variant,913,2016,15.51
medium_variant,913,2017,15.556
medium_variant,913,2018,15.594
medium_variant,913,2019,15.633
medium_variant,913,2020,15.663
medium_variant,913,2021,15.369
medium_variant,913,2022,15.088
medium_variant,913,2023,14.83
medium_variant,913,2024,14.594
medium_variant,913,2025,14.378
medium_variant,913,2026,13.958
medium_variant,913,2027,13.583
medium_variant,913,2028,13.246
medium_variant,913,2029,12.943
medium_variant,913,2030,12.676
medium_variant,913,2031,12.309
medium_variant,913,2032,11.993
medium_variant,913,2033,11.729
medium_variant,913,2034,11.518
medium_variant,913,2035,11.353
medium_variant,913,2036,11.119
medium_variant,913,2037,10.932
medium_variant,913,2038,10.786
medium_variant,913,2039,10.677
medium_variant,913,2040,10.601
medium_variant,913,2041,10.452
medium_variant,913,2042,10.329
medium_variant,913,2043,10.234
medium_variant,913,2044,10.166
medium_variant,913,2045,10.122
medium_variant,913,2046,9.998
medium_variant,913,2047,9.897
medium_variant,913,2048,9.797
medium_variant,913,2049,9.672
medium_variant,913,2050,9.512
medium_variant,913,2051,9.239
medium_variant,913,2052,8.96
medium_variant,913,2053,8.681
medium_variant,913,2054,8.407
medium_variant,913,2055,8.14
medium_variant,913,2056,7.823
medium_variant,913,2057,7.525
medium_variant,913,2058,7.254
medium_variant,913,2059,7.017
medium_variant,913,2060,6.814
medium_variant,913,2061,6.602
medium_variant,913,2062,6.422
medium_variant,913,2063,6.266
medium_variant,913,2064,6.126
medium_variant,913,2065,5.998
medium_variant,913,2066,5.854
medium_variant,913,2067,5.724
medium_variant,913,2068,5.611
medium_variant,913,2069,5.518
medium_variant,913,2070,5.445
medium_variant,913,2071,5.364
medium_variant,913,2072,5.302
medium_variant,913,2073,5.248
medium_variant,913,2074,5.193
medium_variant,913,2075,5.131
medium_variant,913,2076,5.04
medium_variant,913,2077,4.948
medium_variant,913,2078,4.857
medium_variant,913,2079,4.774
medium_variant,913,2080,4.699
medium_variant,913,2081,4.608
medium_variant,913,2082,4.526
medium_variant,913,2083,4.45
medium_variant,913,2084,4.38
medium_variant,913,2085,4.314
medium_variant,913,2086,4.234
medium_variant,913,2087,4.159
medium_variant,913,2088,4.091
medium_variant,913,2089,4.03
medium_variant,913,2090,3.976
medium_variant,913,2091,3.915
medium_variant,913,2092,3.862
medium_variant,913,2093,3.814
medium_variant,913,2094,3.772
medium_variant,913,2095,3.735
medium_variant,913,2096,3.691
medium_variant,913,2097,3.652
medium_variant,913,2098,3.617
medium_variant,913,2099,3.585
medium_variant,913,2100,3.556
high_variant,913,2015,9.3565983467807
low_variant,913,2015,9.3565983467807
constant_fertility,913,2015,9.3565983467807
instant_replacement,913,2015,9.3565983467807
zero_migration,913,2015,9.3565983467807
constant_mortality,913,2015,9.3565983467807
no_change,913,2015,9.3565983467807
high_variant,913,2020,8.96003513432999
low_variant,913,2020,8.96003513432999
constant_fertility,913,2020,8.96003513432999
instant_replacement,913,2020,8.96003513432999
zero_migration,913,2020,8.9390644779881
constant_mortality,913,2020,9.06729159927427
no_change,913,2020,9.06729159927427
high_variant,913,2025,8.1782852436737
low_variant,913,2025,8.1782852436737
constant_fertility,913,2025,8.1782852436737
instant_replacement,913,2025,8.1782852436737
zero_migration,913,2025,8.14599741433299
constant_mortality,913,2025,8.4017666749524
no_change,913,2025,8.4017666749524
high_variant,913,2030,7.31386319662629
low_variant,913,2030,7.31386319662629
constant_fertility,913,2030,7.31386319662629
instant_replacement,913,2030,7.31386319662629
zero_migration,913,2030,7.27494440995349
constant_mortality,913,2030,7.62400217769617
no_change,913,2030,7.62400217769617
high_variant,913,2035,6.84610700741676
low_variant,913,2035,6.84610700741676
constant_fertility,913,2035,6.84610700741676
instant_replacement,913,2035,6.84610700741676
zero_migration,913,2035,6.8055119444522
constant_mortality,913,2035,7.22016765671131
no_change,913,2035,7.22016765671131
high_variant,913,2040,6.5496675196357
low_variant,913,2040,6.5496675196357
constant_fertility,913,2040,6.5496675196357
instant_replacement,913,2040,6.5496675196357
zero_migration,913,2040,6.50979757950618
constant_mortality,913,2040,6.96073446659584
no_change,913,2040,6.96073446659584
high_variant,913,2045,6.33509546651145
low_variant,913,2045,6.13464063923512
constant_fertility,913,2045,6.28426271306483
instant_replacement,913,2045,6.19874914758588
zero_migration,913,2045,6.1954969750696
constant_mortality,913,2045,6.68483450488295
no_change,913,2045,6.7391721484879
high_variant,913,2050,5.67846681337162
low_variant,913,2050,5.2326796151109
constant_fertility,913,2050,5.58312479444118
instant_replacement,913,2050,5.42121879440877
zero_migration,913,2050,5.41879375185315
constant_mortality,913,2050,5.9569447563146
no_change,913,2050,6.10178520036684
high_variant,913,2055,4.97298945636598
low_variant,913,2055,4.30841002972031
constant_fertility,913,2055,4.85062282183735
instant_replacement,913,2055,4.62553226776584
zero_migration,913,2055,4.60873074450157
constant_mortality,913,2055,5.23644246371234
no_change,913,2055,5.48451154273615
high_variant,913,2060,4.52439472306905
low_variant,913,2060,3.68314256989663
constant_fertility,913,2060,4.40173391063304
instant_replacement,913,2060,4.11536043129596
zero_migration,913,2060,4.07829109034304
constant_mortality,913,2060,4.83357952709021
no_change,913,2060,5.20243580438034
high_variant,913,2065,4.22830641326099
low_variant,913,2065,3.21688506004003
constant_fertility,913,2065,4.11600539314154
instant_replacement,913,2065,3.76163529606169
zero_migration,913,2065,3.70148658914615
constant_mortality,913,2065,4.58908980244491
no_change,913,2065,5.10252326368053
high_variant,913,2070,4.11698175757916
low_variant,913,2070,2.89908466824781
constant_fertility,913,2070,4.01557328018697
instant_replacement,913,2070,3.57303142779105
zero_migration,913,2070,3.48326211182775
constant_mortality,913,2070,4.50430603788995
no_change,913,2070,5.20473640447407
high_variant,913,2075,3.94559863702539
low_variant,913,2075,2.52979697108627
constant_fertility,913,2075,3.85990022038329
instant_replacement,913,2075,3.32622099870818
zero_migration,913,2075,3.19890725907431
constant_mortality,913,2075,4.30163967071727
no_change,913,2075,5.20587770812866
high_variant,913,2080,3.81626800208706
low_variant,913,2080,2.19716274115971
constant_fertility,913,2080,3.75368747077668
instant_replacement,913,2080,3.12063296758878
zero_migration,913,2080,2.94959227742133
constant_mortality,913,2080,4.13513760474552
no_change,913,2080,5.27599582175753
high_variant,913,2085,3.57351249190906
low_variant,913,2085,1.98811410315778
constant_fertility,913,2085,3.61555408451191
instant_replacement,913,2085,2.99377121915831
zero_migration,913,2085,2.73106534953804
constant_mortality,913,2085,3.98733982617919
no_change,913,2085,5.28094999255829
high_variant,913,2090,3.34926890098478
low_variant,913,2090,1.86530411033823
constant_fertility,913,2090,3.49895366536844
instant_replacement,913,2090,2.88340802637541
zero_migration,913,2090,2.57060437801251
constant_mortality,913,2090,3.89522815728863
no_change,913,2090,5.2861142504168
high_variant,913,2095,3.16270578183309
low_variant,913,2095,1.79011845460015
constant_fertility,913,2095,3.4061551110343
instant_replacement,913,2095,2.78825846096674
zero_migration,913,2095,2.44761819452027
constant_mortality,913,2095,3.83564024969911
no_change,913,2095,5.30281500240348
high_variant,913,2100,3.03491994196082
low_variant,913,2100,1.70864108758217
constant_fertility,913,2100,3.32779307580323
instant_replacement,913,2100,2.69380056864914
zero_migration,913,2100,2.34156950373094
constant_mortality,913,2100,3.78177472220638
no_change,913,2100,5.32419890379401
