variant,global,year,gender,dependencyratio1564
estimates,900,1971,female,75.538
estimates,900,1972,female,75.487
estimates,900,1973,female,75.342
estimates,900,1974,female,75.055
estimates,900,1975,female,74.595
estimates,900,1976,female,74.202
estimates,900,1977,female,73.631
estimates,900,1978,female,72.906
estimates,900,1979,female,72.065
estimates,900,1980,female,71.148
estimates,900,1981,female,70.27
estimates,900,1982,female,69.377
estimates,900,1983,female,68.491
estimates,900,1984,female,67.638
estimates,900,1985,female,66.847
estimates,900,1986,female,66.451
estimates,900,1987,female,66.042
estimates,900,1988,female,65.639
estimates,900,1989,female,65.239
estimates,900,1990,female,64.821
estimates,900,1991,female,64.681
estimates,900,1992,female,64.371
estimates,900,1993,female,63.947
estimates,900,1994,female,63.463
estimates,900,1995,female,62.933
estimates,900,1996,female,62.256
estimates,900,1997,female,61.613
estimates,900,1998,female,60.942
estimates,900,1999,female,60.169
estimates,900,2000,female,59.287
estimates,900,2001,female,58.524
estimates,900,2002,female,57.683
estimates,900,2003,female,56.8
estimates,900,2004,female,55.937
estimates,900,2005,female,55.132
estimates,900,2006,female,54.546
estimates,900,2007,female,53.979
estimates,900,2008,female,53.475
estimates,900,2009,female,53.075
estimates,900,2010,female,52.798
estimates,900,2011,female,52.662
estimates,900,2012,female,52.623
estimates,900,2013,female,52.673
estimates,900,2014,female,52.79
estimates,900,2015,female,52.951
medium_variant,900,2015,female,52.951
medium_variant,900,2016,female,53.212
medium_variant,900,2017,female,53.492
medium_variant,900,2018,female,53.774
medium_variant,900,2019,female,54.038
medium_variant,900,2020,female,54.273
medium_variant,900,2021,female,54.49
medium_variant,900,2022,female,54.676
medium_variant,900,2023,female,54.837
medium_variant,900,2024,female,54.991
medium_variant,900,2025,female,55.15
medium_variant,900,2026,female,55.327
medium_variant,900,2027,female,55.506
medium_variant,900,2028,female,55.69
medium_variant,900,2029,female,55.886
medium_variant,900,2030,female,56.101
medium_variant,900,2031,female,56.349
medium_variant,900,2032,female,56.607
medium_variant,900,2033,female,56.878
medium_variant,900,2034,female,57.163
medium_variant,900,2035,female,57.464
medium_variant,900,2036,female,57.778
medium_variant,900,2037,female,58.099
medium_variant,900,2038,female,58.424
medium_variant,900,2039,female,58.74
medium_variant,900,2040,female,59.04
medium_variant,900,2041,female,59.302
medium_variant,900,2042,female,59.541
medium_variant,900,2043,female,59.775
medium_variant,900,2044,female,60.029
medium_variant,900,2045,female,60.317
medium_variant,900,2046,female,60.608
medium_variant,900,2047,female,60.92
medium_variant,900,2048,female,61.258
medium_variant,900,2049,female,61.631
medium_variant,900,2050,female,62.043
medium_variant,900,2051,female,62.457
medium_variant,900,2052,female,62.903
medium_variant,900,2053,female,63.36
medium_variant,900,2054,female,63.794
medium_variant,900,2055,female,64.178
medium_variant,900,2056,female,64.468
medium_variant,900,2057,female,64.712
medium_variant,900,2058,female,64.911
medium_variant,900,2059,female,65.071
medium_variant,900,2060,female,65.196
medium_variant,900,2061,female,65.235
medium_variant,900,2062,female,65.243
medium_variant,900,2063,female,65.235
medium_variant,900,2064,female,65.229
medium_variant,900,2065,female,65.238
medium_variant,900,2066,female,65.211
medium_variant,900,2067,female,65.205
medium_variant,900,2068,female,65.222
medium_variant,900,2069,female,65.266
medium_variant,900,2070,female,65.342
medium_variant,900,2071,female,65.386
medium_variant,900,2072,female,65.459
medium_variant,900,2073,female,65.568
medium_variant,900,2074,female,65.717
medium_variant,900,2075,female,65.903
medium_variant,900,2076,female,66.044
medium_variant,900,2077,female,66.22
medium_variant,900,2078,female,66.429
medium_variant,900,2079,female,66.659
medium_variant,900,2080,female,66.897
medium_variant,900,2081,female,67.065
medium_variant,900,2082,female,67.254
medium_variant,900,2083,female,67.452
medium_variant,900,2084,female,67.65
medium_variant,900,2085,female,67.848
medium_variant,900,2086,female,67.967
medium_variant,900,2087,female,68.09
medium_variant,900,2088,female,68.221
medium_variant,900,2089,female,68.366
medium_variant,900,2090,female,68.527
medium_variant,900,2091,female,68.599
medium_variant,900,2092,female,68.687
medium_variant,900,2093,female,68.796
medium_variant,900,2094,female,68.933
medium_variant,900,2095,female,69.099
medium_variant,900,2096,female,69.166
medium_variant,900,2097,female,69.27
medium_variant,900,2098,female,69.412
medium_variant,900,2099,female,69.585
medium_variant,900,2100,female,69.785
