variant,country,year,gender,dependencyratio2069
estimates,426,1950,male,119.997
estimates,426,1951,male,121.387
estimates,426,1952,male,122.761
estimates,426,1953,male,124.417
estimates,426,1954,male,126.334
estimates,426,1955,male,128.367
estimates,426,1956,male,130.706
estimates,426,1957,male,133.203
estimates,426,1958,male,135.805
estimates,426,1959,male,138.424
estimates,426,1960,male,141.016
estimates,426,1961,male,142.862
estimates,426,1962,male,144.924
estimates,426,1963,male,147.306
estimates,426,1964,male,149.935
estimates,426,1965,male,152.581
estimates,426,1966,male,153.405
estimates,426,1967,male,154.012
estimates,426,1968,male,154.555
estimates,426,1969,male,155.246
estimates,426,1970,male,156.131
estimates,426,1971,male,157.081
estimates,426,1972,male,158.235
estimates,426,1973,male,159.581
estimates,426,1974,male,161.028
estimates,426,1975,male,162.463
estimates,426,1976,male,161.926
estimates,426,1977,male,161.2
estimates,426,1978,male,160.33
estimates,426,1979,male,159.336
estimates,426,1980,male,158.19
estimates,426,1981,male,157.126
estimates,426,1982,male,156.467
estimates,426,1983,male,156.138
estimates,426,1984,male,155.986
estimates,426,1985,male,155.817
estimates,426,1986,male,155.513
estimates,426,1987,male,154.533
estimates,426,1988,male,153.062
estimates,426,1989,male,151.366
estimates,426,1990,male,149.626
estimates,426,1991,male,147.788
estimates,426,1992,male,145.95
estimates,426,1993,male,143.955
estimates,426,1994,male,141.704
estimates,426,1995,male,139.23
estimates,426,1996,male,138.879
estimates,426,1997,male,138.707
estimates,426,1998,male,138.52
estimates,426,1999,male,138.145
estimates,426,2000,male,137.479
estimates,426,2001,male,135.925
estimates,426,2002,male,133.883
estimates,426,2003,male,131.485
estimates,426,2004,male,128.993
estimates,426,2005,male,126.586
estimates,426,2006,male,123.634
estimates,426,2007,male,121.026
estimates,426,2008,male,118.614
estimates,426,2009,male,116.262
estimates,426,2010,male,113.956
estimates,426,2011,male,111.907
estimates,426,2012,male,109.934
estimates,426,2013,male,108.016
estimates,426,2014,male,106.116
estimates,426,2015,male,104.212
medium_variant,426,2015,male,104.212
medium_variant,426,2016,male,102.744
medium_variant,426,2017,male,101.079
medium_variant,426,2018,male,99.377
medium_variant,426,2019,male,97.82
medium_variant,426,2020,male,96.467
medium_variant,426,2021,male,95.276
medium_variant,426,2022,male,94.281
medium_variant,426,2023,male,93.393
medium_variant,426,2024,male,92.481
medium_variant,426,2025,male,91.475
medium_variant,426,2026,male,90.525
medium_variant,426,2027,male,89.541
medium_variant,426,2028,male,88.468
medium_variant,426,2029,male,87.249
medium_variant,426,2030,male,85.856
medium_variant,426,2031,male,84.396
medium_variant,426,2032,male,82.812
medium_variant,426,2033,male,81.151
medium_variant,426,2034,male,79.475
medium_variant,426,2035,male,77.818
medium_variant,426,2036,male,76.297
medium_variant,426,2037,male,74.788
medium_variant,426,2038,male,73.319
medium_variant,426,2039,male,71.913
medium_variant,426,2040,male,70.578
medium_variant,426,2041,male,69.396
medium_variant,426,2042,male,68.281
medium_variant,426,2043,male,67.237
medium_variant,426,2044,male,66.261
medium_variant,426,2045,male,65.348
medium_variant,426,2046,male,64.58
medium_variant,426,2047,male,63.862
medium_variant,426,2048,male,63.197
medium_variant,426,2049,male,62.586
medium_variant,426,2050,male,62.024
medium_variant,426,2051,male,61.582
medium_variant,426,2052,male,61.175
medium_variant,426,2053,male,60.793
medium_variant,426,2054,male,60.428
medium_variant,426,2055,male,60.074
medium_variant,426,2056,male,59.827
medium_variant,426,2057,male,59.576
medium_variant,426,2058,male,59.319
medium_variant,426,2059,male,59.05
medium_variant,426,2060,male,58.768
medium_variant,426,2061,male,58.57
medium_variant,426,2062,male,58.342
medium_variant,426,2063,male,58.096
medium_variant,426,2064,male,57.849
medium_variant,426,2065,male,57.609
medium_variant,426,2066,male,57.475
medium_variant,426,2067,male,57.335
medium_variant,426,2068,male,57.176
medium_variant,426,2069,male,56.977
medium_variant,426,2070,male,56.729
medium_variant,426,2071,male,56.571
medium_variant,426,2072,male,56.36
medium_variant,426,2073,male,56.113
medium_variant,426,2074,male,55.843
medium_variant,426,2075,male,55.561
medium_variant,426,2076,male,55.412
medium_variant,426,2077,male,55.233
medium_variant,426,2078,male,55.048
medium_variant,426,2079,male,54.885
medium_variant,426,2080,male,54.761
medium_variant,426,2081,male,54.829
medium_variant,426,2082,male,54.911
medium_variant,426,2083,male,55.001
medium_variant,426,2084,male,55.085
medium_variant,426,2085,male,55.158
medium_variant,426,2086,male,55.385
medium_variant,426,2087,male,55.581
medium_variant,426,2088,male,55.749
medium_variant,426,2089,male,55.891
medium_variant,426,2090,male,56.008
medium_variant,426,2091,male,56.25
medium_variant,426,2092,male,56.448
medium_variant,426,2093,male,56.606
medium_variant,426,2094,male,56.728
medium_variant,426,2095,male,56.821
medium_variant,426,2096,male,57.031
medium_variant,426,2097,male,57.19
medium_variant,426,2098,male,57.308
medium_variant,426,2099,male,57.401
