variant,country,year,gender,dependencyratio2069
estimates,454,1950,male,137.864
estimates,454,1951,male,139.034
estimates,454,1952,male,139.046
estimates,454,1953,male,138.855
estimates,454,1954,male,138.767
estimates,454,1955,male,138.671
estimates,454,1956,male,139.189
estimates,454,1957,male,139.938
estimates,454,1958,male,140.528
estimates,454,1959,male,140.647
estimates,454,1960,male,140.229
estimates,454,1961,male,141.624
estimates,454,1962,male,142.261
estimates,454,1963,male,142.339
estimates,454,1964,male,142.107
estimates,454,1965,male,141.664
estimates,454,1966,male,142.048
estimates,454,1967,male,142.013
estimates,454,1968,male,141.807
estimates,454,1969,male,141.668
estimates,454,1970,male,141.728
estimates,454,1971,male,143.078
estimates,454,1972,male,144.385
estimates,454,1973,male,145.583
estimates,454,1974,male,146.544
estimates,454,1975,male,147.199
estimates,454,1976,male,148.52
estimates,454,1977,male,149.425
estimates,454,1978,male,149.997
estimates,454,1979,male,150.272
estimates,454,1980,male,150.269
estimates,454,1981,male,151.3
estimates,454,1982,male,151.739
estimates,454,1983,male,151.807
estimates,454,1984,male,151.845
estimates,454,1985,male,152.09
estimates,454,1986,male,150.609
estimates,454,1987,male,149.187
estimates,454,1988,male,147.665
estimates,454,1989,male,145.617
estimates,454,1990,male,142.736
estimates,454,1991,male,144.147
estimates,454,1992,male,144.864
estimates,454,1993,male,145.064
estimates,454,1994,male,145.2
estimates,454,1995,male,145.676
estimates,454,1996,male,146.563
estimates,454,1997,male,147.2
estimates,454,1998,male,147.711
estimates,454,1999,male,148.069
estimates,454,2000,male,148.225
estimates,454,2001,male,149.108
estimates,454,2002,male,149.704
estimates,454,2003,male,149.998
estimates,454,2004,male,150.022
estimates,454,2005,male,149.833
estimates,454,2006,male,149.364
estimates,454,2007,male,148.768
estimates,454,2008,male,148.052
estimates,454,2009,male,147.203
estimates,454,2010,male,146.25
estimates,454,2011,male,145.257
estimates,454,2012,male,144.01
estimates,454,2013,male,142.634
estimates,454,2014,male,141.28
estimates,454,2015,male,140.011
medium_variant,454,2015,male,140.011
medium_variant,454,2016,male,138.607
medium_variant,454,2017,male,137.324
medium_variant,454,2018,male,136.075
medium_variant,454,2019,male,134.741
medium_variant,454,2020,male,133.285
medium_variant,454,2021,male,131.999
medium_variant,454,2022,male,130.579
medium_variant,454,2023,male,129.032
medium_variant,454,2024,male,127.373
medium_variant,454,2025,male,125.61
medium_variant,454,2026,male,123.791
medium_variant,454,2027,male,121.869
medium_variant,454,2028,male,119.892
medium_variant,454,2029,male,117.905
medium_variant,454,2030,male,115.94
medium_variant,454,2031,male,114.135
medium_variant,454,2032,male,112.336
medium_variant,454,2033,male,110.545
medium_variant,454,2034,male,108.764
medium_variant,454,2035,male,106.993
medium_variant,454,2036,male,105.359
medium_variant,454,2037,male,103.725
medium_variant,454,2038,male,102.111
medium_variant,454,2039,male,100.539
medium_variant,454,2040,male,99.019
medium_variant,454,2041,male,97.659
medium_variant,454,2042,male,96.329
medium_variant,454,2043,male,95.037
medium_variant,454,2044,male,93.788
medium_variant,454,2045,male,92.584
medium_variant,454,2046,male,91.526
medium_variant,454,2047,male,90.487
medium_variant,454,2048,male,89.469
medium_variant,454,2049,male,88.47
medium_variant,454,2050,male,87.49
medium_variant,454,2051,male,86.602
medium_variant,454,2052,male,85.715
medium_variant,454,2053,male,84.842
medium_variant,454,2054,male,83.997
medium_variant,454,2055,male,83.184
medium_variant,454,2056,male,82.471
medium_variant,454,2057,male,81.764
medium_variant,454,2058,male,81.063
medium_variant,454,2059,male,80.362
medium_variant,454,2060,male,79.661
medium_variant,454,2061,male,79.017
medium_variant,454,2062,male,78.358
medium_variant,454,2063,male,77.692
medium_variant,454,2064,male,77.027
medium_variant,454,2065,male,76.367
medium_variant,454,2066,male,75.772
medium_variant,454,2067,male,75.165
medium_variant,454,2068,male,74.554
medium_variant,454,2069,male,73.945
medium_variant,454,2070,male,73.344
medium_variant,454,2071,male,72.804
medium_variant,454,2072,male,72.255
medium_variant,454,2073,male,71.713
medium_variant,454,2074,male,71.191
