agebroad,gender,percentagetotalpopulation,global,variant,year
13_17,female,9.533,900,estimates,1951
13_18,female,11.329,900,estimates,1951
13_19,female,13.101,900,estimates,1951
15_17,female,5.6,900,estimates,1951
18_23,female,10.459,900,estimates,1951
15_24,female,17.718,900,estimates,1951
15_49,female,49.493,900,estimates,1951
15_59,female,57.457,900,estimates,1951
15_64,female,60.5,900,estimates,1951
20_64,female,51.332,900,estimates,1951
20_69,female,53.695,900,estimates,1951
25_49,female,31.775,900,estimates,1951
25_64,female,42.782,900,estimates,1951
25_69,female,45.145,900,estimates,1951
15plus,female,66.216,900,estimates,1951
16plus,female,64.31,900,estimates,1951
17plus,female,62.444,900,estimates,1951
18plus,female,60.616,900,estimates,1951
20plus,female,57.048,900,estimates,1951
21plus,female,55.294,900,estimates,1951
25plus,female,48.498,900,estimates,1951
50plus,female,16.723,900,estimates,1951
60plus,female,8.759,900,estimates,1951
65plus,female,5.716,900,estimates,1951
70plus,female,3.354,900,estimates,1951
75plus,female,1.715,900,estimates,1951
80plus,female,0.716,900,estimates,1951
85plus,female,0.245,900,estimates,1951
90plus,female,0.067,900,estimates,1951
total,female,100,900,estimates,1951
"Region, subregion, country or area *",male,WORLD,900,estimates,1951
0_1,male,6.27,900,estimates,1951
0_4,male,14.108,900,estimates,1951
0_14,male,35.381,900,estimates,1951
0_17,male,41.24,900,estimates,1951
0_19,male,44.952,900,estimates,1951
0_24,male,53.833,900,estimates,1951
3_4,male,5.049,900,estimates,1951
3_5,male,7.375,900,estimates,1951
3_6,male,9.606,900,estimates,1951
4_5,male,4.774,900,estimates,1951
4_6,male,7.005,900,estimates,1951
5_14,male,21.273,900,estimates,1951
5_10,male,12.98,900,estimates,1951
5_11,male,15.051,900,estimates,1951
6_9,male,8.584,900,estimates,1951
6_10,male,10.654,900,estimates,1951
6_11,male,12.725,900,estimates,1951
6_12,male,14.811,900,estimates,1951
7_10,male,8.423,900,estimates,1951
7_12,male,12.58,900,estimates,1951
11_16,male,12.244,900,estimates,1951
11_17,male,14.151,900,estimates,1951
11_18,male,16.019,900,estimates,1951
12_14,male,6.222,900,estimates,1951
12_16,male,10.173,900,estimates,1951
12_17,male,12.08,900,estimates,1951
12_18,male,13.948,900,estimates,1951
13_17,male,9.994,900,estimates,1951
13_18,male,11.862,900,estimates,1951
13_19,male,13.706,900,estimates,1951
15_17,male,5.858,900,estimates,1951
18_23,male,10.884,900,estimates,1951
15_24,male,18.452,900,estimates,1951
15_49,male,49.941,900,estimates,1951
15_59,male,57.454,900,estimates,1951
15_64,male,60.138,900,estimates,1951
20_64,male,50.568,900,estimates,1951
20_69,male,52.537,900,estimates,1951
25_49,male,31.489,900,estimates,1951
