global,variant,gender,freq,year,under60mortalityper1000livebirth
900,estimates,female,5yearly,1950,505.800106969282
900,estimates,male,5yearly,1950,565.441013066099
900,estimates,female,5yearly,1955,468.817825367474
900,estimates,male,5yearly,1955,532.357093134559
900,estimates,female,5yearly,1960,442.063160397195
900,estimates,male,5yearly,1960,505.581322161463
900,estimates,female,5yearly,1965,377.280155845231
900,estimates,male,5yearly,1965,436.332247227186
900,estimates,female,5yearly,1970,333.904195963801
900,estimates,male,5yearly,1970,395.517729998539
900,estimates,female,5yearly,1975,299.934919162686
900,estimates,male,5yearly,1975,363.849281595299
900,estimates,female,5yearly,1980,272.623629505326
900,estimates,male,5yearly,1980,342.46369630287
900,estimates,female,5yearly,1985,252.459338567428
900,estimates,male,5yearly,1985,317.733955663094
900,estimates,female,5yearly,1990,240.411999173851
900,estimates,male,5yearly,1990,309.139713304513
900,estimates,female,5yearly,1995,228.429848711551
900,estimates,male,5yearly,1995,296.122912182596
900,estimates,female,5yearly,2000,212.894201632609
900,estimates,male,5yearly,2000,275.838434061004
900,estimates,female,5yearly,2005,190.21892166347
900,estimates,male,5yearly,2005,251.644723398069
900,estimates,female,5yearly,2010,167.38141118973
900,estimates,male,5yearly,2010,228.473229342891
900,medium_variant,female,5yearly,2015,153.624534512159
900,medium_variant,male,5yearly,2015,213.396918499893
900,medium_variant,female,5yearly,2020,143.033393367037
900,medium_variant,male,5yearly,2020,200.650680158184
900,medium_variant,female,5yearly,2025,133.89761608019
900,medium_variant,male,5yearly,2025,190.39646430843
900,medium_variant,female,5yearly,2030,125.47012246314
900,medium_variant,male,5yearly,2030,181.520872463323
900,medium_variant,female,5yearly,2035,117.333715618347
900,medium_variant,male,5yearly,2035,172.237610514398
900,medium_variant,female,5yearly,2040,109.928246004178
900,medium_variant,male,5yearly,2040,162.641386775978
900,medium_variant,female,5yearly,2045,103.526414792385
900,medium_variant,male,5yearly,2045,154.522143694039
900,medium_variant,female,5yearly,2050,97.7969217311304
900,medium_variant,male,5yearly,2050,147.427078007649
900,medium_variant,female,5yearly,2055,92.1527022031007
900,medium_variant,male,5yearly,2055,140.156787227698
900,medium_variant,female,5yearly,2060,86.6993853012382
900,medium_variant,male,5yearly,2060,132.568243121612
900,medium_variant,female,5yearly,2065,81.5753896588285
900,medium_variant,male,5yearly,2065,125.615203165222
900,medium_variant,female,5yearly,2070,77.1015740343832
900,medium_variant,male,5yearly,2070,119.15300297363
900,medium_variant,female,5yearly,2075,72.9503359488403
900,medium_variant,male,5yearly,2075,112.991070060933
900,medium_variant,female,5yearly,2080,69.0572213628532
900,medium_variant,male,5yearly,2080,107.132222031155
900,medium_variant,female,5yearly,2085,65.2908621549241
900,medium_variant,male,5yearly,2085,101.274829919022
900,medium_variant,female,5yearly,2090,61.6403732531016
900,medium_variant,male,5yearly,2090,95.4636719431602
900,medium_variant,female,5yearly,2095,58.152576621776
900,medium_variant,male,5yearly,2095,89.7804406539938
