agebroad,percentagetotalpopulation,region,variant,year
0_1,7.886,910,estimates,1950
0_4,17.885,910,estimates,1950
0_14,42.996,910,estimates,1950
0_17,49.315,910,estimates,1950
0_19,53.26,910,estimates,1950
0_24,62.082,910,estimates,1950
3_4,6.453,910,estimates,1950
3_5,9.415,910,estimates,1950
3_6,12.232,910,estimates,1950
4_5,6.091,910,estimates,1950
4_6,8.909,910,estimates,1950
5_14,25.111,910,estimates,1950
5_10,15.988,910,estimates,1950
5_11,18.353,910,estimates,1950
6_9,10.601,910,estimates,1950
6_10,13.027,910,estimates,1950
6_11,15.391,910,estimates,1950
6_12,17.7,910,estimates,1950
7_10,10.209,910,estimates,1950
7_12,14.882,910,estimates,1950
11_16,13.38,910,estimates,1950
11_17,15.442,910,estimates,1950
11_18,17.446,910,estimates,1950
12_14,6.758,910,estimates,1950
12_16,11.016,910,estimates,1950
12_17,13.077,910,estimates,1950
12_18,15.081,910,estimates,1950
13_17,10.769,910,estimates,1950
13_18,12.773,910,estimates,1950
13_19,14.713,910,estimates,1950
15_17,6.319,910,estimates,1950
18_23,11.115,910,estimates,1950
15_24,19.085,910,estimates,1950
15_49,46.614,910,estimates,1950
15_59,52.087,910,estimates,1950
15_64,54.008,910,estimates,1950
20_64,43.745,910,estimates,1950
20_69,45.145,910,estimates,1950
25_49,27.529,910,estimates,1950
25_64,34.923,910,estimates,1950
25_69,36.323,910,estimates,1950
15plus,57.004,910,estimates,1950
16plus,54.854,910,estimates,1950
17plus,52.746,910,estimates,1950
18plus,50.685,910,estimates,1950
20plus,46.74,910,estimates,1950
21plus,44.86,910,estimates,1950
25plus,37.918,910,estimates,1950
50plus,10.389,910,estimates,1950
60plus,4.917,910,estimates,1950
65plus,2.995,910,estimates,1950
70plus,1.595,910,estimates,1950
75plus,0.704,910,estimates,1950
80plus,0.229,910,estimates,1950
85plus,0.059,910,estimates,1950
90plus,0.01,910,estimates,1950
total,100,910,estimates,1950
0_1,7.923,910,estimates,1951
0_4,18.069,910,estimates,1951
0_14,43.25,910,estimates,1951
0_17,49.502,910,estimates,1951
0_19,53.434,910,estimates,1951
0_24,62.239,910,estimates,1951
3_4,6.547,910,estimates,1951
3_5,9.547,910,estimates,1951
3_6,12.397,910,estimates,1951
4_5,6.175,910,estimates,1951
4_6,9.025,910,estimates,1951
5_14,25.181,910,estimates,1951
5_10,16.117,910,estimates,1951
5_11,18.47,910,estimates,1951
6_9,10.69,910,estimates,1951
6_10,13.116,910,estimates,1951
6_11,15.47,910,estimates,1951
6_12,17.762,910,estimates,1951
7_10,10.266,910,estimates,1951
7_12,14.912,910,estimates,1951
11_16,13.276,910,estimates,1951
11_17,15.316,910,estimates,1951
11_18,17.311,910,estimates,1951
12_14,6.711,910,estimates,1951
12_16,10.922,910,estimates,1951
12_17,12.963,910,estimates,1951
12_18,14.957,910,estimates,1951
13_17,10.67,910,estimates,1951
13_18,12.665,910,estimates,1951
13_19,14.603,910,estimates,1951
15_17,6.252,910,estimates,1951
18_23,11.09,910,estimates,1951
15_24,18.989,910,estimates,1951
15_49,46.413,910,estimates,1951
15_59,51.86,910,estimates,1951
15_64,53.756,910,estimates,1951
20_64,43.571,910,estimates,1951
20_69,44.955,910,estimates,1951
25_49,27.424,910,estimates,1951
25_64,34.767,910,estimates,1951
25_69,36.15,910,estimates,1951
15plus,56.75,910,estimates,1951
16plus,54.621,910,estimates,1951
17plus,52.539,910,estimates,1951
18plus,50.498,910,estimates,1951
