agebroad,percentagetotalpopulation,region,variant,year
0_1,5.278,923,estimates,1950
0_4,10.163,923,estimates,1950
0_14,28.556,923,estimates,1950
0_17,34.145,923,estimates,1950
0_19,37.917,923,estimates,1950
0_24,48.587,923,estimates,1950
3_4,2.995,923,estimates,1950
3_5,4.33,923,estimates,1950
3_6,5.679,923,estimates,1950
4_5,2.743,923,estimates,1950
4_6,4.092,923,estimates,1950
5_14,18.394,923,estimates,1950
5_10,9.356,923,estimates,1950
5_11,11.567,923,estimates,1950
6_9,6.079,923,estimates,1950
6_10,8.021,923,estimates,1950
6_11,10.232,923,estimates,1950
6_12,12.595,923,estimates,1950
7_10,6.672,923,estimates,1950
7_12,11.246,923,estimates,1950
11_16,12.874,923,estimates,1950
11_17,14.627,923,estimates,1950
11_18,16.44,923,estimates,1950
12_14,6.826,923,estimates,1950
12_16,10.663,923,estimates,1950
12_17,12.415,923,estimates,1950
12_18,14.228,923,estimates,1950
13_17,10.052,923,estimates,1950
13_18,11.865,923,estimates,1950
13_19,13.824,923,estimates,1950
15_17,5.589,923,estimates,1950
18_23,12.434,923,estimates,1950
15_24,20.03,923,estimates,1950
15_49,53.918,923,estimates,1950
15_59,62.343,923,estimates,1950
15_64,65.507,923,estimates,1950
20_64,56.147,923,estimates,1950
20_69,58.614,923,estimates,1950
25_49,33.888,923,estimates,1950
25_64,45.477,923,estimates,1950
25_69,47.943,923,estimates,1950
15plus,71.444,923,estimates,1950
16plus,69.443,923,estimates,1950
17plus,67.607,923,estimates,1950
18plus,65.855,923,estimates,1950
20plus,62.083,923,estimates,1950
21plus,60.009,923,estimates,1950
25plus,51.413,923,estimates,1950
50plus,17.525,923,estimates,1950
60plus,9.101,923,estimates,1950
65plus,5.936,923,estimates,1950
70plus,3.47,923,estimates,1950
75plus,1.793,923,estimates,1950
80plus,0.751,923,estimates,1950
85plus,0.275,923,estimates,1950
90plus,0.08,923,estimates,1950
total,100,923,estimates,1950
0_1,5.452,923,estimates,1951
0_4,11.181,923,estimates,1951
0_14,28.556,923,estimates,1951
0_17,34.418,923,estimates,1951
0_19,37.908,923,estimates,1951
0_24,48.297,923,estimates,1951
3_4,3.479,923,estimates,1951
3_5,4.917,923,estimates,1951
3_6,6.27,923,estimates,1951
4_5,3.045,923,estimates,1951
4_6,4.397,923,estimates,1951
5_14,17.375,923,estimates,1951
5_10,8.71,923,estimates,1951
5_11,10.617,923,estimates,1951
6_9,5.578,923,estimates,1951
6_10,7.272,923,estimates,1951
6_11,9.178,923,estimates,1951
6_12,11.347,923,estimates,1951
7_10,5.92,923,estimates,1951
7_12,9.995,923,estimates,1951
11_16,12.73,923,estimates,1951
11_17,14.527,923,estimates,1951
11_18,16.243,923,estimates,1951
12_14,6.759,923,estimates,1951
