variant,global,year,dependencyratio2069
estimates,900,1950,87.647
estimates,900,1951,88.67
estimates,900,1952,89.637
estimates,900,1953,90.438
estimates,900,1954,90.978
estimates,900,1955,91.274
estimates,900,1956,92.275
estimates,900,1957,92.857
estimates,900,1958,93.274
estimates,900,1959,93.773
estimates,900,1960,94.453
estimates,900,1961,95.447
estimates,900,1962,96.72
estimates,900,1963,98.07
estimates,900,1964,99.213
estimates,900,1965,100.018
estimates,900,1966,101.257
estimates,900,1967,102.101
estimates,900,1968,102.593
estimates,900,1969,102.797
estimates,900,1970,102.728
estimates,900,1971,102.724
estimates,900,1972,102.335
estimates,900,1973,101.684
estimates,900,1974,100.894
estimates,900,1975,100.038
estimates,900,1976,99.526
estimates,900,1977,98.881
estimates,900,1978,98.111
estimates,900,1979,97.232
estimates,900,1980,96.267
estimates,900,1981,95.438
estimates,900,1982,94.615
estimates,900,1983,93.737
estimates,900,1984,92.729
estimates,900,1985,91.581
estimates,900,1986,90.81
estimates,900,1987,89.872
estimates,900,1988,88.835
estimates,900,1989,87.746
estimates,900,1990,86.617
estimates,900,1991,85.864
estimates,900,1992,84.887
estimates,900,1993,83.812
estimates,900,1994,82.782
estimates,900,1995,81.854
estimates,900,1996,80.961
estimates,900,1997,80.229
estimates,900,1998,79.549
estimates,900,1999,78.778
estimates,900,2000,77.865
estimates,900,2001,77.135
estimates,900,2002,76.315
estimates,900,2003,75.401
estimates,900,2004,74.4
estimates,900,2005,73.314
estimates,900,2006,72.357
estimates,900,2007,71.281
estimates,900,2008,70.17
estimates,900,2009,69.114
estimates,900,2010,68.164
estimates,900,2011,67.414
estimates,900,2012,66.729
estimates,900,2013,66.123
estimates,900,2014,65.594
estimates,900,2015,65.14
medium_variant,900,2015,65.14
medium_variant,900,2016,64.901
medium_variant,900,2017,64.705
medium_variant,900,2018,64.55
medium_variant,900,2019,64.438
medium_variant,900,2020,64.359
medium_variant,900,2021,64.402
medium_variant,900,2022,64.465
medium_variant,900,2023,64.521
medium_variant,900,2024,64.538
medium_variant,900,2025,64.5
medium_variant,900,2026,64.516
medium_variant,900,2027,64.481
medium_variant,900,2028,64.406
medium_variant,900,2029,64.312
medium_variant,900,2030,64.211
medium_variant,900,2031,64.209
medium_variant,900,2032,64.181
medium_variant,900,2033,64.141
medium_variant,900,2034,64.104
medium_variant,900,2035,64.082
medium_variant,900,2036,64.162
medium_variant,900,2037,64.238
medium_variant,900,2038,64.315
medium_variant,900,2039,64.398
medium_variant,900,2040,64.487
medium_variant,900,2041,64.654
medium_variant,900,2042,64.816
medium_variant,900,2043,64.968
medium_variant,900,2044,65.093
medium_variant,900,2045,65.181
medium_variant,900,2046,65.305
medium_variant,900,2047,65.387
medium_variant,900,2048,65.447
medium_variant,900,2049,65.507
medium_variant,900,2050,65.585
medium_variant,900,2051,65.74
medium_variant,900,2052,65.892
medium_variant,900,2053,66.053
medium_variant,900,2054,66.237
medium_variant,900,2055,66.45
medium_variant,900,2056,66.741
medium_variant,900,2057,67.05
medium_variant,900,2058,67.355
medium_variant,900,2059,67.623
medium_variant,900,2060,67.833
medium_variant,900,2061,68.038
medium_variant,900,2062,68.188
medium_variant,900,2063,68.287
medium_variant,900,2064,68.337
medium_variant,900,2065,68.341
medium_variant,900,2066,68.344
medium_variant,900,2067,68.298
medium_variant,900,2068,68.22
medium_variant,900,2069,68.131
medium_variant,900,2070,68.047
medium_variant,900,2071,67.999
medium_variant,900,2072,67.948
medium_variant,900,2073,67.906
medium_variant,900,2074,67.881
medium_variant,900,2075,67.874
medium_variant,900,2076,67.9
medium_variant,900,2077,67.938
medium_variant,900,2078,67.996
medium_variant,900,2079,68.074
medium_variant,900,2080,68.167
medium_variant,900,2081,68.288
medium_variant,900,2082,68.43
medium_variant,900,2083,68.58
medium_variant,900,2084,68.726
medium_variant,900,2085,68.864
medium_variant,900,2086,69.011
