country,variant,freq,year,totalfertility
604,estimates,5yearly,1950,6.95
604,estimates,5yearly,1955,6.95
604,estimates,5yearly,1960,6.95
604,estimates,5yearly,1965,6.7
604,estimates,5yearly,1970,6.0
604,estimates,5yearly,1975,5.4
604,estimates,5yearly,1980,4.65
604,estimates,5yearly,1985,4.1
604,estimates,5yearly,1990,3.57
604,estimates,5yearly,1995,3.1
604,estimates,5yearly,2000,2.8
604,estimates,5yearly,2005,2.5995
604,estimates,5yearly,2010,2.5
604,constant_fertility,5yearly,2015,2.5
604,constant_mortality,5yearly,2015,2.3536
604,high_variant,5yearly,2015,2.6036
604,instant_replacement,5yearly,2015,2.124385
604,low_variant,5yearly,2015,2.1036
604,medium_variant,5yearly,2015,2.3536
604,momentum,5yearly,2015,2.136505
604,no_change,5yearly,2015,2.5
604,zero_migration,5yearly,2015,2.3536
604,constant_fertility,5yearly,2020,2.5
604,constant_mortality,5yearly,2020,2.2262
604,high_variant,5yearly,2020,2.6262
604,instant_replacement,5yearly,2020,2.113625
604,low_variant,5yearly,2020,1.8262
604,medium_variant,5yearly,2020,2.2262
604,momentum,5yearly,2020,2.13664
604,no_change,5yearly,2020,2.5
604,zero_migration,5yearly,2020,2.2262
604,constant_fertility,5yearly,2025,2.5
604,constant_mortality,5yearly,2025,2.1155
604,high_variant,5yearly,2025,2.6155
604,instant_replacement,5yearly,2025,2.106005
604,low_variant,5yearly,2025,1.6155
604,medium_variant,5yearly,2025,2.1155
604,momentum,5yearly,2025,2.13679
604,no_change,5yearly,2025,2.5
604,zero_migration,5yearly,2025,2.1155
604,constant_fertility,5yearly,2030,2.5
604,constant_mortality,5yearly,2030,2.0214
604,high_variant,5yearly,2030,2.5214
604,instant_replacement,5yearly,2030,2.099725
604,low_variant,5yearly,2030,1.5214
604,medium_variant,5yearly,2030,2.0214
604,momentum,5yearly,2030,2.13696
604,no_change,5yearly,2030,2.5
604,zero_migration,5yearly,2030,2.0214
604,constant_fertility,5yearly,2035,2.5
604,constant_mortality,5yearly,2035,1.9442
604,high_variant,5yearly,2035,2.4442
604,instant_replacement,5yearly,2035,2.094285
604,low_variant,5yearly,2035,1.4442
604,medium_variant,5yearly,2035,1.9442
604,momentum,5yearly,2035,2.137135
604,no_change,5yearly,2035,2.5
604,zero_migration,5yearly,2035,1.9442
604,constant_fertility,5yearly,2040,2.5
604,constant_mortality,5yearly,2040,1.8842
604,high_variant,5yearly,2040,2.3842
604,instant_replacement,5yearly,2040,2.089745
604,low_variant,5yearly,2040,1.3842
604,medium_variant,5yearly,2040,1.8842
604,momentum,5yearly,2040,2.137325
604,no_change,5yearly,2040,2.5
604,zero_migration,5yearly,2040,1.8842
604,constant_fertility,5yearly,2045,2.5
604,constant_mortality,5yearly,2045,1.837
604,high_variant,5yearly,2045,2.337
604,instant_replacement,5yearly,2045,2.085715
604,low_variant,5yearly,2045,1.337
604,medium_variant,5yearly,2045,1.837
604,momentum,5yearly,2045,2.13749
604,no_change,5yearly,2045,2.5
604,zero_migration,5yearly,2045,1.837
604,constant_fertility,5yearly,2050,2.5
604,constant_mortality,5yearly,2050,1.8026
604,high_variant,5yearly,2050,2.3026
604,instant_replacement,5yearly,2050,2.082195
604,low_variant,5yearly,2050,1.3026
604,medium_variant,5yearly,2050,1.8026
604,momentum,5yearly,2050,2.13766
604,no_change,5yearly,2050,2.5
604,zero_migration,5yearly,2050,1.8026
604,constant_fertility,5yearly,2055,2.5
604,constant_mortality,5yearly,2055,1.7813
604,high_variant,5yearly,2055,2.2813
604,instant_replacement,5yearly,2055,2.07902
604,low_variant,5yearly,2055,1.2813
604,medium_variant,5yearly,2055,1.7813
604,momentum,5yearly,2055,2.13781
604,no_change,5yearly,2055,2.5
604,zero_migration,5yearly,2055,1.7813
604,constant_fertility,5yearly,2060,2.5
604,constant_mortality,5yearly,2060,1.7691
604,high_variant,5yearly,2060,2.2691
604,instant_replacement,5yearly,2060,2.076455
604,low_variant,5yearly,2060,1.2691
604,medium_variant,5yearly,2060,1.7691
604,momentum,5yearly,2060,2.13796
604,no_change,5yearly,2060,2.5
604,zero_migration,5yearly,2060,1.7691
604,constant_fertility,5yearly,2065,2.5
604,constant_mortality,5yearly,2065,1.762
604,high_variant,5yearly,2065,2.262
604,instant_replacement,5yearly,2065,2.074145
604,low_variant,5yearly,2065,1.262
604,medium_variant,5yearly,2065,1.762
604,momentum,5yearly,2065,2.1381
604,no_change,5yearly,2065,2.5
604,zero_migration,5yearly,2065,1.762
604,constant_fertility,5yearly,2070,2.5
604,constant_mortality,5yearly,2070,1.7585
604,high_variant,5yearly,2070,2.2585
604,instant_replacement,5yearly,2070,2.07197
604,low_variant,5yearly,2070,1.2585
604,medium_variant,5yearly,2070,1.7585
604,momentum,5yearly,2070,2.138215
604,no_change,5yearly,2070,2.5
604,zero_migration,5yearly,2070,1.7585
604,constant_fertility,5yearly,2075,2.5
604,constant_mortality,5yearly,2075,1.7587
604,high_variant,5yearly,2075,2.2587
604,instant_replacement,5yearly,2075,2.07007
604,low_variant,5yearly,2075,1.2587
604,medium_variant,5yearly,2075,1.7587
604,momentum,5yearly,2075,2.13834
604,no_change,5yearly,2075,2.5
604,zero_migration,5yearly,2075,1.7587
604,constant_fertility,5yearly,2080,2.5
604,constant_mortality,5yearly,2080,1.7613
