continent,variant,freq,year,noofbirth
905,estimates,5yearly,1950,21944.553
905,estimates,5yearly,1955,23659.528
905,estimates,5yearly,1960,22656.08
905,estimates,5yearly,1965,19958.835
905,estimates,5yearly,1970,18510.262
905,estimates,5yearly,1975,18363.759
905,estimates,5yearly,1980,19891.025
905,estimates,5yearly,1985,21208.381
905,estimates,5yearly,1990,21987.615
905,estimates,5yearly,1995,21302.957
905,estimates,5yearly,2000,21912.804
905,estimates,5yearly,2005,22638.135
905,estimates,5yearly,2010,21625.465
905,constant_fertility,5yearly,2015,22493.683
905,constant_mortality,5yearly,2015,22548.913
905,high_variant,5yearly,2015,25592.092
905,instant_replacement,5yearly,2015,25245.746
905,low_variant,5yearly,2015,19508.64
905,medium_variant,5yearly,2015,22550.363
905,momentum,5yearly,2015,24851.446
905,no_change,5yearly,2015,22492.26
905,zero_migration,5yearly,2015,22176.712
905,constant_fertility,5yearly,2020,23031.67
905,constant_mortality,5yearly,2020,23376.999
905,high_variant,5yearly,2020,28412.489
905,instant_replacement,5yearly,2020,26075.401
905,low_variant,5yearly,2020,18352.941
905,medium_variant,5yearly,2020,23382.715
905,momentum,5yearly,2020,24812.896
905,no_change,5yearly,2020,23026.198
905,zero_migration,5yearly,2020,22216.608
905,constant_fertility,5yearly,2025,23211.693
905,constant_mortality,5yearly,2025,23706.234
905,high_variant,5yearly,2025,30071.001
905,instant_replacement,5yearly,2025,26319.183
905,low_variant,5yearly,2025,17366.38
905,medium_variant,5yearly,2025,23718.694
905,momentum,5yearly,2025,24137.211
905,no_change,5yearly,2025,23199.938
905,zero_migration,5yearly,2025,21712.868
905,constant_fertility,5yearly,2030,23187.283
905,constant_mortality,5yearly,2030,23758.867
905,high_variant,5yearly,2030,30162.583
905,instant_replacement,5yearly,2030,26301.195
905,low_variant,5yearly,2030,17412.674
905,medium_variant,5yearly,2030,23780.067
905,momentum,5yearly,2030,23357.753
905,no_change,5yearly,2030,23167.143
905,zero_migration,5yearly,2030,21077.63
905,constant_fertility,5yearly,2035,23209.497
905,constant_mortality,5yearly,2035,23802.231
905,high_variant,5yearly,2035,30484.989
905,instant_replacement,5yearly,2035,26457.88
905,low_variant,5yearly,2035,17312.272
905,medium_variant,5yearly,2035,23834.451
905,momentum,5yearly,2035,22976.653
905,no_change,5yearly,2035,23177.876
905,zero_migration,5yearly,2035,20638.129
905,constant_fertility,5yearly,2040,23381.103
905,constant_mortality,5yearly,2040,23969.584
905,high_variant,5yearly,2040,31621.273
905,instant_replacement,5yearly,2040,27123.16
905,low_variant,5yearly,2040,16927.348
905,medium_variant,5yearly,2040,24016.988
905,momentum,5yearly,2040,23164.09
905,no_change,5yearly,2040,23333.572
905,zero_migration,5yearly,2040,20384.708
905,constant_fertility,5yearly,2045,23665.743
905,constant_mortality,5yearly,2045,24342.61
905,high_variant,5yearly,2045,33867.894
905,instant_replacement,5yearly,2045,28365.482
905,low_variant,5yearly,2045,16204.723
905,medium_variant,5yearly,2045,24411.2
905,momentum,5yearly,2045,23791.843
905,no_change,5yearly,2045,23597.64
905,zero_migration,5yearly,2045,20237.468
905,constant_fertility,5yearly,2050,23955.872
905,constant_mortality,5yearly,2050,24872.366
905,high_variant,5yearly,2050,36573.526
905,instant_replacement,5yearly,2050,29580.85
905,low_variant,5yearly,2050,15454.479
905,medium_variant,5yearly,2050,24967.418
905,momentum,5yearly,2050,24250.021
905,no_change,5yearly,2050,23863.732
905,zero_migration,5yearly,2050,20140.339
905,constant_fertility,5yearly,2055,24115.149
905,constant_mortality,5yearly,2055,25244.355
905,high_variant,5yearly,2055,38572.041
905,instant_replacement,5yearly,2055,30195.313
905,low_variant,5yearly,2055,14892.845
905,medium_variant,5yearly,2055,25367.858
905,momentum,5yearly,2055,24105.013
905,no_change,5yearly,2055,23997.482
905,zero_migration,5yearly,2055,19901.31
905,constant_fertility,5yearly,2060,24141.987
905,constant_mortality,5yearly,2060,25372.616
905,high_variant,5yearly,2060,39631.392
905,instant_replacement,5yearly,2060,30374.164
905,low_variant,5yearly,2060,14550.616
905,medium_variant,5yearly,2060,25524.485
905,momentum,5yearly,2060,23647.294
905,no_change,5yearly,2060,23998.187
905,zero_migration,5yearly,2060,19528.84
905,constant_fertility,5yearly,2065,24130.75
905,constant_mortality,5yearly,2065,25389.802
905,high_variant,5yearly,2065,40408.638
905,instant_replacement,5yearly,2065,30543.529
905,low_variant,5yearly,2065,14290.879
905,medium_variant,5yearly,2065,25570.641
905,momentum,5yearly,2065,23332.131
905,no_change,5yearly,2065,23959.448
905,zero_migration,5yearly,2065,19174.956
905,constant_fertility,5yearly,2070,24149.668
905,constant_mortality,5yearly,2070,25425.955
905,high_variant,5yearly,2070,41633.649
905,instant_replacement,5yearly,2070,30979.73
905,low_variant,5yearly,2070,13934.901
905,medium_variant,5yearly,2070,25638.177
905,momentum,5yearly,2070,23363.402
905,no_change,5yearly,2070,23948.535
905,zero_migration,5yearly,2070,18916.284
905,constant_fertility,5yearly,2075,24193.485
905,constant_mortality,5yearly,2075,25571.047
905,high_variant,5yearly,2075,43584.009
905,instant_replacement,5yearly,2075,31691.22
905,low_variant,5yearly,2075,13460.031
905,medium_variant,5yearly,2075,25818.69
905,momentum,5yearly,2075,23650.648
905,no_change,5yearly,2075,23960.177
905,zero_migration,5yearly,2075,18761.714
905,constant_fertility,5yearly,2080,24213.969
905,constant_mortality,5yearly,2080,25740.872
905,high_variant,5yearly,2080,45843.575
905,instant_replacement,5yearly,2080,32432.795
905,low_variant,5yearly,2080,12910.502
905,medium_variant,5yearly,2080,26027.274
905,momentum,5yearly,2080,23916.965
905,no_change,5yearly,2080,23946.868
905,zero_migration,5yearly,2080,18610.783
905,constant_fertility,5yearly,2085,24172.807
905,constant_mortality,5yearly,2085,25860.281
905,high_variant,5yearly,2085,47853.687
905,instant_replacement,5yearly,2085,32938.285
905,low_variant,5yearly,2085,12403.798
905,medium_variant,5yearly,2085,26187.164
