variant,continent,year,gender,potentialsupport2069_65
estimates,908,1950,male,14.132
estimates,908,1951,male,13.906
estimates,908,1952,male,13.764
estimates,908,1953,male,13.693
estimates,908,1954,male,13.694
estimates,908,1955,male,13.767
estimates,908,1956,male,13.605
estimates,908,1957,male,13.525
estimates,908,1958,male,13.511
estimates,908,1959,male,13.547
estimates,908,1960,male,13.623
estimates,908,1961,male,13.446
estimates,908,1962,male,13.318
estimates,908,1963,male,13.232
estimates,908,1964,male,13.185
estimates,908,1965,male,13.178
estimates,908,1966,male,12.954
estimates,908,1967,male,12.803
estimates,908,1968,male,12.706
estimates,908,1969,male,12.632
estimates,908,1970,male,12.562
estimates,908,1971,male,12.251
estimates,908,1972,male,11.994
estimates,908,1973,male,11.786
estimates,908,1974,male,11.627
estimates,908,1975,male,11.513
estimates,908,1976,male,11.2
estimates,908,1977,male,10.968
estimates,908,1978,male,10.801
estimates,908,1979,male,10.681
estimates,908,1980,male,10.598
estimates,908,1981,male,10.36
estimates,908,1982,male,10.163
estimates,908,1983,male,10.043
estimates,908,1984,male,10.052
estimates,908,1985,male,10.214
estimates,908,1986,male,10.296
estimates,908,1987,male,10.511
estimates,908,1988,male,10.793
estimates,908,1989,male,11.044
estimates,908,1990,male,11.205
estimates,908,1991,male,11.064
estimates,908,1992,male,10.882
estimates,908,1993,male,10.677
estimates,908,1994,male,10.465
estimates,908,1995,male,10.257
estimates,908,1996,male,9.88
estimates,908,1997,male,9.532
estimates,908,1998,male,9.235
estimates,908,1999,male,9.009
estimates,908,2000,male,8.855
estimates,908,2001,male,8.628
estimates,908,2002,male,8.47
estimates,908,2003,male,8.352
estimates,908,2004,male,8.241
estimates,908,2005,male,8.125
estimates,908,2006,male,7.883
estimates,908,2007,male,7.651
estimates,908,2008,male,7.451
estimates,908,2009,male,7.306
estimates,908,2010,male,7.218
estimates,908,2011,male,7.103
estimates,908,2012,male,7.033
estimates,908,2013,male,6.98
estimates,908,2014,male,6.913
estimates,908,2015,male,6.82
medium_variant,908,2015,male,6.82
medium_variant,908,2016,male,6.659
medium_variant,908,2017,male,6.489
medium_variant,908,2018,male,6.318
medium_variant,908,2019,male,6.154
medium_variant,908,2020,male,6
medium_variant,908,2021,male,5.813
medium_variant,908,2022,male,5.643
medium_variant,908,2023,male,5.488
medium_variant,908,2024,male,5.343
medium_variant,908,2025,male,5.206
medium_variant,908,2026,male,5.052
medium_variant,908,2027,male,4.913
medium_variant,908,2028,male,4.785
medium_variant,908,2029,male,4.664
medium_variant,908,2030,male,4.549
medium_variant,908,2031,male,4.422
medium_variant,908,2032,male,4.304
medium_variant,908,2033,male,4.197
medium_variant,908,2034,male,4.102
medium_variant,908,2035,male,4.018
medium_variant,908,2036,male,3.933
medium_variant,908,2037,male,3.86
medium_variant,908,2038,male,3.795
medium_variant,908,2039,male,3.734
medium_variant,908,2040,male,3.677
medium_variant,908,2041,male,3.613
medium_variant,908,2042,male,3.556
medium_variant,908,2043,male,3.505
medium_variant,908,2044,male,3.458
medium_variant,908,2045,male,3.415
medium_variant,908,2046,male,3.367
medium_variant,908,2047,male,3.324
medium_variant,908,2048,male,3.285
medium_variant,908,2049,male,3.248
medium_variant,908,2050,male,3.21
medium_variant,908,2051,male,3.169
medium_variant,908,2052,male,3.131
medium_variant,908,2053,male,3.096
medium_variant,908,2054,male,3.061
medium_variant,908,2055,male,3.025
medium_variant,908,2056,male,2.987
medium_variant,908,2057,male,2.951
medium_variant,908,2058,male,2.919
medium_variant,908,2059,male,2.892
medium_variant,908,2060,male,2.87
medium_variant,908,2061,male,2.853
medium_variant,908,2062,male,2.842
medium_variant,908,2063,male,2.837
medium_variant,908,2064,male,2.837
medium_variant,908,2065,male,2.839
medium_variant,908,2066,male,2.844
medium_variant,908,2067,male,2.856
medium_variant,908,2068,male,2.87
medium_variant,908,2069,male,2.883
medium_variant,908,2070,male,2.893
medium_variant,908,2071,male,2.903
medium_variant,908,2072,male,2.912
medium_variant,908,2073,male,2.92
medium_variant,908,2074,male,2.922
medium_variant,908,2075,male,2.917
medium_variant,908,2076,male,2.91
medium_variant,908,2077,male,2.899
medium_variant,908,2078,male,2.884
medium_variant,908,2079,male,2.866
medium_variant,908,2080,male,2.843
medium_variant,908,2081,male,2.822
medium_variant,908,2082,male,2.801
medium_variant,908,2083,male,2.779
medium_variant,908,2084,male,2.755
medium_variant,908,2085,male,2.727
medium_variant,908,2086,male,2.707
medium_variant,908,2087,male,2.687
medium_variant,908,2088,male,2.668
medium_variant,908,2089,male,2.646
medium_variant,908,2090,male,2.622
medium_variant,908,2091,male,2.607
medium_variant,908,2092,male,2.594
medium_variant,908,2093,male,2.579
medium_variant,908,2094,male,2.564
medium_variant,908,2095,male,2.545
medium_variant,908,2096,male,2.539
medium_variant,908,2097,male,2.533
medium_variant,908,2098,male,2.526
medium_variant,908,2099,male,2.517
medium_variant,908,2100,male,2.505
estimates,908,1950,female,11.432
estimates,908,1951,female,11.184
estimates,908,1952,female,10.97
estimates,908,1953,female,10.782
estimates,908,1954,female,10.617
estimates,908,1955,female,10.476
estimates,908,1956,female,10.254
