variant,continent,year,populationchange
estimates,903,1950,4561.311
estimates,903,1951,4720.634
estimates,903,1952,4949.45
estimates,903,1953,5178.262
estimates,903,1954,5407.687
estimates,903,1955,5638.411
estimates,903,1956,5871.181
estimates,903,1957,6106.575
estimates,903,1958,6345.162
estimates,903,1959,6587.389
estimates,903,1960,6833.274
estimates,903,1961,7082.611
estimates,903,1962,7335.013
estimates,903,1963,7590.075
estimates,903,1964,7848.25
estimates,903,1965,8113.448
estimates,903,1966,8387.536
estimates,903,1967,8663.691
estimates,903,1968,8934.975
estimates,903,1969,9203.554
estimates,903,1970,9472.783
estimates,903,1971,9752.058
estimates,903,1972,10064.475
estimates,903,1973,10429.822
estimates,903,1974,10847.627
estimates,903,1975,11296.222
estimates,903,1976,11751.055
estimates,903,1977,12203.063
estimates,903,1978,12649.725
estimates,903,1979,13086.964
estimates,903,1980,13518.493
estimates,903,1981,13947.502
estimates,903,1982,14367.447
estimates,903,1983,14770.317
estimates,903,1984,15154.206
estimates,903,1985,15524.909
estimates,903,1986,15885.555
estimates,903,1987,16224.86
estimates,903,1988,16530.997
estimates,903,1989,16804.96
estimates,903,1990,17065.335
estimates,903,1991,17326.937
estimates,903,1992,17576.836
estimates,903,1993,17799.872
estimates,903,1994,18002.758
estimates,903,1995,18200.06
estimates,903,1996,18415.383
estimates,903,1997,18685.383
estimates,903,1998,19040.57
estimates,903,1999,19485.368
estimates,903,2000,19990.736
estimates,903,2001,20526.488
estimates,903,2002,21095.921
estimates,903,2003,21710.722
estimates,903,2004,22367.941
estimates,903,2005,23051.277
estimates,903,2006,23751.535
estimates,903,2007,24491.353
estimates,903,2008,25293.084
estimates,903,2009,26147.389
estimates,903,2010,27034.028
estimates,903,2011,27916.208
estimates,903,2012,28729.668
estimates,903,2013,29420.723
estimates,903,2014,29985.07
estimates,903,2015,30474.839
medium_variant,903,2015,30474.839
medium_variant,903,2016,30948.515
medium_variant,903,2017,31419.553
medium_variant,903,2018,31884.906
medium_variant,903,2019,32350.414
medium_variant,903,2020,32807.64
medium_variant,903,2021,33249.885
medium_variant,903,2022,33689.566
medium_variant,903,2023,34141.521
medium_variant,903,2024,34607.507
medium_variant,903,2025,35077.852
medium_variant,903,2026,35543.755
medium_variant,903,2027,36011.338
medium_variant,903,2028,36488.983
medium_variant,903,2029,36975.32
medium_variant,903,2030,37462.892
medium_variant,903,2031,37943.53
medium_variant,903,2032,38413.764
medium_variant,903,2033,38871.991
medium_variant,903,2034,39315.878
medium_variant,903,2035,39745.884
medium_variant,903,2036,40161.564
medium_variant,903,2037,40556.636
medium_variant,903,2038,40924.52
medium_variant,903,2039,41264.118
medium_variant,903,2040,41579.967
medium_variant,903,2041,41876.101
medium_variant,903,2042,42149.554
medium_variant,903,2043,42395.975
medium_variant,903,2044,42615.707
medium_variant,903,2045,42811.369
medium_variant,903,2046,42986.146
medium_variant,903,2047,43142.64
medium_variant,903,2048,43282.445
medium_variant,903,2049,43406.064
medium_variant,903,2050,43512.66
medium_variant,903,2051,43600.677
medium_variant,903,2052,43668.273
medium_variant,903,2053,43714.181
medium_variant,903,2054,43739.018
medium_variant,903,2055,43744.202
medium_variant,903,2056,43732.455
medium_variant,903,2057,43708.711
medium_variant,903,2058,43676.885
medium_variant,903,2059,43637.16
medium_variant,903,2060,43585.125
medium_variant,903,2061,43515.901
medium_variant,903,2062,43428.723
medium_variant,903,2063,43324.074
medium_variant,903,2064,43201.16
medium_variant,903,2065,43060.524
medium_variant,903,2066,42901.998
medium_variant,903,2067,42722.748
medium_variant,903,2068,42519.905
medium_variant,903,2069,42293.249
medium_variant,903,2070,42045.544
medium_variant,903,2071,41779.381
medium_variant,903,2072,41494.342
medium_variant,903,2073,41189.236
medium_variant,903,2074,40864.56
medium_variant,903,2075,40521.455
medium_variant,903,2076,40161.14
medium_variant,903,2077,39784.939
medium_variant,903,2078,39393.847
medium_variant,903,2079,38988.393
medium_variant,903,2080,38568.294
medium_variant,903,2081,38133.242
medium_variant,903,2082,37683.93
medium_variant,903,2083,37221.165
medium_variant,903,2084,36745.206
medium_variant,903,2085,36256.538
medium_variant,903,2086,35755.305
medium_variant,903,2087,35241.006
medium_variant,903,2088,34713.415
medium_variant,903,2089,34172.941
medium_variant,903,2090,33620.778
medium_variant,903,2091,33058.147
medium_variant,903,2092,32486.136
medium_variant,903,2093,31905.562
medium_variant,903,2094,31316.753
medium_variant,903,2095,30719.968
medium_variant,903,2096,30115.364
medium_variant,903,2097,29503.037
medium_variant,903,2098,28883.079
medium_variant,903,2099,28255.558
