variant,continent,year,populationchange
estimates,908,1950,5068.475
estimates,908,1951,5275.663
estimates,908,1952,5564.223
estimates,908,1953,5711.132
estimates,908,1954,5757.106
estimates,908,1955,5743.976
estimates,908,1956,5713.576
estimates,908,1957,5703.493
estimates,908,1958,5742.89
estimates,908,1959,5839.947
estimates,908,1960,5970.083
estimates,908,1961,6077.053
estimates,908,1962,6083.527
estimates,908,1963,5923.558
estimates,908,1964,5601.787
estimates,908,1965,5181.092
estimates,908,1966,4750.697
estimates,908,1967,4400.152
estimates,908,1968,4192.447
estimates,908,1969,4132.559
estimates,908,1970,4153.03
estimates,908,1971,4171.031
estimates,908,1972,4144.074
estimates,908,1973,4054.126
estimates,908,1974,3897.391
estimates,908,1975,3710.554
estimates,908,1976,3534.394
estimates,908,1977,3377.5
estimates,908,1978,3237.09
estimates,908,1979,3116.233
estimates,908,1980,2997.093
estimates,908,1981,2871.343
estimates,908,1982,2774.446
estimates,908,1983,2742.18
estimates,908,1984,2768.539
estimates,908,1985,2828.392
estimates,908,1986,2879.167
estimates,908,1987,2857.819
estimates,908,1988,2714.141
estimates,908,1989,2446.315
estimates,908,1990,2120.574
estimates,908,1991,1800.946
estimates,908,1992,1475.371
estimates,908,1993,1117.06
estimates,908,1994,740.334
estimates,908,1995,349.342
estimates,908,1996,-26.792
estimates,908,1997,-291.243
estimates,908,1998,-357.136
estimates,908,1999,-224.544
estimates,908,2000,18.993
estimates,908,2001,276.643
estimates,908,2002,520.912
estimates,908,2003,749.062
estimates,908,2004,946.466
estimates,908,2005,1139.123
estimates,908,2006,1336.95
estimates,908,2007,1471.752
estimates,908,2008,1473.747
estimates,908,2009,1344.63
estimates,908,2010,1133.406
estimates,908,2011,906.547
estimates,908,2012,721.727
estimates,908,2013,617.106
estimates,908,2014,596.386
estimates,908,2015,618.208
medium_variant,908,2015,618.208
medium_variant,908,2016,629.948
medium_variant,908,2017,600.437
medium_variant,908,2018,514.394
medium_variant,908,2019,371.038
medium_variant,908,2020,196.774
medium_variant,908,2021,24.014
medium_variant,908,2022,-129.046
medium_variant,908,2023,-253.491
medium_variant,908,2024,-347.06
medium_variant,908,2025,-423.337
medium_variant,908,2026,-498.079
medium_variant,908,2027,-575.718
medium_variant,908,2028,-655.905
medium_variant,908,2029,-738.736
medium_variant,908,2030,-820.717
medium_variant,908,2031,-896.764
medium_variant,908,2032,-962.565
medium_variant,908,2033,-1015.383
medium_variant,908,2034,-1055.162
medium_variant,908,2035,-1086.681
medium_variant,908,2036,-1114.745
medium_variant,908,2037,-1139.595
medium_variant,908,2038,-1160.272
medium_variant,908,2039,-1177.764
medium_variant,908,2040,-1192.835
medium_variant,908,2041,-1206.784
medium_variant,908,2042,-1222.593
medium_variant,908,2043,-1242.961
medium_variant,908,2044,-1268.581
medium_variant,908,2045,-1296.83
medium_variant,908,2046,-1325.797
medium_variant,908,2047,-1358.603
medium_variant,908,2048,-1398.795
medium_variant,908,2049,-1446.075
medium_variant,908,2050,-1496.795
medium_variant,908,2051,-1547.139
medium_variant,908,2052,-1596.207
medium_variant,908,2053,-1643.939
medium_variant,908,2054,-1689.31
medium_variant,908,2055,-1732.059
medium_variant,908,2056,-1771.548
medium_variant,908,2057,-1805.199
medium_variant,908,2058,-1830.458
medium_variant,908,2059,-1846.73
medium_variant,908,2060,-1856.1
medium_variant,908,2061,-1860.071
medium_variant,908,2062,-1856.188
medium_variant,908,2063,-1841.728
medium_variant,908,2064,-1816.9
medium_variant,908,2065,-1784.297
medium_variant,908,2066,-1746.67
medium_variant,908,2067,-1704.541
medium_variant,908,2068,-1657.785
medium_variant,908,2069,-1607.07
medium_variant,908,2070,-1552.998
medium_variant,908,2071,-1496.268
medium_variant,908,2072,-1437.917
medium_variant,908,2073,-1379.012
medium_variant,908,2074,-1320.168
medium_variant,908,2075,-1261.353
medium_variant,908,2076,-1202.695
medium_variant,908,2077,-1145.278
medium_variant,908,2078,-1090.166
medium_variant,908,2079,-1037.816
medium_variant,908,2080,-987.966
medium_variant,908,2081,-940.45
medium_variant,908,2082,-895.893
medium_variant,908,2083,-854.927
medium_variant,908,2084,-817.873
medium_variant,908,2085,-784.385
medium_variant,908,2086,-754.403
medium_variant,908,2087,-728.944
medium_variant,908,2088,-709.061
medium_variant,908,2089,-694.832
medium_variant,908,2090,-685.464
medium_variant,908,2091,-680.091
medium_variant,908,2092,-678.126
medium_variant,908,2093,-679.251
medium_variant,908,2094,-683.52
medium_variant,908,2095,-691.219
medium_variant,908,2096,-702.75
medium_variant,908,2097,-718.542
medium_variant,908,2098,-739.023
medium_variant,908,2099,-764.606
