variant,continent,year,populationchange
estimates,909,1950,319.461
estimates,909,1951,314.038
estimates,909,1952,300.643
estimates,909,1953,297.674
estimates,909,1954,302.104
estimates,909,1955,310.92
estimates,909,1956,321.147
estimates,909,1957,329.995
estimates,909,1958,335.288
estimates,909,1959,336.213
estimates,909,1960,334.143
estimates,909,1961,332.489
estimates,909,1962,336.039
estimates,909,1963,348.908
estimates,909,1964,370.511
estimates,909,1965,397.105
estimates,909,1966,422.772
estimates,909,1967,439.592
estimates,909,1968,441.479
estimates,909,1969,428.223
estimates,909,1970,407.088
estimates,909,1971,385.947
estimates,909,1972,366.283
estimates,909,1973,347.397
estimates,909,1974,330.466
estimates,909,1975,313.871
estimates,909,1976,297.496
estimates,909,1977,287.944
estimates,909,1978,291.693
estimates,909,1979,308.579
estimates,909,1980,333.111
estimates,909,1981,358.554
estimates,909,1982,380.801
estimates,909,1983,397.544
estimates,909,1984,408.024
estimates,909,1985,415.428
estimates,909,1986,422.865
estimates,909,1987,429.161
estimates,909,1988,432.285
estimates,909,1989,432.385
estimates,909,1990,430.816
estimates,909,1991,428.806
estimates,909,1992,425.944
estimates,909,1993,421.565
estimates,909,1994,416.118
estimates,909,1995,410.494
estimates,909,1996,405.918
estimates,909,1997,404.185
estimates,909,1998,406.772
estimates,909,1999,413.998
estimates,909,2000,423.073
estimates,909,2001,432.5
estimates,909,2002,447.348
estimates,909,2003,472.785
estimates,909,2004,507.854
estimates,909,2005,548.967
estimates,909,2006,589.788
estimates,909,2007,620.554
estimates,909,2008,633.4
estimates,909,2009,627.981
estimates,909,2010,611.905
estimates,909,2011,594.522
estimates,909,2012,580.822
estimates,909,2013,573.002
estimates,909,2014,571.801
estimates,909,2015,573.53
medium_variant,909,2015,573.53
medium_variant,909,2016,573.922
medium_variant,909,2017,571.914
medium_variant,909,2018,567.727
medium_variant,909,2019,561.326
medium_variant,909,2020,553.636
medium_variant,909,2021,546.042
medium_variant,909,2022,539.53
medium_variant,909,2023,534.64
medium_variant,909,2024,531.467
medium_variant,909,2025,529.225
medium_variant,909,2026,526.933
medium_variant,909,2027,524.089
medium_variant,909,2028,520.401
medium_variant,909,2029,515.811
medium_variant,909,2030,510.822
medium_variant,909,2031,505.933
medium_variant,909,2032,501.251
medium_variant,909,2033,496.746
medium_variant,909,2034,492.47
medium_variant,909,2035,488.317
medium_variant,909,2036,484.163
medium_variant,909,2037,480.223
medium_variant,909,2038,476.654
medium_variant,909,2039,473.433
medium_variant,909,2040,470.377
medium_variant,909,2041,467.275
medium_variant,909,2042,464.243
medium_variant,909,2043,461.38
medium_variant,909,2044,458.56
medium_variant,909,2045,455.779
medium_variant,909,2046,452.934
medium_variant,909,2047,449.613
medium_variant,909,2048,445.484
medium_variant,909,2049,440.571
medium_variant,909,2050,435.159
medium_variant,909,2051,429.607
medium_variant,909,2052,424.095
medium_variant,909,2053,418.634
medium_variant,909,2054,413.279
medium_variant,909,2055,407.921
medium_variant,909,2056,402.456
medium_variant,909,2057,396.962
medium_variant,909,2058,391.494
medium_variant,909,2059,386.021
medium_variant,909,2060,380.558
medium_variant,909,2061,375.084
medium_variant,909,2062,369.621
medium_variant,909,2063,364.288
medium_variant,909,2064,359.071
medium_variant,909,2065,353.89
medium_variant,909,2066,348.643
medium_variant,909,2067,343.286
medium_variant,909,2068,337.81
medium_variant,909,2069,332.191
medium_variant,909,2070,326.481
medium_variant,909,2071,320.707
medium_variant,909,2072,314.766
medium_variant,909,2073,308.55
medium_variant,909,2074,302.037
medium_variant,909,2075,295.385
medium_variant,909,2076,288.725
medium_variant,909,2077,282.058
medium_variant,909,2078,275.465
medium_variant,909,2079,268.982
medium_variant,909,2080,262.556
medium_variant,909,2081,256.148
medium_variant,909,2082,249.916
medium_variant,909,2083,243.952
medium_variant,909,2084,238.221
medium_variant,909,2085,232.705
medium_variant,909,2086,227.241
medium_variant,909,2087,221.859
medium_variant,909,2088,216.67
medium_variant,909,2089,211.612
medium_variant,909,2090,206.61
medium_variant,909,2091,201.609
medium_variant,909,2092,196.563
medium_variant,909,2093,191.395
medium_variant,909,2094,186.13
medium_variant,909,2095,180.75
medium_variant,909,2096,175.191
medium_variant,909,2097,169.518
medium_variant,909,2098,163.714
medium_variant,909,2099,157.745
