country,year,variant,gender,freq,agebroad,percentagetotaldeaths
417,1960,estimates,male,5yearly,15plus,58.7211028632025
417,1960,estimates,female,5yearly,15_24,2.01322941908442
417,1960,estimates,male,5yearly,15_24,2.39872746553552
417,1960,estimates,female,5yearly,15_49,11.3249066736525
417,1960,estimates,male,5yearly,15_49,15.0562036055143
417,1960,estimates,female,5yearly,15_59,18.9337874124042
417,1960,estimates,male,5yearly,15_59,23.2386002120891
417,1960,estimates,female,5yearly,15_64,24.0159800903792
417,1960,estimates,male,5yearly,15_64,28.7550371155886
417,1960,estimates,female,5yearly,20plus,58.6665793437684
417,1960,estimates,male,5yearly,20plus,57.932131495228
417,1960,estimates,female,5yearly,20_64,23.2549610321567
417,1960,estimates,male,5yearly,20_64,27.966065747614
417,1960,estimates,female,5yearly,20_69,28.9043159342459
417,1960,estimates,male,5yearly,20_69,34.7741251325557
417,1960,estimates,female,5yearly,25plus,57.4143689829065
417,1960,estimates,male,5yearly,25plus,56.322375397667
417,1960,estimates,female,5yearly,25_69,27.652105573384
417,1960,estimates,male,5yearly,25_69,33.1643690349947
417,1960,estimates,female,5yearly,40plus,52.1841639924029
417,1960,estimates,male,5yearly,40plus,48.6977730646872
417,1960,estimates,female,5yearly,50plus,48.1026917283385
417,1960,estimates,male,5yearly,50plus,43.6648992576882
417,1960,estimates,female,5yearly,60plus,40.4938109895867
417,1960,estimates,male,5yearly,60plus,35.4825026511135
417,1960,estimates,female,5yearly,65plus,35.4116183116118
417,1960,estimates,male,5yearly,65plus,29.966065747614
417,1960,estimates,female,5yearly,70plus,29.7622634095226
417,1960,estimates,male,5yearly,70plus,23.1580063626723
417,1960,estimates,female,5yearly,80plus,13.1036741109437
417,1960,estimates,male,5yearly,80plus,7.80487804878049
417,1960,estimates,female,5yearly,90plus,2.52930774772415
417,1960,estimates,male,5yearly,90plus,1.14528101802757
417,1965,estimates,female,5yearly,0_4,35.7045415413957
417,1965,estimates,male,5yearly,0_4,37.7718779853814
417,1965,estimates,female,5yearly,0_14,37.9163741838073
417,1965,estimates,male,5yearly,0_14,40.1290795583302
417,1965,estimates,female,5yearly,0_19,38.8646808736077
417,1965,estimates,male,5yearly,0_19,41.2054831041301
417,1965,estimates,female,5yearly,0_24,39.8739122948757
417,1965,estimates,male,5yearly,0_24,42.5418231099065
417,1965,estimates,female,5yearly,5_14,2.21183264241156
417,1965,estimates,male,5yearly,5_14,2.35720157294883
417,1965,estimates,female,5yearly,15plus,62.0836258161927
417,1965,estimates,male,5yearly,15plus,59.8709204416698
417,1965,estimates,female,5yearly,15_24,1.95753811106843
417,1965,estimates,male,5yearly,15_24,2.41274355157628
417,1965,estimates,female,5yearly,15_49,11.2445863078288
417,1965,estimates,male,5yearly,15_49,17.0924885028104
417,1965,estimates,female,5yearly,15_59,18.1794100896653
417,1965,estimates,male,5yearly,15_59,24.6706360667392
417,1965,estimates,female,5yearly,15_64,23.7156139491146
417,1965,estimates,male,5yearly,15_64,29.9604541112172
417,1965,estimates,female,5yearly,20plus,61.1353191263923
417,1965,estimates,male,5yearly,20plus,58.7945168958699
417,1965,estimates,female,5yearly,20_64,22.7673072593142
417,1965,estimates,male,5yearly,20_64,28.8840505654173
417,1965,estimates,female,5yearly,20_69,29.8849052355536
417,1965,estimates,male,5yearly,20_69,35.482437626358
417,1965,estimates,female,5yearly,25plus,60.1260877051243
417,1965,estimates,male,5yearly,25plus,57.4581768900935
417,1965,estimates,female,5yearly,25_69,28.8756738142855
417,1965,estimates,male,5yearly,25_69,34.1460976205816
417,1965,estimates,female,5yearly,40plus,55.2587314411348
417,1965,estimates,male,5yearly,40plus,49.2424074115216
417,1965,estimates,female,5yearly,50plus,50.8390395083639
417,1965,estimates,male,5yearly,50plus,42.7784319388594
417,1965,estimates,female,5yearly,60plus,43.9042157265274
417,1965,estimates,male,5yearly,60plus,35.2002843749306
417,1965,estimates,female,5yearly,65plus,38.3680118670781
417,1965,estimates,male,5yearly,65plus,29.9104663304526
417,1965,estimates,female,5yearly,70plus,31.2504138908388
417,1965,estimates,male,5yearly,70plus,23.3120792695119
417,1965,estimates,female,5yearly,80plus,14.9994039971922
417,1965,estimates,male,5yearly,80plus,9.06889427028948
417,1965,estimates,female,5yearly,90plus,3.05550772816974
417,1965,estimates,male,5yearly,90plus,1.44631312345871
417,1970,estimates,female,5yearly,0_4,33.2633546256353
417,1970,estimates,male,5yearly,0_4,36.3458279224352
417,1970,estimates,female,5yearly,0_14,35.3537551683969
417,1970,estimates,male,5yearly,0_14,38.7251557238131
417,1970,estimates,female,5yearly,0_19,36.4892023707421
417,1970,estimates,male,5yearly,0_19,40.1591354301939
417,1970,estimates,female,5yearly,0_24,37.7168166515188
417,1970,estimates,male,5yearly,0_24,41.8803512865098
417,1970,estimates,female,5yearly,5_14,2.09040054276168
417,1970,estimates,male,5yearly,5_14,2.37932780137785
417,1970,estimates,female,5yearly,15plus,64.6462448316031
417,1970,estimates,male,5yearly,15plus,61.2748442761869
417,1970,estimates,female,5yearly,15_24,2.3630614831219
