country,year,variant,gender,freq,agebroad,percentagetotaldeaths
174,1950,estimates,female,5yearly,"Region, subregion, country or area *",Comoros
174,1950,estimates,male,5yearly,"Region, subregion, country or area *",Comoros
174,1950,estimates,female,5yearly,0_4,47.7234733012096
174,1950,estimates,male,5yearly,0_4,50.2073192716784
174,1950,estimates,female,5yearly,0_14,53.3385780312715
174,1950,estimates,male,5yearly,0_14,55.0117180457905
174,1950,estimates,female,5yearly,0_19,56.210050152424
174,1950,estimates,male,5yearly,0_19,57.4725076617992
174,1950,estimates,female,5yearly,0_24,59.4945422362081
174,1950,estimates,male,5yearly,0_24,60.5011718045791
174,1950,estimates,female,5yearly,5_14,5.61510473006195
174,1950,estimates,male,5yearly,5_14,4.80439877411213
174,1950,estimates,female,5yearly,15plus,46.6614219687285
174,1950,estimates,male,5yearly,15plus,44.9882819542095
174,1950,estimates,female,5yearly,15_24,6.15596420493657
174,1950,estimates,male,5yearly,15_24,5.48945375878853
174,1950,estimates,female,5yearly,15_49,22.126069426689
174,1950,estimates,male,5yearly,15_49,21.8857039841356
174,1950,estimates,female,5yearly,15_59,28.1148588848461
174,1950,estimates,male,5yearly,15_59,28.4928790337119
174,1950,estimates,female,5yearly,15_64,31.6451961844822
174,1950,estimates,male,5yearly,15_64,32.0353344149991
174,1950,estimates,female,5yearly,20plus,43.789949847576
174,1950,estimates,male,5yearly,20plus,42.5274923382008
174,1950,estimates,female,5yearly,20_64,28.7737240633297
174,1950,estimates,male,5yearly,20_64,29.5745447989904
174,1950,estimates,female,5yearly,20_69,32.6974137083292
174,1950,estimates,male,5yearly,20_69,33.297277807824
174,1950,estimates,female,5yearly,25plus,40.5054577637919
174,1950,estimates,male,5yearly,25plus,39.4988281954209
174,1950,estimates,female,5yearly,25_69,29.4129216245452
174,1950,estimates,male,5yearly,25_69,30.2686136650442
174,1950,estimates,female,5yearly,40plus,30.4553053397581
174,1950,estimates,male,5yearly,40plus,29.8810167658194
174,1950,estimates,female,5yearly,50plus,24.5353525420395
174,1950,estimates,male,5yearly,50plus,23.1025779700739
174,1950,estimates,female,5yearly,60plus,18.5465630838824
174,1950,estimates,male,5yearly,60plus,16.4954029204976
174,1950,estimates,female,5yearly,65plus,15.0162257842462
174,1950,estimates,male,5yearly,65plus,12.9529475392104
174,1950,estimates,female,5yearly,70plus,11.0925361392467
174,1950,estimates,male,5yearly,70plus,9.23021453037678
174,1950,estimates,female,5yearly,80plus,3.37299636149081
174,1950,estimates,male,5yearly,80plus,2.60501171804579
174,1950,estimates,female,5yearly,90plus,0.0
174,1950,estimates,male,5yearly,90plus,0.0
174,1955,estimates,female,5yearly,"Region, subregion, country or area *",Comoros
174,1955,estimates,male,5yearly,"Region, subregion, country or area *",Comoros
174,1955,estimates,female,5yearly,0_4,49.627252996131
174,1955,estimates,male,5yearly,0_4,52.3130761351997
174,1955,estimates,female,5yearly,0_14,55.1193734075682
174,1955,estimates,male,5yearly,0_14,57.0757937862752
174,1955,estimates,female,5yearly,0_19,57.7899405492121
174,1955,estimates,male,5yearly,0_19,59.4230112666439
174,1955,estimates,female,5yearly,0_24,60.8662829102576
174,1955,estimates,male,5yearly,0_24,62.3250256060089
174,1955,estimates,female,5yearly,5_14,5.4921204114372
174,1955,estimates,male,5yearly,5_14,4.76271765107545
174,1955,estimates,female,5yearly,15plus,44.8806265924318
174,1955,estimates,male,5yearly,15plus,42.9242062137248
174,1955,estimates,female,5yearly,15_24,5.74690950268944
174,1955,estimates,male,5yearly,15_24,5.2492318197337
174,1955,estimates,female,5yearly,15_49,20.9870718127772
174,1955,estimates,male,5yearly,15_49,20.9286445885968
174,1955,estimates,female,5yearly,15_59,27.0359535717656
174,1955,estimates,male,5yearly,15_59,27.6032775691362
174,1955,estimates,female,5yearly,15_64,30.4520147211475
174,1955,estimates,male,5yearly,15_64,30.9747354045749
174,1955,estimates,female,5yearly,20plus,42.210059450788
174,1955,estimates,male,5yearly,20plus,40.5769887333561
174,1955,estimates,female,5yearly,20_64,27.7814475795036
174,1955,estimates,male,5yearly,20_64,28.6275179242062
174,1955,estimates,female,5yearly,20_69,31.4334245541191
174,1955,estimates,male,5yearly,20_69,32.0160464322294
174,1955,estimates,female,5yearly,25plus,39.1337170897424
174,1955,estimates,male,5yearly,25plus,37.6749743939911
174,1955,estimates,female,5yearly,25_69,28.3570821930735
174,1955,estimates,male,5yearly,25_69,29.1140320928645
174,1955,estimates,female,5yearly,40plus,29.7725771444749
174,1955,estimates,male,5yearly,40plus,28.6616592693752
174,1955,estimates,female,5yearly,50plus,23.8935547796546
174,1955,estimates,male,5yearly,50plus,21.995561625128
174,1955,estimates,female,5yearly,60plus,17.8446730206662
174,1955,estimates,male,5yearly,60plus,15.3209286445886
174,1955,estimates,female,5yearly,65plus,14.4286118712843
174,1955,estimates,male,5yearly,65plus,11.9494708091499
174,1955,estimates,female,5yearly,70plus,10.7766348966689
174,1955,estimates,male,5yearly,70plus,8.56094230112667
174,1955,estimates,female,5yearly,80plus,3.63310370859677
174,1955,estimates,male,5yearly,80plus,2.62034824172072
174,1955,estimates,female,5yearly,90plus,0.235915825233557
174,1955,estimates,male,5yearly,90plus,0.145100716968249
174,1960,estimates,female,5yearly,"Region, subregion, country or area *",Comoros
174,1960,estimates,male,5yearly,"Region, subregion, country or area *",Comoros
174,1960,estimates,female,5yearly,0_4,49.9952807928268
174,1960,estimates,male,5yearly,0_4,52.7401952389108
174,1960,estimates,female,5yearly,0_14,55.8470976875885
174,1960,estimates,male,5yearly,0_14,57.8438088713821
174,1960,estimates,female,5yearly,0_19,58.3482774893818
174,1960,estimates,male,5yearly,0_19,60.0787806131187
174,1960,estimates,female,5yearly,0_24,61.2647475224162
174,1960,estimates,male,5yearly,0_24,62.8874807330022
174,1960,estimates,female,5yearly,5_14,5.85181689476168
174,1960,estimates,male,5yearly,5_14,5.10361363247131
174,1960,estimates,female,5yearly,15plus,44.1529023124115
174,1960,estimates,male,5yearly,15plus,42.1561911286179
174,1960,estimates,female,5yearly,15_24,5.41764983482775
174,1960,estimates,male,5yearly,15_24,5.04367186162014
174,1960,estimates,female,5yearly,15_49,20.0660689004247
174,1960,estimates,male,5yearly,15_49,20.1918136667238
174,1960,estimates,female,5yearly,15_59,26.4464369985842
174,1960,estimates,male,5yearly,15_59,27.2221270765542
174,1960,estimates,female,5yearly,15_64,29.9386503067485
174,1960,estimates,male,5yearly,15_64,30.6730604555575
174,1960,estimates,female,5yearly,20plus,41.6517225106182
174,1960,estimates,male,5yearly,20plus,39.9212193868813
174,1960,estimates,female,5yearly,20_64,27.4374705049552
174,1960,estimates,male,5yearly,20_64,28.4380887138209
174,1960,estimates,female,5yearly,20_69,31.0995752713544
174,1960,estimates,male,5yearly,20_69,31.786264771365
174,1960,estimates,female,5yearly,25plus,38.7352524775838
174,1960,estimates,male,5yearly,25plus,37.1125192669978
174,1960,estimates,female,5yearly,25_69,28.18310523832
174,1960,estimates,male,5yearly,25_69,28.9775646514814
174,1960,estimates,female,5yearly,40plus,29.8253893345918
174,1960,estimates,male,5yearly,40plus,28.4552149340641
174,1960,estimates,female,5yearly,50plus,24.0868334119868
174,1960,estimates,male,5yearly,50plus,21.9643774618942
174,1960,estimates,female,5yearly,60plus,17.7064653138273
174,1960,estimates,male,5yearly,60plus,14.9340640520637
174,1960,estimates,female,5yearly,65plus,14.2142520056631
174,1960,estimates,male,5yearly,65plus,11.4831306730605
174,1960,estimates,female,5yearly,70plus,10.5521472392638
174,1960,estimates,male,5yearly,70plus,8.13495461551635
174,1960,estimates,female,5yearly,80plus,3.69042000943841
174,1960,estimates,male,5yearly,80plus,2.50899126562768
174,1960,estimates,female,5yearly,90plus,0.377536573855592
174,1960,estimates,male,5yearly,90plus,0.205514642918308
174,1965,estimates,female,5yearly,"Region, subregion, country or area *",Comoros
174,1965,estimates,male,5yearly,"Region, subregion, country or area *",Comoros
174,1965,estimates,female,5yearly,0_4,49.5940332326284
174,1965,estimates,male,5yearly,0_4,52.4062794887192
174,1965,estimates,female,5yearly,0_14,55.7968277945619
174,1965,estimates,male,5yearly,0_14,57.8193360212748
174,1965,estimates,female,5yearly,0_19,58.3931268882175
174,1965,estimates,male,5yearly,0_19,60.1441194132281
174,1965,estimates,female,5yearly,0_24,61.1404833836858
174,1965,estimates,male,5yearly,0_24,62.8120442652484
174,1965,estimates,female,5yearly,5_14,6.20279456193353
174,1965,estimates,male,5yearly,5_14,5.41305653255555
174,1965,estimates,female,5yearly,15plus,44.2031722054381
174,1965,estimates,male,5yearly,15plus,42.1806639787252
174,1965,estimates,female,5yearly,15_24,5.34365558912387
174,1965,estimates,male,5yearly,15_24,4.99270824397358
174,1965,estimates,female,5yearly,15_49,19.4014350453172
174,1965,estimates,male,5yearly,15_49,19.6105344428241
174,1965,estimates,female,5yearly,15_59,25.9913141993958
174,1965,estimates,male,5yearly,15_59,26.8593977867376
174,1965,estimates,female,5yearly,15_64,29.7488670694864
174,1965,estimates,male,5yearly,15_64,30.6167967744703
174,1965,estimates,female,5yearly,20plus,41.6068731117825
174,1965,estimates,male,5yearly,20plus,39.8558805867719
174,1965,estimates,female,5yearly,20_64,27.1525679758308
174,1965,estimates,male,5yearly,20_64,28.2920133825169
174,1965,estimates,female,5yearly,20_69,30.9762084592145
174,1965,estimates,male,5yearly,20_69,31.7920562751995
174,1965,estimates,female,5yearly,25plus,38.8595166163142
174,1965,estimates,male,5yearly,25plus,37.1879557347516
174,1965,estimates,female,5yearly,25_69,28.2288519637462
174,1965,estimates,male,5yearly,25_69,29.1241314231792
