country,year,variant,gender,freq,agebroad,percentagetotaldeaths
499,1950,estimates,female,5yearly,0_4,28.0990562690698
499,1950,estimates,male,5yearly,0_4,34.7168976703037
499,1950,estimates,female,5yearly,0_14,29.2130845100404
499,1950,estimates,male,5yearly,0_14,36.1397817752875
499,1950,estimates,female,5yearly,0_19,29.8658908678067
499,1950,estimates,male,5yearly,0_19,37.2161604246535
499,1950,estimates,female,5yearly,0_24,30.7954303554956
499,1950,estimates,male,5yearly,0_24,38.6021822471247
499,1950,estimates,female,5yearly,5_14,1.11402824097069
499,1950,estimates,male,5yearly,5_14,1.42288410498378
499,1950,estimates,female,5yearly,15plus,70.7869154899596
499,1950,estimates,male,5yearly,15plus,63.8602182247125
499,1950,estimates,female,5yearly,15_24,1.58234584545519
499,1950,estimates,male,5yearly,15_24,2.46240047183722
499,1950,estimates,female,5yearly,15_49,8.89803448520542
499,1950,estimates,male,5yearly,15_49,9.89383662636391
499,1950,estimates,female,5yearly,15_59,16.0576172567942
499,1950,estimates,male,5yearly,15_59,18.2468298437039
499,1950,estimates,female,5yearly,15_64,21.7483857234088
499,1950,estimates,male,5yearly,15_64,24.5207903273371
499,1950,estimates,female,5yearly,20plus,70.1341091321933
499,1950,estimates,male,5yearly,20plus,62.7838395753465
499,1950,estimates,female,5yearly,20_64,21.0955793656425
499,1950,estimates,male,5yearly,20_64,23.4444116779711
499,1950,estimates,female,5yearly,20_69,28.2409706946711
499,1950,estimates,male,5yearly,20_69,31.0232969625479
499,1950,estimates,female,5yearly,25plus,69.2045696445044
499,1950,estimates,male,5yearly,25plus,61.3978177528753
499,1950,estimates,female,5yearly,25_69,27.3114312069822
499,1950,estimates,male,5yearly,25_69,29.6372751400767
499,1950,estimates,female,5yearly,40plus,65.7844319875115
499,1950,estimates,male,5yearly,40plus,58.0433500442347
499,1950,estimates,female,5yearly,50plus,61.8888810047541
499,1950,estimates,male,5yearly,50plus,53.9663815983486
499,1950,estimates,female,5yearly,60plus,54.7292982331654
499,1950,estimates,male,5yearly,60plus,45.6133883810086
499,1950,estimates,female,5yearly,65plus,49.0385297665508
499,1950,estimates,male,5yearly,65plus,39.3394278973754
499,1950,estimates,female,5yearly,70plus,41.8931384375222
499,1950,estimates,male,5yearly,70plus,31.7605426127986
499,1950,estimates,female,5yearly,80plus,19.6551479457887
