continent,variant,freq,year,lifeexpectancyat60
903,estimates,5yearly,1950,12.7030566966574
903,estimates,5yearly,1955,13.1594762580876
903,estimates,5yearly,1960,13.5908373181785
903,estimates,5yearly,1965,13.9731195749358
903,estimates,5yearly,1970,14.2846345099326
903,estimates,5yearly,1975,14.6005453972297
903,estimates,5yearly,1980,14.9036469159431
903,estimates,5yearly,1985,15.1806281009508
903,estimates,5yearly,1990,15.2998065202844
903,estimates,5yearly,1995,15.4463032679146
903,estimates,5yearly,2000,15.7045889052138
903,estimates,5yearly,2005,16.2848389659215
903,estimates,5yearly,2010,16.7875080841795
903,medium_variant,5yearly,2015,17.2132752118255
903,medium_variant,5yearly,2020,17.5847783288616
903,medium_variant,5yearly,2025,17.9544954480156
903,medium_variant,5yearly,2030,18.3246784940071
903,medium_variant,5yearly,2035,18.6769829312508
903,medium_variant,5yearly,2040,19.0426451319009
903,medium_variant,5yearly,2045,19.4060221696094
903,medium_variant,5yearly,2050,19.7882638319873
903,medium_variant,5yearly,2055,20.1749580374858
903,medium_variant,5yearly,2060,20.5305851163423
903,medium_variant,5yearly,2065,20.8672214221947
903,medium_variant,5yearly,2070,21.2100492693255
903,medium_variant,5yearly,2075,21.5438127921252
903,medium_variant,5yearly,2080,21.8912331489188
903,medium_variant,5yearly,2085,22.2522693916764
903,medium_variant,5yearly,2090,22.6215767560511
903,medium_variant,5yearly,2095,22.9889836015814
