variant,global,year,gender,childdependencyratio2564
estimates,900,1950,male,122.281
estimates,900,1951,male,123.314
estimates,900,1952,male,124.187
estimates,900,1953,male,124.788
estimates,900,1954,male,125.108
estimates,900,1955,male,125.252
estimates,900,1956,male,126.361
estimates,900,1957,male,127.063
estimates,900,1958,male,127.577
estimates,900,1959,male,128.064
estimates,900,1960,male,128.587
estimates,900,1961,male,129.163
estimates,900,1962,male,129.944
estimates,900,1963,male,130.816
estimates,900,1964,male,131.65
estimates,900,1965,male,132.439
estimates,900,1966,male,134.02
estimates,900,1967,male,135.38
estimates,900,1968,male,136.522
estimates,900,1969,male,137.455
estimates,900,1970,male,138.149
estimates,900,1971,male,138.984
estimates,900,1972,male,139.469
estimates,900,1973,male,139.564
estimates,900,1974,male,139.18
estimates,900,1975,male,138.301
estimates,900,1976,male,137.55
estimates,900,1977,male,136.273
estimates,900,1978,male,134.665
estimates,900,1979,male,133.012
estimates,900,1980,male,131.485
estimates,900,1981,male,130.268
estimates,900,1982,male,129.223
estimates,900,1983,male,128.213
estimates,900,1984,male,127.046
estimates,900,1985,male,125.655
estimates,900,1986,male,124.661
estimates,900,1987,male,123.438
estimates,900,1988,male,122.039
estimates,900,1989,male,120.492
estimates,900,1990,male,118.799
estimates,900,1991,male,117.446
estimates,900,1992,male,115.743
estimates,900,1993,male,113.854
estimates,900,1994,male,111.972
estimates,900,1995,male,110.193
estimates,900,1996,male,108.395
estimates,900,1997,male,106.79
estimates,900,1998,male,105.294
estimates,900,1999,male,103.806
estimates,900,2000,male,102.308
estimates,900,2001,male,101.165
estimates,900,2002,male,100.015
estimates,900,2003,male,98.838
estimates,900,2004,male,97.623
estimates,900,2005,male,96.36
estimates,900,2006,male,95.273
estimates,900,2007,male,94.095
estimates,900,2008,male,92.837
estimates,900,2009,male,91.491
estimates,900,2010,male,90.065
estimates,900,2011,male,88.733
estimates,900,2012,male,87.302
estimates,900,2013,male,85.85
estimates,900,2014,male,84.47
estimates,900,2015,male,83.215
medium_variant,900,2015,male,83.215
medium_variant,900,2016,male,82.205
medium_variant,900,2017,male,81.275
medium_variant,900,2018,male,80.423
medium_variant,900,2019,male,79.642
medium_variant,900,2020,male,78.928
medium_variant,900,2021,male,78.408
medium_variant,900,2022,male,77.949
medium_variant,900,2023,male,77.515
medium_variant,900,2024,male,77.061
medium_variant,900,2025,male,76.568
medium_variant,900,2026,male,76.188
medium_variant,900,2027,male,75.762
medium_variant,900,2028,male,75.294
medium_variant,900,2029,male,74.795
medium_variant,900,2030,male,74.272
medium_variant,900,2031,male,73.866
medium_variant,900,2032,male,73.418
medium_variant,900,2033,male,72.934
medium_variant,900,2034,male,72.424
medium_variant,900,2035,male,71.895
medium_variant,900,2036,male,71.478
medium_variant,900,2037,male,71.031
medium_variant,900,2038,male,70.563
medium_variant,900,2039,male,70.083
medium_variant,900,2040,male,69.599
medium_variant,900,2041,male,69.234
medium_variant,900,2042,male,68.857
medium_variant,900,2043,male,68.47
medium_variant,900,2044,male,68.07
medium_variant,900,2045,male,67.657
medium_variant,900,2046,male,67.348
medium_variant,900,2047,male,67.02
medium_variant,900,2048,male,66.681
medium_variant,900,2049,male,66.343
medium_variant,900,2050,male,66.013
medium_variant,900,2051,male,65.796
medium_variant,900,2052,male,65.571
medium_variant,900,2053,male,65.342
medium_variant,900,2054,male,65.119
medium_variant,900,2055,male,64.905
medium_variant,900,2056,male,64.799
medium_variant,900,2057,male,64.69
medium_variant,900,2058,male,64.566
medium_variant,900,2059,male,64.412
medium_variant,900,2060,male,64.221
medium_variant,900,2061,male,64.094
medium_variant,900,2062,male,63.925
medium_variant,900,2063,male,63.717
medium_variant,900,2064,male,63.476
medium_variant,900,2065,male,63.206
medium_variant,900,2066,male,63.007
medium_variant,900,2067,male,62.77
medium_variant,900,2068,male,62.503
medium_variant,900,2069,male,62.218
medium_variant,900,2070,male,61.924
medium_variant,900,2071,male,61.711
medium_variant,900,2072,male,61.479
medium_variant,900,2073,male,61.233
medium_variant,900,2074,male,60.982
medium_variant,900,2075,male,60.728
medium_variant,900,2076,male,60.561
medium_variant,900,2077,male,60.382
medium_variant,900,2078,male,60.195
medium_variant,900,2079,male,60.003
medium_variant,900,2080,male,59.808
medium_variant,900,2081,male,59.693
medium_variant,900,2082,male,59.564
medium_variant,900,2083,male,59.424
medium_variant,900,2084,male,59.269
medium_variant,900,2085,male,59.102
medium_variant,900,2086,male,58.999
medium_variant,900,2087,male,58.874
medium_variant,900,2088,male,58.729
medium_variant,900,2089,male,58.566
medium_variant,900,2090,male,58.387
medium_variant,900,2091,male,58.265
medium_variant,900,2092,male,58.119
medium_variant,900,2093,male,57.952
medium_variant,900,2094,male,57.767
medium_variant,900,2095,male,57.568
medium_variant,900,2096,male,57.424
medium_variant,900,2097,male,57.259
medium_variant,900,2098,male,57.075
medium_variant,900,2099,male,56.877
medium_variant,900,2100,male,56.67
estimates,900,1950,female,113.111
estimates,900,1951,female,114.082
estimates,900,1952,female,114.936
estimates,900,1953,female,115.615
estimates,900,1954,female,116.086
estimates,900,1955,female,116.401
estimates,900,1956,female,117.443
estimates,900,1957,female,118.171
estimates,900,1958,female,118.766
estimates,900,1959,female,119.356
estimates,900,1960,female,119.979
estimates,900,1961,female,120.668
estimates,900,1962,female,121.521
estimates,900,1963,female,122.454
estimates,900,1964,female,123.385
estimates,900,1965,female,124.317
estimates,900,1966,female,125.98
estimates,900,1967,female,127.495
estimates,900,1968,female,128.849
estimates,900,1969,female,130.007
estimates,900,1970,female,130.902
estimates,900,1971,female,131.821
estimates,900,1972,female,132.369
estimates,900,1973,female,132.543
estimates,900,1974,female,132.304
estimates,900,1975,female,131.655
estimates,900,1976,female,130.989
estimates,900,1977,female,129.885
estimates,900,1978,female,128.505
estimates,900,1979,female,127.085
estimates,900,1980,female,125.772
estimates,900,1981,female,124.754
estimates,900,1982,female,123.879
estimates,900,1983,female,123.024
estimates,900,1984,female,122.013
estimates,900,1985,female,120.782
estimates,900,1986,female,119.873
estimates,900,1987,female,118.726
estimates,900,1988,female,117.398
estimates,900,1989,female,115.923
estimates,900,1990,female,114.305
estimates,900,1991,female,112.972
estimates,900,1992,female,111.291
estimates,900,1993,female,109.42
estimates,900,1994,female,107.554
estimates,900,1995,female,105.789
estimates,900,1996,female,103.951
estimates,900,1997,female,102.32
estimates,900,1998,female,100.808
estimates,900,1999,female,99.297
estimates,900,2000,female,97.765
estimates,900,2001,female,96.625
estimates,900,2002,female,95.453
estimates,900,2003,female,94.241
estimates,900,2004,female,93.002
estimates,900,2005,female,91.735
estimates,900,2006,female,90.602
estimates,900,2007,female,89.401
estimates,900,2008,female,88.138
estimates,900,2009,female,86.796
estimates,900,2010,female,85.376
estimates,900,2011,female,84.02
estimates,900,2012,female,82.577
estimates,900,2013,female,81.13
estimates,900,2014,female,79.779
estimates,900,2015,female,78.577
medium_variant,900,2015,female,78.577
medium_variant,900,2016,female,77.597
medium_variant,900,2017,female,76.726
medium_variant,900,2018,female,75.956
medium_variant,900,2019,female,75.272
medium_variant,900,2020,female,74.66
medium_variant,900,2021,female,74.201
medium_variant,900,2022,female,73.809
medium_variant,900,2023,female,73.455
medium_variant,900,2024,female,73.096
medium_variant,900,2025,female,72.715
medium_variant,900,2026,female,72.417
medium_variant,900,2027,female,72.086
medium_variant,900,2028,female,71.725
medium_variant,900,2029,female,71.341
medium_variant,900,2030,female,70.943
medium_variant,900,2031,female,70.629
medium_variant,900,2032,female,70.279
medium_variant,900,2033,female,69.901
medium_variant,900,2034,female,69.506
medium_variant,900,2035,female,69.1
medium_variant,900,2036,female,68.778
medium_variant,900,2037,female,68.434
medium_variant,900,2038,female,68.073
medium_variant,900,2039,female,67.704
medium_variant,900,2040,female,67.333
medium_variant,900,2041,female,67.05
medium_variant,900,2042,female,66.757
medium_variant,900,2043,female,66.454
medium_variant,900,2044,female,66.141
medium_variant,900,2045,female,65.821
medium_variant,900,2046,female,65.579
medium_variant,900,2047,female,65.319
medium_variant,900,2048,female,65.051
medium_variant,900,2049,female,64.788
medium_variant,900,2050,female,64.537
medium_variant,900,2051,female,64.372
medium_variant,900,2052,female,64.204
medium_variant,900,2053,female,64.036
medium_variant,900,2054,female,63.876
medium_variant,900,2055,female,63.726
medium_variant,900,2056,female,63.659
medium_variant,900,2057,female,63.59
medium_variant,900,2058,female,63.508
medium_variant,900,2059,female,63.396
medium_variant,900,2060,female,63.245
medium_variant,900,2061,female,63.131
medium_variant,900,2062,female,62.971
medium_variant,900,2063,female,62.771
medium_variant,900,2064,female,62.54
medium_variant,900,2065,female,62.283
medium_variant,900,2066,female,62.073
medium_variant,900,2067,female,61.826
medium_variant,900,2068,female,61.554
medium_variant,900,2069,female,61.266
medium_variant,900,2070,female,60.973
medium_variant,900,2071,female,60.739
medium_variant,900,2072,female,60.49
medium_variant,900,2073,female,60.233
medium_variant,900,2074,female,59.974
medium_variant,900,2075,female,59.717
medium_variant,900,2076,female,59.527
medium_variant,900,2077,female,59.331
medium_variant,900,2078,female,59.132
medium_variant,900,2079,female,58.932
medium_variant,900,2080,female,58.733
medium_variant,900,2081,female,58.594
medium_variant,900,2082,female,58.447
medium_variant,900,2083,female,58.293
medium_variant,900,2084,female,58.131
medium_variant,900,2085,female,57.962
medium_variant,900,2086,female,57.841
medium_variant,900,2087,female,57.704
medium_variant,900,2088,female,57.552
medium_variant,900,2089,female,57.388
medium_variant,900,2090,female,57.214
medium_variant,900,2091,female,57.08
medium_variant,900,2092,female,56.928
medium_variant,900,2093,female,56.761
medium_variant,900,2094,female,56.581
medium_variant,900,2095,female,56.391
medium_variant,900,2096,female,56.242
medium_variant,900,2097,female,56.075
medium_variant,900,2098,female,55.896
medium_variant,900,2099,female,55.708
medium_variant,900,2100,female,55.515
