variant,global,year,gender,potentialsupport2069_65
estimates,900,1950,male,21.229
estimates,900,1951,male,20.923
estimates,900,1952,male,20.775
estimates,900,1953,male,20.798
estimates,900,1954,male,20.993
estimates,900,1955,male,21.354
estimates,900,1956,male,21.005
estimates,900,1957,male,20.846
estimates,900,1958,male,20.861
estimates,900,1959,male,21.043
estimates,900,1960,male,21.386
estimates,900,1961,male,21.004
estimates,900,1962,male,20.771
estimates,900,1963,male,20.683
estimates,900,1964,male,20.742
estimates,900,1965,male,20.944
estimates,900,1966,male,20.49
estimates,900,1967,male,20.186
estimates,900,1968,male,20.007
estimates,900,1969,male,19.928
estimates,900,1970,male,19.931
estimates,900,1971,male,19.517
estimates,900,1972,male,19.234
estimates,900,1973,male,19.061
estimates,900,1974,male,18.977
estimates,900,1975,male,18.964
estimates,900,1976,male,18.576
estimates,900,1977,male,18.296
estimates,900,1978,male,18.11
estimates,900,1979,male,17.999
estimates,900,1980,male,17.948
estimates,900,1981,male,17.625
estimates,900,1982,male,17.387
estimates,900,1983,male,17.248
estimates,900,1984,male,17.234
estimates,900,1985,male,17.344
estimates,900,1986,male,17.22
estimates,900,1987,male,17.214
estimates,900,1988,male,17.28
estimates,900,1989,male,17.371
estimates,900,1990,male,17.459
estimates,900,1991,male,17.246
estimates,900,1992,male,17.08
estimates,900,1993,male,16.945
estimates,900,1994,male,16.829
estimates,900,1995,male,16.723
estimates,900,1996,male,16.366
estimates,900,1997,male,16.058
estimates,900,1998,male,15.806
estimates,900,1999,male,15.619
estimates,900,2000,male,15.495
estimates,900,2001,male,15.191
estimates,900,2002,male,14.963
estimates,900,2003,male,14.792
estimates,900,2004,male,14.658
estimates,900,2005,male,14.551
estimates,900,2006,male,14.291
estimates,900,2007,male,14.077
estimates,900,2008,male,13.909
estimates,900,2009,male,13.795
estimates,900,2010,male,13.729
estimates,900,2011,male,13.563
estimates,900,2012,male,13.446
estimates,900,2013,male,13.351
estimates,900,2014,male,13.253
estimates,900,2015,male,13.135
medium_variant,900,2015,male,13.135
medium_variant,900,2016,male,12.888
medium_variant,900,2017,male,12.653
medium_variant,900,2018,male,12.418
medium_variant,900,2019,male,12.166
medium_variant,900,2020,male,11.89
medium_variant,900,2021,male,11.508
medium_variant,900,2022,male,11.139
medium_variant,900,2023,male,10.795
medium_variant,900,2024,male,10.491
medium_variant,900,2025,male,10.229
medium_variant,900,2026,male,9.941
medium_variant,900,2027,male,9.698
medium_variant,900,2028,male,9.483
medium_variant,900,2029,male,9.278
medium_variant,900,2030,male,9.073
medium_variant,900,2031,male,8.828
medium_variant,900,2032,male,8.602
medium_variant,900,2033,male,8.391
medium_variant,900,2034,male,8.193
medium_variant,900,2035,male,8.003
medium_variant,900,2036,male,7.792
medium_variant,900,2037,male,7.6
medium_variant,900,2038,male,7.425
medium_variant,900,2039,male,7.265
medium_variant,900,2040,male,7.12
medium_variant,900,2041,male,6.96
medium_variant,900,2042,male,6.819
medium_variant,900,2043,male,6.696
medium_variant,900,2044,male,6.591
medium_variant,900,2045,male,6.503
medium_variant,900,2046,male,6.404
medium_variant,900,2047,male,6.327
medium_variant,900,2048,male,6.261
medium_variant,900,2049,male,6.199
medium_variant,900,2050,male,6.134
medium_variant,900,2051,male,6.045
medium_variant,900,2052,male,5.964
medium_variant,900,2053,male,5.885
medium_variant,900,2054,male,5.802
medium_variant,900,2055,male,5.712
medium_variant,900,2056,male,5.598
medium_variant,900,2057,male,5.486
medium_variant,900,2058,male,5.381
medium_variant,900,2059,male,5.287
medium_variant,900,2060,male,5.206
medium_variant,900,2061,male,5.122
medium_variant,900,2062,male,5.054
medium_variant,900,2063,male,4.999
medium_variant,900,2064,male,4.952
medium_variant,900,2065,male,4.912
medium_variant,900,2066,male,4.865
medium_variant,900,2067,male,4.83
medium_variant,900,2068,male,4.803
medium_variant,900,2069,male,4.777
medium_variant,900,2070,male,4.752
medium_variant,900,2071,male,4.717
