continent,variant,gender,year,population
908,Constant_mortality,female,2018,382042.623
908,Constant_mortality,male,2018,356381.086
908,High_variant,female,2018,383993.75
908,High_variant,male,2018,358494.226
908,Instant_replacement,female,2018,385440.163
908,Instant_replacement,male,2018,360024.958
908,Low_variant,female,2018,381081.752
908,Low_variant,male,2018,355420.287
908,Medium_variant,female,2018,382537.752
908,Medium_variant,male,2018,356957.263
908,No_change,female,2018,381667.237
908,No_change,male,2018,355984.725
908,Zero_migration,female,2018,381269.478
908,Zero_migration,male,2018,355662.379
908,Constant_fertility,female,2019,381966.354
908,Constant_fertility,male,2019,356555.654
908,Constant_mortality,female,2019,381794.15
908,Constant_mortality,male,2019,356273.453
908,High_variant,female,2019,384687.697
908,High_variant,male,2019,359412.145
908,Instant_replacement,female,2019,386662.704
908,Instant_replacement,male,2019,361502.497
908,Low_variant,female,2019,380383.374
908,Low_variant,male,2019,354868.572
908,Medium_variant,female,2019,382535.537
908,Medium_variant,male,2019,357140.364
908,No_change,female,2019,381233.355
908,No_change,male,2019,355681.336
908,Zero_migration,female,2019,380714.302
908,Zero_migration,male,2019,355283.989
908,Constant_fertility,female,2020,381696.895
908,Constant_fertility,male,2020,356454.239
908,Constant_mortality,female,2020,381459.147
908,Constant_mortality,male,2020,356060.155
908,High_variant,female,2020,385368.42
908,High_variant,male,2020,360308.884
908,Instant_replacement,female,2020,387746.199
908,Instant_replacement,male,2020,362825.916
908,Low_variant,female,2020,379577.218
908,Low_variant,male,2020,354195.988
908,Medium_variant,female,2020,382472.821
908,Medium_variant,male,2020,357252.441
908,No_change,female,2020,380694.202
908,No_change,male,2020,355252.523
908,Zero_migration,female,2020,380114.438
908,Zero_migration,male,2020,354854.027
908,Constant_fertility,female,2021,381348.933
908,Constant_fertility,male,2021,356258.603
908,Constant_mortality,female,2021,381038.313
908,Constant_mortality,male,2021,355737.915
908,High_variant,female,2021,386026.8
908,High_variant,male,2021,361170.86
908,Instant_replacement,female,2021,388656.051
908,Instant_replacement,male,2021,363954.689
908,Low_variant,female,2021,378671.59
908,Low_variant,male,2021,353407.373
908,Medium_variant,female,2021,382349.171
908,Medium_variant,male,2021,357289.095
908,No_change,female,2021,380051.605
908,No_change,male,2021,354696.189
908,Zero_migration,female,2021,379482.496
908,Zero_migration,male,2021,354381.841
908,Constant_fertility,female,2022,380927.211
908,Constant_fertility,male,2022,355974.062
908,Constant_mortality,female,2022,380534.178
908,Constant_mortality,male,2022,355309.387
908,High_variant,female,2022,386672.216
908,High_variant,male,2022,362008.208
908,Instant_replacement,female,2022,389421.177
908,Instant_replacement,male,2022,364919.625
908,Low_variant,female,2022,377665.714
908,Low_variant,male,2022,352502.132
908,Medium_variant,female,2022,382168.886
908,Medium_variant,male,2022,357255.092
908,No_change,female,2022,379308.564
908,No_change,male,2022,354015.505
908,Zero_migration,female,2022,378811.7
908,Zero_migration,male,2022,353860.464
908,Constant_fertility,female,2023,380439.127
908,Constant_fertility,male,2023,355610.286
908,Constant_mortality,female,2023,379950.674
908,Constant_mortality,male,2023,354780.013
908,High_variant,female,2023,387303.324
908,High_variant,male,2023,362821.367
