continent,variant,gender,year,population
909,estimates,female,1950,6213.367
909,estimates,male,1950,6434.427
909,estimates,female,1951,6369.882
909,estimates,male,1951,6601.381
909,estimates,female,1952,6518.632
909,estimates,male,1952,6756.951
909,estimates,female,1953,6665.013
909,estimates,male,1953,6907.462
909,estimates,female,1954,6813.115
909,estimates,male,1954,7057.748
909,estimates,female,1955,6965.684
909,estimates,male,1955,7210.997
909,estimates,female,1956,7123.952
909,estimates,male,1956,7368.9
909,estimates,female,1957,7287.785
909,estimates,male,1957,7531.278
909,estimates,female,1958,7455.884
909,estimates,male,1958,7696.92
909,estimates,female,1959,7626.141
909,estimates,male,1959,7863.465
909,estimates,female,1960,7796.449
909,estimates,male,1960,8028.758
909,estimates,female,1961,7965.975
909,estimates,male,1961,8191.888
909,estimates,female,1962,8135.839
909,estimates,male,1962,8354.29
909,estimates,female,1963,8309.672
909,estimates,male,1963,8520.315
909,estimates,female,1964,8492.417
909,estimates,male,1964,8695.71
909,estimates,female,1965,8687.139
909,estimates,male,1965,8884.092
909,estimates,female,1966,8895.324
909,estimates,male,1966,9087.3
909,estimates,female,1967,9114.454
909,estimates,male,1967,9302.51
909,estimates,female,1968,9338.564
909,estimates,male,1968,9523.233
909,estimates,female,1969,9559.415
909,estimates,male,1969,9740.387
909,estimates,female,1970,9770.887
909,estimates,male,1970,9947.126
909,estimates,female,1971,9971.507
909,estimates,male,1971,10142.137
909,estimates,female,1972,10162.735
909,estimates,male,1972,10326.946
909,estimates,female,1973,10344.675
909,estimates,male,1973,10501.38
909,estimates,female,1974,10518.342
909,estimates,male,1974,10665.949
909,estimates,female,1975,10685.087
909,estimates,male,1975,10821.779
909,estimates,female,1976,10844.157
909,estimates,male,1976,10967.723
909,estimates,female,1977,10996.541
909,estimates,male,1977,11105.189
909,estimates,female,1978,11147.05
909,estimates,male,1978,11240.705
909,estimates,female,1979,11302.118
909,estimates,male,1979,11383.037
909,estimates,female,1980,11466.485
909,estimates,male,1980,11538.567
909,estimates,female,1981,11641.809
909,estimates,male,1981,11709.753
909,estimates,female,1982,11827.272
909,estimates,male,1982,11895.015
909,estimates,female,1983,12021.772
909,estimates,male,1983,12091.511
909,estimates,female,1984,12223.153
909,estimates,male,1984,12294.348
909,estimates,female,1985,12429.588
909,estimates,male,1985,12499.817
909,estimates,female,1986,12640.967
909,estimates,male,1986,12707.423
909,estimates,female,1987,12857.323
909,estimates,male,1987,12917.832
909,estimates,female,1988,13076.96
909,estimates,male,1988,13129.746
909,estimates,female,1989,13297.824
909,estimates,male,1989,13341.894
909,estimates,female,1990,13518.223
909,estimates,male,1990,13553.207
909,estimates,female,1991,13737.941
909,estimates,male,1991,13763.335
909,estimates,female,1992,13956.866
909,estimates,male,1992,13972.187
909,estimates,female,1993,14173.498
909,estimates,male,1993,14179.642
909,estimates,female,1994,14386.222
909,estimates,male,1994,14385.841
909,estimates,female,1995,14594.225
909,estimates,male,1995,14591.078
909,estimates,female,1996,14797.108
909,estimates,male,1996,14795.897
909,estimates,female,1997,14996.168
909,estimates,male,1997,15000.952
909,estimates,female,1998,15194.188
909,estimates,male,1998,15207.17
909,estimates,female,1999,15394.993
909,estimates,male,1999,15415.68
909,estimates,female,2000,15601.664
909,estimates,male,2000,15627.763
909,estimates,female,2001,15814.419
909,estimates,male,2001,15842.441
909,estimates,female,2002,16033.667
909,estimates,male,2002,16060.798
909,estimates,female,2003,16262.954
909,estimates,male,2003,16288.704
909,estimates,female,2004,16506.608
909,estimates,male,2004,16533.635
909,estimates,female,2005,16767.26
909,estimates,male,2005,16800.373
909,estimates,female,2006,17046.676
909,estimates,male,2006,17091.793
909,estimates,female,2007,17342.903
909,estimates,male,2007,17404.584
909,estimates,female,2008,17650.36
909,estimates,male,2008,17729.4
909,estimates,female,2009,17961.177
909,estimates,male,2009,18053.081
909,estimates,female,2010,18269.466
909,estimates,male,2010,18366.099
909,estimates,female,2011,18573.12
909,estimates,male,2011,18664.784
909,estimates,female,2012,18872.841
909,estimates,male,2012,18951.586
909,estimates,female,2013,19169.067
909,estimates,male,2013,19230.321
909,estimates,female,2014,19462.996
909,estimates,male,2014,19507.392
909,constant_fertility,female,2015,19755.555
909,constant_fertility,male,2015,19787.35
909,constant_mortality,female,2015,19755.555
909,constant_mortality,male,2015,19787.35
909,estimates,female,2015,19755.555
909,estimates,male,2015,19787.35
909,high_variant,female,2015,19755.555
909,high_variant,male,2015,19787.35
909,instant_replacement,female,2015,19755.555
909,instant_replacement,male,2015,19787.35
909,low_variant,female,2015,19755.555
909,low_variant,male,2015,19787.35
909,medium_variant,female,2015,19755.555
909,medium_variant,male,2015,19787.35
909,momentum,female,2015,19755.555
909,momentum,male,2015,19787.35
909,no_change,female,2015,19755.555
909,no_change,male,2015,19787.35
909,zero_migration,female,2015,19755.555
909,zero_migration,male,2015,19787.35
909,constant_fertility,female,2016,20057.219
909,constant_fertility,male,2016,20087.503
909,constant_mortality,female,2016,20044.344
909,constant_mortality,male,2016,20071.857
909,high_variant,female,2016,20069.554
909,high_variant,male,2016,20100.19
909,instant_replacement,female,2016,20028.886
909,instant_replacement,male,2016,20052.141
909,low_variant,female,2016,20026.522
909,low_variant,male,2016,20054.642
909,medium_variant,female,2016,20046.378
909,medium_variant,male,2016,20071.038
909,momentum,female,2016,19963.07
909,momentum,male,2016,19990.033
909,no_change,female,2016,20053.455
909,no_change,male,2016,20081.856
909,zero_migration,female,2016,19948.758
909,zero_migration,male,2016,19987.435
909,constant_fertility,female,2017,20357.709
909,constant_fertility,male,2017,20387.102
909,constant_mortality,female,2017,20327.942
909,constant_mortality,male,2017,20350.594
909,high_variant,female,2017,20387.484
909,high_variant,male,2017,20417.798
909,instant_replacement,female,2017,20292.34
909,instant_replacement,male,2017,20310.729
909,low_variant,female,2017,20285.91
909,low_variant,male,2017,20310.327
909,medium_variant,female,2017,20334.5
909,medium_variant,male,2017,20356.269
909,momentum,female,2017,20133.079
909,momentum,male,2017,20160.427
909,no_change,female,2017,20348.858
909,no_change,male,2017,20373.516
909,zero_migration,female,2017,20140.942
909,zero_migration,male,2017,20186.467
909,constant_fertility,female,2018,20657.096
909,constant_fertility,male,2018,20686.085
909,constant_mortality,female,2018,20606.363
909,constant_mortality,male,2018,20623.634
909,high_variant,female,2018,20708.153
909,high_variant,male,2018,20738.836
909,instant_replacement,female,2018,20548.543
909,instant_replacement,male,2018,20564.699
909,low_variant,female,2018,20534.996
909,low_variant,male,2018,20555.621
909,medium_variant,female,2018,20619.666
909,medium_variant,male,2018,20641.519
909,momentum,female,2018,20277.046
909,momentum,male,2018,20308.083
909,no_change,female,2018,20641.738
909,no_change,male,2018,20662.325
909,zero_migration,female,2018,20331.794
909,zero_migration,male,2018,20384.014
909,constant_fertility,female,2019,20955.404
909,constant_fertility,male,2019,20984.368
909,constant_mortality,female,2019,20879.689
909,constant_mortality,male,2019,20891.003
909,high_variant,female,2019,21030.62
909,high_variant,male,2019,21062.194
909,instant_replacement,female,2019,20801.357
909,instant_replacement,male,2019,20816.051
909,low_variant,female,2019,20774.919
909,low_variant,male,2019,20791.656
909,medium_variant,female,2019,20901.734
909,medium_variant,male,2019,20924.424
909,momentum,female,2019,20411.905
909,momentum,male,2019,20446.893
909,no_change,female,2019,20932.163
909,no_change,male,2019,20948.262
909,zero_migration,female,2019,20520.902
909,zero_migration,male,2019,20579.625
909,constant_fertility,female,2020,21252.903
909,constant_fertility,male,2020,21282.034
909,constant_mortality,female,2020,21148.112
909,constant_mortality,male,2020,21152.832
909,high_variant,female,2020,21354.398
909,high_variant,male,2020,21387.125
909,instant_replacement,female,2020,21053.681
909,instant_replacement,male,2020,21066.225
909,low_variant,female,2020,21006.666
909,low_variant,male,2020,21019.256
909,medium_variant,female,2020,21180.537
909,medium_variant,male,2020,21203.202
909,momentum,female,2020,20550.211
909,momentum,male,2020,20587.063
909,no_change,female,2020,21220.246
909,no_change,male,2020,21231.409
909,zero_migration,female,2020,20708.042
909,zero_migration,male,2020,20772.957
909,constant_fertility,female,2021,21549.832
909,constant_fertility,male,2021,21579.265
909,constant_mortality,female,2021,21411.947
909,constant_mortality,male,2021,21409.45
909,high_variant,female,2021,21679.295
909,high_variant,male,2021,21713.358
909,instant_replacement,female,2021,21306.255
909,instant_replacement,male,2021,21315.907
909,low_variant,female,2021,21231.085
909,low_variant,male,2021,21239.222
909,medium_variant,female,2021,21455.924
909,medium_variant,male,2021,21477.474
909,momentum,female,2021,20695.466
909,momentum,male,2021,20731.863
909,no_change,female,2021,21506.251
909,no_change,male,2021,21512.041
909,zero_migration,female,2021,20892.981
909,zero_migration,male,2021,20963.632
909,constant_fertility,female,2022,21846.571
909,constant_fertility,male,2022,21876.334
909,constant_mortality,female,2022,21671.591
909,constant_mortality,male,2022,21661.209
909,high_variant,female,2022,22005.458
909,high_variant,male,2022,22040.945
909,instant_replacement,female,2022,21558.543
909,instant_replacement,male,2022,21564.93
909,low_variant,female,2022,21448.776
909,low_variant,male,2022,21452.039
909,medium_variant,female,2022,21727.947
909,medium_variant,male,2022,21747.838
909,momentum,female,2022,20844.662
909,momentum,male,2022,20878.894
909,no_change,female,2022,21790.548
909,no_change,male,2022,21790.485
909,zero_migration,female,2022,21075.336
909,zero_migration,male,2022,21151.375
909,constant_fertility,female,2023,22143.644
909,constant_fertility,male,2023,22173.537
909,constant_mortality,female,2023,21927.561
909,constant_mortality,male,2023,21908.655
909,high_variant,female,2023,22333.412
909,high_variant,male,2023,22370.191
909,instant_replacement,female,2023,21810.691
909,instant_replacement,male,2023,21813.421
909,low_variant,female,2023,21660.26
909,low_variant,male,2023,21658.128
909,medium_variant,female,2023,21997.357
909,medium_variant,male,2023,22014.978
909,momentum,female,2023,20995.655
909,momentum,male,2023,21026.328
909,no_change,female,2023,22073.618
909,no_change,male,2023,22067.208
909,zero_migration,female,2023,21255.029
909,zero_migration,male,2023,21335.871
909,constant_fertility,female,2024,22441.452
909,constant_fertility,male,2024,22471.294
909,constant_mortality,female,2024,22180.436
909,constant_mortality,male,2024,22152.182
909,high_variant,female,2024,22663.79
909,high_variant,male,2024,22701.647
909,instant_replacement,female,2024,22062.515
909,instant_replacement,male,2024,22061.303
909,low_variant,female,2024,21865.997
909,low_variant,male,2024,21857.807
909,medium_variant,female,2024,22265.052
909,medium_variant,male,2024,22279.982
909,momentum,female,2024,21144.149
909,momentum,male,2024,21170.346
909,no_change,female,2024,22355.971
909,no_change,male,2024,22342.622
909,zero_migration,female,2024,21431.831
909,zero_migration,male,2024,21516.938
909,constant_fertility,female,2025,22740.502
909,constant_fertility,male,2025,22769.923
909,constant_mortality,female,2025,22430.635
909,constant_mortality,male,2025,22392.31
909,high_variant,female,2025,22997.06
909,high_variant,male,2025,23035.837
909,instant_replacement,female,2025,22313.867
909,instant_replacement,male,2025,22308.406
909,low_variant,female,2025,22066.298
909,low_variant,male,2025,22051.345
909,medium_variant,female,2025,22531.686
909,medium_variant,male,2025,22543.581
909,momentum,female,2025,21286.938
909,momentum,male,2025,21308.228
909,no_change,female,2025,22638.096
909,no_change,male,2025,22617.194
909,zero_migration,female,2025,21605.634
909,zero_migration,male,2025,21694.453
909,constant_fertility,female,2026,23041.064
909,constant_fertility,male,2026,23069.65
909,constant_mortality,female,2026,22678.434
909,constant_mortality,male,2026,22629.27
909,high_variant,female,2026,23333.476
909,high_variant,male,2026,23372.744
909,instant_replacement,female,2026,22565.077
909,instant_replacement,male,2026,22554.892
909,low_variant,female,2026,22261.628
909,low_variant,male,2026,22239.071
909,medium_variant,female,2026,22797.549
909,medium_variant,male,2026,22805.889
909,momentum,female,2026,21424.229
909,momentum,male,2026,21440.181
909,no_change,female,2026,22920.212
909,no_change,male,2026,22891.138
909,zero_migration,female,2026,21776.194
909,zero_migration,male,2026,21868.064
909,constant_fertility,female,2027,23343.13
909,constant_fertility,male,2027,23370.466
909,constant_mortality,female,2027,22923.843
909,constant_mortality,male,2027,22863.166
909,high_variant,female,2027,23672.386
909,high_variant,male,2027,23711.788
909,instant_replacement,female,2027,22816.286
909,instant_replacement,male,2027,22800.937
909,low_variant,female,2027,22452.467
909,low_variant,male,2027,22421.538
909,medium_variant,female,2027,23062.44
909,medium_variant,male,2027,23066.676
909,momentum,female,2027,21557.636
909,momentum,male,2027,21567.624
909,no_change,female,2027,23202.323
909,no_change,male,2027,23164.592
909,zero_migration,female,2027,21943.43
909,zero_migration,male,2027,22037.829
909,constant_fertility,female,2028,23646.363
909,constant_fertility,male,2028,23672.148
909,constant_mortality,female,2028,23166.364
909,constant_mortality,male,2028,23093.676
909,high_variant,female,2028,24012.441
909,high_variant,male,2028,24051.665
909,instant_replacement,female,2028,23067.164
909,instant_replacement,male,2028,23046.223
909,low_variant,female,2028,22639.48
909,low_variant,male,2028,22599.575
909,medium_variant,female,2028,23325.97
909,medium_variant,male,2028,23325.61
909,momentum,female,2028,21686.99
909,momentum,male,2028,21690.558
909,no_change,female,2028,23484.007
909,no_change,male,2028,23437.323
909,zero_migration,female,2028,22107.195
909,zero_migration,male,2028,22203.543
909,constant_fertility,female,2029,23950.259
909,constant_fertility,male,2029,23974.306
909,constant_mortality,female,2029,23405.487
909,constant_mortality,male,2029,23320.387
909,high_variant,female,2029,24351.81
909,high_variant,male,2029,24390.469
909,instant_replacement,female,2029,23317.197
909,instant_replacement,male,2029,23290.317
909,low_variant,female,2029,22823.403
909,low_variant,male,2029,22774.046
909,medium_variant,female,2029,23587.61
909,medium_variant,male,2029,23582.248
909,momentum,female,2029,21812.141
909,momentum,male,2029,21808.86
