continent,variant,gender,year,population
904,estimates,female,1950,84500.473
904,estimates,male,1950,84417.144
904,estimates,female,1951,86790.35
904,estimates,male,1951,86706.752
904,estimates,female,1952,89161.655
904,estimates,male,1952,89072.291
904,estimates,female,1953,91602.71
904,estimates,male,1953,91504.752
904,estimates,female,1954,94106.553
904,estimates,male,1954,93998.803
904,estimates,female,1955,96670.507
904,estimates,male,1955,96553.185
904,estimates,female,1956,99296.954
904,estimates,male,1956,99170.753
904,estimates,female,1957,101992.722
904,estimates,male,1957,101858.111
904,estimates,female,1958,104768.277
904,estimates,male,1958,104625.086
904,estimates,female,1959,107636.48
904,estimates,male,1959,107483.236
904,estimates,female,1960,110608.227
904,estimates,male,1960,110442.323
904,estimates,female,1961,113687.74
904,estimates,male,1961,113506.013
904,estimates,female,1962,116869.087
904,estimates,male,1962,116668.595
904,estimates,female,1963,120133.957
904,estimates,male,1963,119913.062
904,estimates,female,1964,123456.813
904,estimates,male,1964,123215.821
904,estimates,female,1965,126818.856
904,estimates,male,1965,126559.267
904,estimates,female,1966,130212.524
904,estimates,male,1966,129936.112
904,estimates,female,1967,133641.748
904,estimates,male,1967,133348.805
904,estimates,female,1968,137113.492
904,estimates,male,1968,136800.818
904,estimates,female,1969,140639.828
904,estimates,male,1969,140299.213
904,estimates,female,1970,144228.765
904,estimates,male,1970,143848.658
904,estimates,female,1971,147881.015
904,estimates,male,1971,147448.86
904,estimates,female,1972,151591.118
904,estimates,male,1972,151095.033
904,estimates,female,1973,155354.359
904,estimates,male,1973,154781.985
904,estimates,female,1974,159163.758
904,estimates,male,1974,158503.193
904,estimates,female,1975,163013.898
904,estimates,male,1975,162253.619
904,estimates,female,1976,166900.957
904,estimates,male,1976,166028.58
904,estimates,female,1977,170824.567
904,estimates,male,1977,169828.401
904,estimates,female,1978,174786.886
904,estimates,male,1978,173659.017
904,estimates,female,1979,178791.674
904,estimates,male,1979,177529.276
904,estimates,female,1980,182840.142
904,estimates,male,1980,181444.147
904,estimates,female,1981,186932.625
904,estimates,male,1981,185405.363
904,estimates,female,1982,191063.469
904,estimates,male,1982,189406.225
904,estimates,female,1983,195221.613
904,estimates,male,1983,193432.906
904,estimates,female,1984,199392.704
904,estimates,male,1984,197466.77
904,estimates,female,1985,203565.846
904,estimates,male,1985,201493.821
904,estimates,female,1986,207732.857
904,estimates,male,1986,205505.868
904,estimates,female,1987,211893.943
904,estimates,male,1987,209504.167
904,estimates,female,1988,216055.829
904,estimates,male,1988,213495.3
904,estimates,female,1989,220229.983
904,estimates,male,1989,217490.586
904,estimates,female,1990,224422.609
904,estimates,male,1990,221496.583
904,estimates,female,1991,228633.452
904,estimates,male,1991,225513.073
904,estimates,female,1992,232852.676
904,estimates,male,1992,229531.418
904,estimates,female,1993,237065.304
904,estimates,male,1993,233539.962
904,estimates,female,1994,241251.224
904,estimates,male,1994,237522.916
904,estimates,female,1995,245394.719
904,estimates,male,1995,241467.862
904,estimates,female,1996,249493.858
904,estimates,male,1996,245373.403
904,estimates,female,1997,253547.771
904,estimates,male,1997,249238.968
904,estimates,female,1998,257543.669
904,estimates,male,1998,253053.757
904,estimates,female,1999,261466.772
904,estimates,male,1999,256805.205
904,estimates,female,2000,265308.773
904,estimates,male,2000,260486.199
904,estimates,female,2001,269060.987
904,estimates,male,2001,264089.587
904,estimates,female,2002,272731.528
904,estimates,male,2002,267622.149
904,estimates,female,2003,276350.325
904,estimates,male,2003,271108.474
904,estimates,female,2004,279958.555
904,estimates,male,2004,274582.849
904,estimates,female,2005,283586.117
904,estimates,male,2005,278069.774
904,estimates,female,2006,287242.134
904,estimates,male,2006,281576.39
904,estimates,female,2007,290918.034
904,estimates,male,2007,285095.422
904,estimates,female,2008,294603.398
904,estimates,male,2008,288618.952
904,estimates,female,2009,298280.521
904,estimates,male,2009,292133.168
904,estimates,female,2010,301934.996
904,estimates,male,2010,295626.505
904,estimates,female,2011,305564.494
904,estimates,male,2011,299097.215
904,estimates,female,2012,309169.322
904,estimates,male,2012,302544.583
904,estimates,female,2013,312740.275
904,estimates,male,2013,305958.535
904,estimates,female,2014,316266.747
904,estimates,male,2014,309327.142
904,constant_fertility,female,2015,319740.033
904,constant_fertility,male,2015,312640.807
904,constant_mortality,female,2015,319740.033
904,constant_mortality,male,2015,312640.807
904,estimates,female,2015,319740.033
904,estimates,male,2015,312640.807
904,high_variant,female,2015,319740.033
904,high_variant,male,2015,312640.807
904,instant_replacement,female,2015,319740.033
904,instant_replacement,male,2015,312640.807
904,low_variant,female,2015,319740.033
904,low_variant,male,2015,312640.807
904,medium_variant,female,2015,319740.033
904,medium_variant,male,2015,312640.807
904,momentum,female,2015,319740.033
904,momentum,male,2015,312640.807
904,no_change,female,2015,319740.033
904,no_change,male,2015,312640.807
904,zero_migration,female,2015,319740.033
904,zero_migration,male,2015,312640.807
904,constant_fertility,female,2016,323321.809
904,constant_fertility,male,2016,316067.08
904,constant_mortality,female,2016,323080.427
904,constant_mortality,male,2016,315802.804
904,high_variant,female,2016,323547.649
904,high_variant,male,2016,316303.187
904,instant_replacement,female,2016,323241.735
904,instant_replacement,male,2016,315986.121
904,low_variant,female,2016,322748.233
904,low_variant,male,2016,315467.52
904,medium_variant,female,2016,323154.543
904,medium_variant,male,2016,315894.112
904,momentum,female,2016,323307.2
904,momentum,male,2016,316044.693
904,no_change,female,2016,323252.396
904,no_change,male,2016,315982.66
904,zero_migration,female,2016,323326.548
904,zero_migration,male,2016,316075.023
904,constant_fertility,female,2017,326912.48
904,constant_fertility,male,2017,319505.319
904,constant_mortality,female,2017,326342.402
904,constant_mortality,male,2017,318881.034
904,high_variant,female,2017,327434.299
904,high_variant,male,2017,320050.818
904,instant_replacement,female,2017,326723.058
904,instant_replacement,male,2017,319311.826
904,low_variant,female,2017,325567.072
904,low_variant,male,2017,318099.323
904,medium_variant,female,2017,326508.078
904,medium_variant,male,2017,319085.098
904,momentum,female,2017,326878.907
904,momentum,male,2017,319450.312
904,no_change,female,2017,326751.397
904,no_change,male,2017,319308.349
904,zero_migration,female,2017,326854.538
904,zero_migration,male,2017,319450.436
904,constant_fertility,female,2018,330503.825
904,constant_fertility,male,2018,322947.245
904,constant_mortality,female,2018,329522.447
904,constant_mortality,male,2018,321871.818
904,high_variant,female,2018,331373.668
904,high_variant,male,2018,323856.548
904,instant_replacement,female,2018,330184.15
904,instant_replacement,male,2018,322618.683
904,low_variant,female,2018,328215.266
904,low_variant,male,2018,320555.961
904,medium_variant,female,2018,329799.086
904,medium_variant,male,2018,322212.879
904,momentum,female,2018,330440.779
904,momentum,male,2018,322843.019
904,no_change,female,2018,330228.523
904,no_change,male,2018,322609.26
904,zero_migration,female,2018,330321.961
904,zero_migration,male,2018,322765.026
904,constant_fertility,female,2019,334088.738
904,constant_fertility,male,2019,326385.491
904,constant_mortality,female,2019,332617.555
904,constant_mortality,male,2019,324772.017
904,high_variant,female,2019,335344.285
904,high_variant,male,2019,327698.048
904,instant_replacement,female,2019,333625.256
904,instant_replacement,male,2019,325907.504
904,low_variant,female,2019,330707.934
904,low_variant,male,2019,322853.216
904,medium_variant,female,2019,333027.583
904,medium_variant,male,2019,325278.006
904,momentum,female,2019,333973.277
904,momentum,male,2019,326202.302
904,no_change,female,2019,333676.314
904,no_change,male,2019,325877.539
904,zero_migration,female,2019,333726.944
904,zero_migration,male,2019,326016.907
904,constant_fertility,female,2020,337660.858
904,constant_fertility,male,2020,329813.633
904,constant_mortality,female,2020,335625.069
904,constant_mortality,male,2020,327578.924
904,high_variant,female,2020,339329.46
904,high_variant,male,2020,331557.895
904,instant_replacement,female,2020,337045.842
904,instant_replacement,male,2020,329178.165
904,low_variant,female,2020,333056.553
904,low_variant,male,2020,325003.163
904,medium_variant,female,2020,336193.003
904,medium_variant,male,2020,328280.513
904,momentum,female,2020,337460.567
904,momentum,male,2020,329512.2
904,no_change,female,2020,337088.125
904,no_change,male,2020,329106.338
904,zero_migration,female,2020,337067.55
904,zero_migration,male,2020,329204.155
904,constant_fertility,female,2021,341214.875
904,constant_fertility,male,2021,333226.305
904,constant_mortality,female,2021,338543.066
904,constant_mortality,male,2021,330290.524
904,high_variant,female,2021,343317.282
904,high_variant,male,2021,335424.085
904,instant_replacement,female,2021,340444.876
904,instant_replacement,male,2021,332430.102
904,low_variant,female,2021,335268.597
904,low_variant,male,2021,327013.912
904,medium_variant,female,2021,339292.764
904,medium_variant,male,2021,331218.238
904,momentum,female,2021,340896.588
904,momentum,male,2021,332766.211
904,no_change,female,2021,340458.454
904,no_change,male,2021,332289.879
904,zero_migration,female,2021,340341.787
904,zero_migration,male,2021,332324.976
904,constant_fertility,female,2022,344746.289
904,constant_fertility,male,2022,336618.893
904,constant_mortality,female,2022,341369.793
904,constant_mortality,male,2022,332905.128
904,high_variant,female,2022,347300.705
904,high_variant,male,2022,339289.278
904,instant_replacement,female,2022,343819.656
904,instant_replacement,male,2022,335660.564
904,low_variant,female,2022,337348.066
904,low_variant,male,2022,328889.564
904,medium_variant,female,2022,342323.839
904,medium_variant,male,2022,334088.265
904,momentum,female,2022,344280.689
904,momentum,male,2022,335963.713
904,no_change,female,2022,343782.428
904,no_change,male,2022,335423.386
904,zero_migration,female,2022,343547.683
904,zero_migration,male,2022,335377.508
904,constant_fertility,female,2023,348251.35
904,constant_fertility,male,2023,339987.835
904,constant_mortality,female,2023,344104.201
904,constant_mortality,male,2023,335421.698
904,high_variant,female,2023,351276.606
904,high_variant,male,2023,343150.486
904,instant_replacement,female,2023,347165.276
904,instant_replacement,male,2023,338864.717
904,low_variant,female,2023,339295.698
904,low_variant,male,2023,330631.189
904,medium_variant,female,2023,345285.402
904,medium_variant,male,2023,336889.717
904,momentum,female,2023,347609.131
904,momentum,male,2023,339101.061
904,no_change,female,2023,347056.429
904,no_change,male,2023,338502.833
904,zero_migration,female,2023,346683.353
904,zero_migration,male,2023,338359.944
904,constant_fertility,female,2024,351727.056
904,constant_fertility,male,2024,343330.093
904,constant_mortality,female,2024,346745.339
904,constant_mortality,male,2024,337839.346
904,high_variant,female,2024,355244.853
904,high_variant,male,2024,347007.877
904,instant_replacement,female,2024,350475.867
904,instant_replacement,male,2024,342036.317
904,low_variant,female,2024,341109.944
904,low_variant,male,2024,332237.467
904,medium_variant,female,2024,348176.838
904,medium_variant,male,2024,339621.996
904,momentum,female,2024,350879.748
904,momentum,male,2024,342175.902
904,no_change,female,2024,350277.22
904,no_change,male,2024,341525.213
904,zero_migration,female,2024,349746.838
904,zero_migration,male,2024,341270.718
904,constant_fertility,female,2025,355170.664
904,constant_fertility,male,2025,346643.223
904,constant_mortality,female,2025,349292.34
904,constant_mortality,male,2025,340157.345
904,high_variant,female,2025,359205.116
904,high_variant,male,2025,350861.329
904,instant_replacement,female,2025,353746.234
904,instant_replacement,male,2025,345170.125
904,low_variant,female,2025,342789.851
904,low_variant,male,2025,333707.495
904,medium_variant,female,2025,350997.455
904,medium_variant,male,2025,342284.397
904,momentum,female,2025,354089.946
904,momentum,male,2025,345185.779
