country,variant,freq,year,birthper1000population
158,estimates,5yearly,1950,46.173
158,estimates,5yearly,1955,41.646
158,estimates,5yearly,1960,35.336
158,estimates,5yearly,1965,28.57
158,estimates,5yearly,1970,25.016
158,estimates,5yearly,1975,24.625
158,estimates,5yearly,1980,20.982
158,estimates,5yearly,1985,16.431
158,estimates,5yearly,1990,15.618
158,estimates,5yearly,1995,14.138
158,estimates,5yearly,2000,10.892
158,estimates,5yearly,2005,8.453
158,estimates,5yearly,2010,8.657
158,constant_fertility,5yearly,2015,7.997
158,constant_mortality,5yearly,2015,8.966
158,high_variant,5yearly,2015,10.745
158,instant_replacement,5yearly,2015,15.226
158,low_variant,5yearly,2015,7.15
158,medium_variant,5yearly,2015,8.955
158,momentum,5yearly,2015,15.204
158,no_change,5yearly,2015,8.007
158,zero_migration,5yearly,2015,8.921
158,constant_fertility,5yearly,2020,7.33
158,constant_mortality,5yearly,2020,8.937
158,high_variant,5yearly,2020,11.424
158,instant_replacement,5yearly,2020,13.563
158,low_variant,5yearly,2020,6.284
158,medium_variant,5yearly,2020,8.895
158,momentum,5yearly,2020,13.504
158,no_change,5yearly,2020,7.365
158,zero_migration,5yearly,2020,8.798
158,constant_fertility,5yearly,2025,6.702
158,constant_mortality,5yearly,2025,8.8
158,high_variant,5yearly,2025,11.484
158,instant_replacement,5yearly,2025,12.166
158,low_variant,5yearly,2025,5.757
158,medium_variant,5yearly,2025,8.707
158,momentum,5yearly,2025,12.152
158,no_change,5yearly,2025,6.775
158,zero_migration,5yearly,2025,8.585
158,constant_fertility,5yearly,2030,5.966
158,constant_mortality,5yearly,2030,8.388
158,high_variant,5yearly,2030,10.574
158,instant_replacement,5yearly,2030,10.762
158,low_variant,5yearly,2030,5.665
158,medium_variant,5yearly,2030,8.228
158,momentum,5yearly,2030,10.842
158,no_change,5yearly,2030,6.086
158,zero_migration,5yearly,2030,8.117
158,constant_fertility,5yearly,2035,5.319
158,constant_mortality,5yearly,2035,7.724
158,high_variant,5yearly,2035,9.449
158,instant_replacement,5yearly,2035,9.403
158,low_variant,5yearly,2035,5.313
158,medium_variant,5yearly,2035,7.492
158,momentum,5yearly,2035,9.559
158,no_change,5yearly,2035,5.492
158,zero_migration,5yearly,2035,7.376
158,constant_fertility,5yearly,2040,5.014
158,constant_mortality,5yearly,2040,7.41
158,high_variant,5yearly,2040,8.963
158,instant_replacement,5yearly,2040,9.093
158,low_variant,5yearly,2040,5.057
158,medium_variant,5yearly,2040,7.091
158,momentum,5yearly,2040,9.326
158,no_change,5yearly,2040,5.253
158,zero_migration,5yearly,2040,6.939
158,constant_fertility,5yearly,2045,4.923
158,constant_mortality,5yearly,2045,7.751
158,high_variant,5yearly,2045,9.667
158,instant_replacement,5yearly,2045,10.558
158,low_variant,5yearly,2045,4.973
158,medium_variant,5yearly,2045,7.311
158,momentum,5yearly,2045,10.982
158,no_change,5yearly,2045,5.242
158,zero_migration,5yearly,2045,7.104
158,constant_fertility,5yearly,2050,4.812
158,constant_mortality,5yearly,2050,8.383
158,high_variant,5yearly,2050,10.986
158,instant_replacement,5yearly,2050,12.335
158,low_variant,5yearly,2050,4.852
158,medium_variant,5yearly,2050,7.798
158,momentum,5yearly,2050,13.02
158,no_change,5yearly,2050,5.209
158,zero_migration,5yearly,2050,7.544
158,constant_fertility,5yearly,2055,4.639
158,constant_mortality,5yearly,2055,8.894
158,high_variant,5yearly,2055,11.931
158,instant_replacement,5yearly,2055,12.643
158,low_variant,5yearly,2055,4.72
158,medium_variant,5yearly,2055,8.165
158,momentum,5yearly,2055,13.476
158,no_change,5yearly,2055,5.107
158,zero_migration,5yearly,2055,7.897
158,constant_fertility,5yearly,2060,4.437
158,constant_mortality,5yearly,2060,9.152
158,high_variant,5yearly,2060,12.098
158,instant_replacement,5yearly,2060,11.831
158,low_variant,5yearly,2060,4.712
158,medium_variant,5yearly,2060,8.299
158,momentum,5yearly,2060,12.691
158,no_change,5yearly,2060,4.97
158,zero_migration,5yearly,2060,8.039
158,constant_fertility,5yearly,2065,4.255
158,constant_mortality,5yearly,2065,9.158
158,high_variant,5yearly,2065,11.668
158,instant_replacement,5yearly,2065,10.855
158,low_variant,5yearly,2065,4.792
158,medium_variant,5yearly,2065,8.211
158,momentum,5yearly,2065,11.7
158,no_change,5yearly,2065,4.85
158,zero_migration,5yearly,2065,7.956
158,constant_fertility,5yearly,2070,4.155
158,constant_mortality,5yearly,2070,9.075
158,high_variant,5yearly,2070,11.183
158,instant_replacement,5yearly,2070,10.292
158,low_variant,5yearly,2070,4.871
158,medium_variant,5yearly,2070,8.056
158,momentum,5yearly,2070,11.14
158,no_change,5yearly,2070,4.817
158,zero_migration,5yearly,2070,7.791
158,constant_fertility,5yearly,2075,4.147
158,constant_mortality,5yearly,2075,9.182
158,high_variant,5yearly,2075,11.219
158,instant_replacement,5yearly,2075,10.56
158,low_variant,5yearly,2075,4.955
158,medium_variant,5yearly,2075,8.091
158,momentum,5yearly,2075,11.502
158,no_change,5yearly,2075,4.881
158,zero_migration,5yearly,2075,7.807
158,constant_fertility,5yearly,2080,4.169
158,constant_mortality,5yearly,2080,9.574
158,high_variant,5yearly,2080,11.89
158,instant_replacement,5yearly,2080,11.503
158,low_variant,5yearly,2080,5.044
158,medium_variant,5yearly,2080,8.395
158,momentum,5yearly,2080,12.638
158,no_change,5yearly,2080,4.97
158,zero_migration,5yearly,2080,8.102
158,constant_fertility,5yearly,2085,4.156
158,constant_mortality,5yearly,2085,10.057
158,high_variant,5yearly,2085,12.736
158,instant_replacement,5yearly,2085,12.284
158,low_variant,5yearly,2085,5.109
158,medium_variant,5yearly,2085,8.79
158,momentum,5yearly,2085,13.589
158,no_change,5yearly,2085,5.013
158,zero_migration,5yearly,2085,8.509
158,constant_fertility,5yearly,2090,4.098
158,constant_mortality,5yearly,2090,10.371
158,high_variant,5yearly,2090,13.178
158,instant_replacement,5yearly,2090,12.255
158,low_variant,5yearly,2090,5.161
158,medium_variant,5yearly,2090,9.045
158,momentum,5yearly,2090,13.602
158,no_change,5yearly,2090,4.994
158,zero_migration,5yearly,2090,8.793
158,constant_fertility,5yearly,2095,4.019
158,constant_mortality,5yearly,2095,10.414
158,high_variant,5yearly,2095,13.013
158,instant_replacement,5yearly,2095,11.564
158,low_variant,5yearly,2095,5.231
158,medium_variant,5yearly,2095,9.062
158,momentum,5yearly,2095,12.861
158,no_change,5yearly,2095,4.945
158,zero_migration,5yearly,2095,8.836
