country,variant,freq,year,birthper1000population
600,estimates,5yearly,1950,44.232
600,estimates,5yearly,1955,42.586
600,estimates,5yearly,1960,41.161
600,estimates,5yearly,1965,39.386
600,estimates,5yearly,1970,35.583
600,estimates,5yearly,1975,36.112
600,estimates,5yearly,1980,36.723
600,estimates,5yearly,1985,34.973
600,estimates,5yearly,1990,32.006
600,estimates,5yearly,1995,29.251
600,estimates,5yearly,2000,25.064
600,estimates,5yearly,2005,23.316
600,estimates,5yearly,2010,21.659
600,constant_fertility,5yearly,2015,21.864
600,constant_mortality,5yearly,2015,20.689
600,high_variant,5yearly,2015,22.681
600,instant_replacement,5yearly,2015,18.297
600,low_variant,5yearly,2015,18.664
600,medium_variant,5yearly,2015,20.682
600,momentum,5yearly,2015,18.4
600,no_change,5yearly,2015,21.871
600,zero_migration,5yearly,2015,20.726
600,constant_fertility,5yearly,2020,21.358
600,constant_mortality,5yearly,2020,19.369
600,high_variant,5yearly,2020,22.284
600,instant_replacement,5yearly,2020,18.122
600,low_variant,5yearly,2020,16.302
600,medium_variant,5yearly,2020,19.346
600,momentum,5yearly,2020,18.338
600,no_change,5yearly,2020,21.383
600,zero_migration,5yearly,2020,19.426
600,constant_fertility,5yearly,2025,20.416
600,constant_mortality,5yearly,2025,17.901
600,high_variant,5yearly,2025,21.159
600,instant_replacement,5yearly,2025,17.527
600,low_variant,5yearly,2025,14.321
600,medium_variant,5yearly,2025,17.857
600,momentum,5yearly,2025,17.788
600,no_change,5yearly,2025,20.467
600,zero_migration,5yearly,2025,17.911
600,constant_fertility,5yearly,2030,19.466
600,constant_mortality,5yearly,2030,16.547
600,high_variant,5yearly,2030,19.458
600,instant_replacement,5yearly,2030,16.717
600,low_variant,5yearly,2030,13.217
600,medium_variant,5yearly,2030,16.479
600,momentum,5yearly,2030,16.982
600,no_change,5yearly,2030,19.546
600,zero_migration,5yearly,2030,16.474
600,constant_fertility,5yearly,2035,18.808
600,constant_mortality,5yearly,2035,15.475
600,high_variant,5yearly,2035,18.371
600,instant_replacement,5yearly,2035,15.794
600,low_variant,5yearly,2035,12.156
600,medium_variant,5yearly,2035,15.382
600,momentum,5yearly,2035,16.067
600,no_change,5yearly,2035,18.919
600,zero_migration,5yearly,2035,15.323
600,constant_fertility,5yearly,2040,18.458
600,constant_mortality,5yearly,2040,14.603
600,high_variant,5yearly,2040,17.785
600,instant_replacement,5yearly,2040,14.958
600,low_variant,5yearly,2040,11.059
600,medium_variant,5yearly,2040,14.486
600,momentum,5yearly,2040,15.275
600,no_change,5yearly,2040,18.6
600,zero_migration,5yearly,2040,14.401
600,constant_fertility,5yearly,2045,18.238
600,constant_mortality,5yearly,2045,13.886
600,high_variant,5yearly,2045,17.449
600,instant_replacement,5yearly,2045,14.336
600,low_variant,5yearly,2045,10.013
600,medium_variant,5yearly,2045,13.743
600,momentum,5yearly,2045,14.736
600,no_change,5yearly,2045,18.416
600,zero_migration,5yearly,2045,13.664
600,constant_fertility,5yearly,2050,18.011
600,constant_mortality,5yearly,2050,13.228
600,high_variant,5yearly,2050,17.057
600,instant_replacement,5yearly,2050,13.928
600,low_variant,5yearly,2050,9.078
600,medium_variant,5yearly,2050,13.056
600,momentum,5yearly,2050,14.429
600,no_change,5yearly,2050,18.23
600,zero_migration,5yearly,2050,12.997
600,constant_fertility,5yearly,2055,17.751
600,constant_mortality,5yearly,2055,12.613
600,high_variant,5yearly,2055,16.494
600,instant_replacement,5yearly,2055,13.665
600,low_variant,5yearly,2055,8.324
600,medium_variant,5yearly,2055,12.404
600,momentum,5yearly,2055,14.259
600,no_change,5yearly,2055,18.02
600,zero_migration,5yearly,2055,12.363
600,constant_fertility,5yearly,2060,17.507
600,constant_mortality,5yearly,2060,12.077
